username,tweet
_nilazka,istirahat luka harus anda paksa sembuh
_nilazka,saya lupa datang kemari bukan untuku ada rindu teman teman
_nilazka,nanti akhir sakit sesuai yang anda harap ingat anda sendiri yang sadar buka hati orang lalu harap terlalu banyak dengan sadar takut pergi salah bukan dia ada harap yang anda tanam terlalu tinggi
_nilazka,ken motor jauh latih skilku jalan beberapa bulan ndekemi laptop
_nilazka,awal pikir di jauh yang neraka akan dapat yang lebih baik yang lebih sayang yang nerima saya apa eh tahu malah lebih bajing
_nilazka,walaupun komunikasi lancar yang usaha belah doang bang tawa
_nilazka,kalau yang ken dekat saya doang tidak bagaimana bang vibrasi lemah malah tidak vibrasi
_nilazka,kalau sedih motor jauh memang analgesik buat diri sendiri sedih tertingal jalan yang sudah laluin walaupun jalan tetap nang
_nilazka,senang semprotulation mela sukses bahagia selalu
_nilazka,yang pekat yang racun tawa
_nilazka,bct anda sayang
_nilazka,ikat buah hubung juga tidak ikat buah komitmen di ikat doa usaha
_nilazka,anda aul bukan
_nilazka,nol siapa ini saudara laki
_nilazka,nila rasa terpangil saudara laki
_nilazka,keluarga tidak si
_nilazka,rindu bentuk ikhlas buah hilang
_nilazka,peluk buat yoshe
_nilazka,dunia sedang ramah saya yang sedang lemah
_nilazka,yang sembuh luka diri sendiri kuat apa anda minta sembuh hadap orang luka akan tetap buka anda mau tutup
_nilazka,ingat sendiri peras paling hancur yang saat saya bisa menyembuhkanya
_nilazka,terimakasih nina
_nilazka,saat anda sedang kecewa hidup orang tidak perlu minta maaf atas rasa kan saat anda sedang bahagia orang tidak perlu bertangung jawab atas adan kan segala yang jadi diri seluruh tanggung jawab
_nilazka,ajar salah mungkin perlu terlalu paksa orang jadi baik saat tetap baik saya yang kecewa
_nilazka,threadnya saudara
_nilazka,jadi bahan gasak rumah yang hamidun saudara yang minum susu hamidun ani wkwkwkwkwkwk
_nilazka,di coba
_nilazka,carin kresek
_nilazka,tidak buat saya malu
_nilazka,eh tidak ding canda lingkar cahaya rian
_nilazka,paku hai
_nilazka,lingkar cahaya fans
_nilazka,rasa sakit tiap orang beda tapi yang saya rasa tidak beda jauh padahal siang badan gemeteran syok ken nang tahan saking kecewa tiap teringat hancur hancur hancur salah apa si saya kurang apa sih saya kenapa tega ngetik saja tahan sakit
_nilazka,yang terlalu paksa diri kuat sampai baik istirahat jiwa yang khawatir jauh yang lebih luka diri baik tapi terimakasih tahan juang banyak untuk keluarga orang saya utama diri sendiri
_nilazka,luna permata
_nilazka,tidak suka sekali panggil nila aska jelas nama saya pakai z bukan s di tambah nila jadi dobel l jadi nila nama sudah mudah di rumitin
_nilazka,perlu tanda orang tidak
_nilazka,selalu
_nilazka,lekas pulang cepat kita pergi bareng
_nilazka,tuntas rindu
_nilazka,saya yang pergi
_nilazka,saya yang salah
_nilazka,fakgurl
_nilazka,pasang iqra netijen
_nilazka,toilet kan sudah tidak sama v
_nilazka,terus yang takut menikah tuntun bukan mau
_nilazka,benar tidak si bang gadis kalau ngebahas menikah cowonya cowonya rasa seperti tekan heheu
_nilazka,hiya tawa
_nilazka,wajar kenapa
_nilazka,kesiap jauh lebih penting tidak kes saya paksa tekan yang saya mau ketika anda rasa anda mampu diri sendiri bukan orang jadi hubung yang jalan karena kesiap mau dua
_nilazka,pasang saya akan berat dengan tanya kapan anda lamar saya kapan anda mau nikahin saya bukan saya ingin serius bukan ada hati yang saya jaga tetapi karena saya ingin berat cont
_nilazka,tidak diri atas benar yang anda buat sendiri
_nilazka,kenapa saya ya tidak kalau tidak lihat semua cerita kontak whatsapp kalau yang belum tidak lihat rasa aneh yang kurang kenapa saya ya balas obrol cepat padahal sibuk kira kan saya bosan kenapa saya ya lagi rumit di hadap peras sendiri
_nilazka,terimakasih bang
_nilazka,sering pokok kalau lagi sendiri sering sekali bicara sendiri ngehayal ngobrol sama pacar ngehayal yang enak enak pokok kalau tidak tanya diri sendiri terus jawab sendiri tawa terus konser tunggal tawa
_nilazka,dari nila azka s ked jiwa
_nilazka,izin simpan bang tawa
_nilazka,apotek dulu saudara
_nilazka,kenapa saya tetap cemil banyak
_nilazka,dunia mulai habis orang yang waras
_nilazka,dunia milik yang ngekos
_nilazka,kalian lihat
_nilazka,susu ayam itu begimane oke stok susu strawberry
_nilazka,kalau gin arti tidak datang atau bagaimana ini wkwkwkwkwkwk
_nilazka,apaka nganu
_nilazka,rumit
_nilazka,kenapa cepat sekali buka hati kenapa mudah sekali suka sama orang tidak semua yang anda lihat yang anda tebak jadi tidak prasangka kalau tahu teori oke bung
_nilazka,minta yakin orang bukankah anda yakin diri sendiri
_nilazka,tawa rumus hidup
_nilazka,tidak pikir apa apa di kepala penuh sekali rasa
_nilazka,yang tidak wajar kalau tidak pernah dekat tiba tiba benci
_nilazka,percaya sekali dulu awal masuk kuliah doa ingin dekat ngobrol fotbar sama satu pria kampus sampai peka tidak telah tahun akhir malah jadi satu panitia peka tidak hari bisa ngobrol fotbar dekat bonus bonceng sama wkwkwkwkwkwkwkwk
_nilazka,ayo beli pakai uang
_nilazka,ken menikah eon belum calon sedih tidak
_nilazka,oiyaya peta
_nilazka,lalu
_nilazka,dapat beli dengan uang
_nilazka,belum calo saudara laki
_nilazka,tiba tiba ken menikah wajar tidak si
_nilazka,sampai nyungsep
_nilazka,maaf saya bisa tenang resah terkadang saya takut lakulu malah tambah beban saya bisa peluk resah doa
_nilazka,saya anda dasar
_nilazka,anak anda kalau suruh cemil susah terus ngetwit begini
_nilazka,di dekat corona di jauh corona
_nilazka,gmtg sekali c opa
_nilazka,saya tidak mau lihat sendiri
_nilazka,hehehehehe
_nilazka,terlalu banyak cerita sini yang saya lewat bagaimana saya janji anjak lupa segala cerita sini
_nilazka,tidak pusing pikir otd tawa ples jas laboratorium tidak boleh ketinggalan
_nilazka,cinta memang luka butuh air mata menyembuhkanya
_nilazka,kapan ini
_nilazka,hebat kan saya tidak mau sombong
_nilazka,kenapa ya balas obrol penting tidak luar rumah saya saja rebah di kasur baru fokus kendali cakra kyubiku
_nilazka,mana oi ajak kesana
_nilazka,sini ikut
_nilazka,sama
_nilazka,semoga bukan kalimat tenang
_nilazka,hanya alibi fokus anda doang malu licik
_nilazka,saya jelek saja anda iri bagaimana kalau saya sinar shimmering megah edan kw
_nilazka,gas atas saudara
_nilazka,tawa nama juga mau pamer stiker
_nilazka,pis teh entuk piring wkwkwkwj
_nilazka,urip kesangaren bos tawa
_nilazka,tentara tidak se sibuk dulu tapi tetap akan jadi tentara kapan
_nilazka,tentara tawa
_nilazka,akhir temu kembar mutualan ayo
_nilazka,maret salam kenal saudara
_nilazka,selamat ultang tahun ibu gulu mela
_nilazka,tanda orang langsung bagaimana tawa
_nilazka,lemah adalah suka orang saya lupa bisa kapan sakit pergi
_nilazka,ciapa caya hayow
_nilazka,ikut kembali dong qaqa
_nilazka,sudah paling benar sendiri saja
_nilazka,padahal cantik anda
_nilazka,seta nyata diri sendiri saudara wanita tawa
_nilazka,banyak yang baik tapi malah saya milihnya yang bjgn
