username,tweet
adputri_,iya tidak hakim sebuah buku oleh ini adalah tutup
adputri_,peta v
adputri_,v
adputri_,begini doang oke
adputri_,tuhan maaf untuk
adputri_,tapi kan memang anda beda air tidak celaka tapi anda celaka
adputri_,kenapa begitu
adputri_,selalu pulang dengan adan punggung sakit karena jam duduk kursi sandar tapi tadi pagi brngkt tiba tiba kursi sandar bahagia sekali dong
adputri_,cepat ajar baju tidak jadi korban haha
adputri_,misi anak natasha mau lewat
adputri_,asik saya beli album bts
adputri_,kiyowo
adputri_,jalan dulu
adputri_,dunia kerja lebih banyak improvisasi
adputri_,erna sama brenda kalau lagi tamu
adputri_,mie ayam yang dekat upn kan
adputri_,jajan ros
adputri_,tuhan pagi mruput mandi wangi nyata tanggal merah
adputri_,gilagilagila
adputri_,pernah suruh teman ganti dp modus intai dinotice dosbing padahal memang tidak suka saja sama dp nya
adputri_,iya
adputri_,tidak boleh marah marah
adputri_,sumpah
adputri_,tidak tahu rasa tahan buat obat dokter apa yak
adputri_,hormat sama bapak gocar dong
adputri_,adekmu ksl
adputri_,gila
adputri_,hamdalah drama tidak sesak
adputri_,untung lagi baik
adputri_,bukan jenius tapi yang kartu kirim rumah mendengarkan panjang lebar hoh hoh saja mau daftar tapi akhir fail
adputri_,iya yang sudah lulus
adputri_,tidak boleh tidak aman besok bahagia
adputri_,nice penuh anda ntis
adputri_,tes psikopat pakai drama
adputri_,baik psikopat
adputri_,ken teleport saja
adputri_,stadion banyak
adputri_,sudah hari tidak ketemu anda tong
adputri_,untung tidak tidak mau buka
adputri_,tuhan susah susah buat tapi caplok orang
adputri_,ngopo
adputri_,hibur untuk segala tidak aman sedih hari
adputri_,bangun lalu renung lalu sendu ah hari
adputri_,anda kan yang ngajarin
adputri_,tidak pakai cuci baju
adputri_,tidak gertak saya
adputri_,kadang saya tidak paham sama saya
adputri_,pria sirop udara
adputri_,skuad
adputri_,ajak
adputri_,gila kereta bawah tanah spora dulu selamat tinggal
adputri_,dulu kata tapi tutup sepi minat besok senin saya jadi manajer tunggu
adputri_,lalu acak ini
adputri_,tiba tiba ken beli gorden
adputri_,tonton po
adputri_,dia knmu tidak lancar anda
adputri_,kalian tidak rindu
adputri_,rindu tnd
adputri_,ken buka toko bunga
adputri_,ayo iur ac buat saya
adputri_,diket pusing tidak diket panas
adputri_,astaga
adputri_,untung tidak tidur bareng
adputri_,ayo tiga satu
adputri_,saya tidak bingung
adputri_,sepupu saya
adputri_,iya
adputri_,semoga tidak lebaran lupa
adputri_,gabaca terang paling
adputri_,la foto mayoritas bukan aib itu
adputri_,orang marah
adputri_,apas
adputri_,sampai tomorow
adputri_,kejut ayo periksa sehat sana
adputri_,pikir saya
adputri_,kecil nya mohon revisi
adputri_,trauma jadi
adputri_,syukur
adputri_,wajar kan hidup itu begitu
adputri_,kapan saya cemil galantin sama es krim puas acara
adputri_,sudah ganti tengah dong kapan tawa
adputri_,kalah belum
adputri_,tel sekali si ya
adputri_,mil ini ti
adputri_,dora baju pinkeu
adputri_,balon
adputri_,rambut seperti polwan dong jdnya
adputri_,semoga ayo malu
adputri_,baru muncul kemarin kema saja
adputri_,tiba tiba konco butuh ngechat mau lihat bab anda diapain
adputri_,tuhan iya
adputri_,mirip sekali
adputri_,terus bolong
adputri_,sakit gake
adputri_,iya
adputri_,saya
adputri_,tawa
adputri_,untung hidup benar dhe
adputri_,amin
adputri_,acak sekali si bren haru saya
adputri_,tangan terlalu ringan teman teman
adputri_,kejut kejut
adputri_,igninku tidur siang tapi malah
adputri_,amin
adputri_,syukur lah pai si
adputri_,belum wen sabar tawa
adputri_,maksa sekali saudara wanita
adputri_,uwe
adputri_,bismillah
adputri_,darah manis sampai tears
adputri_,ceker saja si
adputri_,murah si
adputri_,rayu tempat sampah da sembuh
adputri_,nyala anda
adputri_,ayo
adputri_,pikir isi anda semua
adputri_,yang bilang tidak sampai putus tali silaturahmi juga yang ngeblok saya labil memang
adputri_,ada seperti maeman saja
adputri_,gondes kulonprogo
adputri_,saya tidak tahu kenapa tiba tiba ingat tndi
adputri_,selamat tinggal pedas
adputri_,tanaya tempat tidur sampai sarap
adputri_,bagus sekali jadi
adputri_,bodoh
adputri_,tidak usah percaya ramal percaya dil saja
adputri_,syok tapi tidak mau percaya ramal bintang
adputri_,lalu tiba tiba dosen ngechat
adputri_,gulir jelajah instagram lalu temu
adputri_,mangat ges
adputri_,ngaya kelelawar
adputri_,saya lum siap
adputri_,tidak boleh sirik ibu
adputri_,bahagia
adputri_,tuk
adputri_,mao sinisini
adputri_,apa
adputri_,anda sendiri pacar bambang
adputri_,mata kali jam depan laptop
adputri_,saya blok wakakak
adputri_,bodoh tidak fokus tadi
adputri_,imutnya sama kan
adputri_,kalau hujan sinyal jadi seperti tiba tiba hilang
adputri_,suka saya wakakakakak
adputri_,akhir stlh eror eror
adputri_,tunggu
adputri_,kenapa saya tidak
adputri_,keluh dalam hati
adputri_,aduh aduhaduh
adputri_,mercu yang mana itu
adputri_,ayo
adputri_,suara perut saya
adputri_,pakai usul tidak
adputri_,haha
adputri_,sensor karena mirip ehe
adputri_,iya semester aduh aduh skripsi
adputri_,pansi
adputri_,nahiya
adputri_,humoris sekali si
adputri_,adeknya erna tampan buat pangling ehe
adputri_,lashisa manoban
adputri_,sobat kalau orang ajak ngrokok sobat dulu ayo ehe
adputri_,anda juga sobat ambyar untuk
adputri_,mlz saya kopel sama teman kn tawa
adputri_,kopel sama anak garong anda
adputri_,baikbaik kuku tidak sampai patah
adputri_,mohon perhati
adputri_,astaga
adputri_,naik
adputri_,nentuin alas beda teliti lebih susah banding nentuin alas tibatiba beda
adputri_,rindu sepatu putih
adputri_,pacar hanya
adputri_,tidak
adputri_,disuruh kesana itu tanda
adputri_,yang waktu tidak jadi heuheu
adputri_,lagu tanpa gesa air luicy
adputri_,mantap
adputri_,ayo ngecover tawa
adputri_,kata ting itu
adputri_,tawa
adputri_,baru kali se gembira kalau sudah jumat sore
adputri_,hadu hadu
