username,tweet
alaaini1,saking sayange
alaaini1,bangun bangun nang peras memang tidak bisa dibohongin padahal sudah bilang sama diri sendiri tidak mau khawatir lebih malah bawa mimpi dong
alaaini1,stiker lucu saya akhir
alaaini1,untuku yang sedanh butuh kuat
alaaini1,hai zary ala orang yang aneh sering malu depan umum selalu siap jadi tempat sandar saya bukan nasihat baik ketika sulit saya jadi dengar baik
alaaini1,selalu tempat pulang lelah serah tidak ingat
alaaini1,anda hancur saya lebih hancur
alaaini1,huwa sangat antusias
alaaini1,dosen sayang yang minta tugas dikumpulin tidak sudah dikumpulin baca saja tidak
alaaini1,sayang sekali akun twitter yang dulu sudah lebih tahun malah
alaaini1,ingat saat kalian gabung twitter ingat
alaaini1,sampah talkin apa buat anda rasa tentang saya
alaaini1,ini tawa
alaaini1,kali saya serius serah kalau anda balik lah v
alaaini1,lingkar cahaya saudara buka pesan langsung mau tanya tanya
alaaini1,wah sama turut sama memang gamain utama sih keren lagu lagu terus sub satu tidak dar sub satu sama yang stan diri
alaaini1,mimpi adalah dari keping yang saya terima tidak bangun saya lewat apa yang dingin waktu agar badan jiwa hilang atas dasar waktu bukan gelap lagi paksa pakai kacamata hitam
alaaini1,hancur saya satu waktu kemudian jadi hanya dari mimpi buah petik sendiri tidak rendam makin redam makin tenggelam sisih beberapa keping selesai inti
alaaini1,tidak debat kol goreng dabes
alaaini1,sulit definisi inti tidak mau
alaaini1,seperti tepat saya tahu mana yang usia sudah dewasa masih ken balik masa kecil sadar lihat
alaaini1,ya tidak suka begitu jadi dewasa
alaaini1,tidak mau tahun tidak
alaaini1,pening pala pening
alaaini1,lebaran tahun buat atas dikit yang lihat segaban tapi masih sama alis paling ternotice semua memang tidak punya alis saya
alaaini1,itu s kenapa saya ken kuliah terus ken jadi dari legislatif tapi politik tidak mudah utama ular tangga lur
alaaini1,duain itu saya capslock agar mati
alaaini1,saya selalu yakin hidup lihat baik baik benar suatu besar akan datang ini siklus
alaaini1,kalimat persis tidak tadi malam saya tonton tawa saya kata ini
alaaini1,ken in surat tera pecah rekor muri asli muak sih sejak sama banyak begini
alaaini1,mantan kenapa kata kasar sekali mimpi senak dahi ken tidak tepok
alaaini1,kalau jin ingin ke masa saya orang diri sendiri sulit apa
alaaini1,lelah
alaaini1,minta di isi terimakasih
alaaini1,sakit
alaaini1,nyeri perut elah
alaaini1,nyer perut elah
alaaini1,kenapa saya pernah baca kalau kurang tidur begadang bisa anemia benar tidak sih
alaaini1,makin keras saya cari jawab malah tidak dapat harus saya laku ikut arus yang sulit kendali tenggelam tidak
