username,tweet
almostbeyours,hampir bulan gaperna nge mall jalan delta bentar rasa seperti habis uji praktek olahraga njuarem astaga
almostbeyours,kobisa orang suka sekali sama bubur ayam cc
almostbeyours,tiap hari emosi tapi kenapa sering foto diri sih apa tidak gimmick
almostbeyours,banjir dengkul tidak lupa saudara
almostbeyours,enak sekali punya orang tua seperti gin
almostbeyours,h kesal sekali tidak habis pikir
almostbeyours,ih baca komentar rem sekali cumi cemil bangkai manusia
almostbeyours,video kandung bawang
almostbeyours,saya olahraga ayo semangat bisa bodygoals saya olahraga gila lelah juga nasi babat enak ini hidup canda
almostbeyours,valid sekali
almostbeyours,posesif mantengin harga dolar
almostbeyours,astagfirulahaladzim apa tawa waktu tembak
almostbeyours,maaf kalau dugem jarak terus pakai faceshield apa tidak seperti tukang las senam aerobik
almostbeyours,beranda penuh sama barbie knpsik
almostbeyours,sudah besar pacar sembunyi seperti anak sampai saja kesal sekali
almostbeyours,edit begron lagu spotify estetik kini
almostbeyours,ingin kini tapi tidak ada bakat gambar
almostbeyours,lelah juga nang sampai tidur bangun mata bentuk gakaruan mantap
almostbeyours,kenapa ada orang kesal sekali tidak habis pikir
almostbeyours,ih tidak mau jijik sendiri mutualku lihat
almostbeyours,kapan dolar turun ya
almostbeyours,semua saya keluarga sebagai aries satu dan hanya kanker bisa hubung
almostbeyours,sakit sekali habis narik kawat behel
almostbeyours,ambil dan koreografi oleh saya tidak lupa
almostbeyours,baru keluar rumah zona tunjung ramai sekali seperti pasar malam
almostbeyours,pasang aplikasi getcontact truecaler buat periksa nomor telepon yang tidak kenal cmimiw
almostbeyours,di jalan jadi selebtwit ini
almostbeyours,wedok kenapa mole bengi arep dadi apa ingin dadi omong tongomu tugas akhir asdfghjklsjdjdjajsjsj
almostbeyours,saya rasa anda
almostbeyours,kafe tiba tiba lagu acak saya jadi rindu ngonser
almostbeyours,saya tinejers tapi tidak labil seperti gin
almostbeyours,berita kenapa lebih jancok memang suka buat orang tua overthink saja bajing astaga emosi
almostbeyours,tidak ibu ibu saudara yang pisah
almostbeyours,tidak habis pikir sama cara pikir orang tua seperti bagaimana menit lalu ngeiyain menit kemudian ngelarang aneh buat kesal
almostbeyours,yadongs sampai sekarang tawa
almostbeyours,cita cita punya lemari gantung estetik apadaya baju abrek gin
almostbeyours,buat mutualku yang suka gowes saat
almostbeyours,rindu pakai baju kerja
almostbeyours,murah tahu
almostbeyours,ayo mie boncabe lv siap saudara murah ribu saja loh
almostbeyours,nyata tua sekali kamoe
almostbeyours,duain
almostbeyours,sama hai bukan sampai
almostbeyours,ikut chloe ting menit sudah seperti mau mati
almostbeyours,rencana putar awal nembak tapi maksa terus biadab in sama pacar astaga untung sayang sudah
almostbeyours,menit harga
almostbeyours,bosan tingkat tonton cinta suci
almostbeyours,mau nang saja knpsi orang
almostbeyours,dari ini untuk ini
almostbeyours,iqbale begitu genk
almostbeyours,ingin sekali naik kereta terus ditemenin hampir saja tembak malang kalau sampai jadi benar mungkin sudah saya blokir orang sekarang tawa cc
almostbeyours,iqbale manis sekali astaga
almostbeyours,rindu tonton
almostbeyours,nahlo panjang umur kasi hujan deras tidak terang agar tapi rumah saja apa
