username,tweet
anissa_sani,hai bulus
anissa_sani,tetap pakai headset walaupun tidak nyala
anissa_sani,kucing muka mirip mirip sih
anissa_sani,mana kirim pakai jasa hari
anissa_sani,ikut malpraktek dukun newbie
anissa_sani,zoom keluar
anissa_sani,kali giveaway nasi goreng
anissa_sani,tidak lupa potong kuku dia
anissa_sani,positif pikir saja mungkin nama mawardi
anissa_sani,tolong saya nang di kantor
anissa_sani,melu golet kayane durung pernah temu soale
anissa_sani,cemil kwetiau
anissa_sani,parto dalang
anissa_sani,sama sampai kalau mau suruh saudara kadang saya tambahin ya cemiwiw gtw agar apa
anissa_sani,coba lihat penampakanya saya bukan pengirim lho yah cuma ken tahu saja
anissa_sani,tidak bilang
anissa_sani,rumit yah jadi teman
anissa_sani,kalau panik malah ngegas saya begitu
anissa_sani,nabrak masjid tidak belok masuk gang
anissa_sani,sudah semangat tanya ken tahu hasil
anissa_sani,kucing tidak oles vco malah disemutin
anissa_sani,pacar sama teman teman kan maksud
anissa_sani,plankton sama tuan kepiting cari resep bareng tidak miskin
anissa_sani,astaga dulu tahu bensu ruben onsu nyata benny sujono untung ujian nasional tiada
anissa_sani,tongseng ayam krispi cabai tengah papringan baik panjang masa asik
anissa_sani,biasa anak pinak sampai banyak sekali pengirim kalau tempat banyak yang kecil liar
anissa_sani,ambil yang di rumah saja yang liar pengirim kucing desa adalah itu terbaik
anissa_sani,jadi tagih pln dibayarin bapak
anissa_sani,nomor sisa buat kucing
anissa_sani,sering maju mundur saudara seminggu lebih rasa sakit gel kadang kayak habis nukang
anissa_sani,cukup jadi beban keluarga saja
anissa_sani,anda baca tidak lambat anda baca tidak awal anda baca nyala waktu
anissa_sani,lama lama citayem merdeka ini jadi negara
anissa_sani,maksud ajar bareng materi masing kan
anissa_sani,gantung berapa jam kerja
anissa_sani,iri sekali sama teman teman malah makin semangat ajar jadwal tunda ken begitu
anissa_sani,benar sekali
anissa_sani,saya mau buat status gin whatsapp cuma temu foto kedisikan kowe
anissa_sani,hih
anissa_sani,lulus sama greget kalau daftar sekolah dinas walaupun tolak
anissa_sani,saya jadi dokter
anissa_sani,ibu bahasa jawa ngapak
anissa_sani,kalau ramai uang angkut anda tambah tidak sih dia
anissa_sani,sederhana
anissa_sani,bawah coklat coklat tidak
anissa_sani,sejak dengar lagu tidak mandi cuci piring hela napas selalu ngiang ngiang
anissa_sani,alas tidak kiri grup keluarga mahasiswa agar tahu ribut apa sedang jadi kalang anak muda ayo periksa tren dulu
anissa_sani,sudah saya gaya sekali sih
anissa_sani,tidak sangka sudah mau ramadhan saja
anissa_sani,old normal
anissa_sani,saya sudah tahu wudhu tk baru tahu istinsyaq tidak sudah lulus kuliah memang banyak ajar terus
anissa_sani,kucing jalan kalau cemil ditunguin malah tidak jadi cemil biasa malu malu kucing
