username,tweet
astrifaj,saudara wanita sekali sama episode akhir ulang itu tahun drama cinta nya tidak menye
astrifaj,selamat ultang tahun erin
astrifaj,di jalan berapa episode sih
astrifaj,sumpah tanjung sekali ntonya ikut gugup an ada gilir yang mati
astrifaj,mudah lapar ih
astrifaj,tonton ulang itu tahun sumpah tanjung pikir gin ini yang tren
astrifaj,iya teman teman siap kalem kalem malu
astrifaj,baru sekali buka cerita whatsapp saudara laki rudi tawa
astrifaj,apa apa dadak ken punya anak
astrifaj,makin tidak bisa tebak iya gasih yang tadi patok sama si gejala hari terus tiba muncul otg terus sekarang yang jauh
astrifaj,saya pikir sama saudara irin jadi tidak banyak orang berkurumun mcd terus tidak belanja pasar jadi pada maksa mudik jakarta lihat provinsi yang asal angka kenaikanya sedikit sekarang tiba bisa lebih jakarta
astrifaj,tos
astrifaj,mut selamat ultang tahun ultang tahun berapa ini tahu muti cilik sampai dengan sekarang sudah sama besar malu
astrifaj,bukan orang buat pengaruh buruk memang anda nya saja yang mudah pancing jadi goblo kenapa nyalahin orang
astrifaj,sejuk yah mut
astrifaj,tidak punya kuota sejuk ya cuma punya kuota obrol doang lihat dunia luar instagram yang menikah yang lamar juga yang nongkrong cantik
astrifaj,satu orang ikut saya otomatis periksa oleh
astrifaj,jodoh tidak akan mana yah
astrifaj,ubah hati dari diri sendiri bukan paksa bukan minta
astrifaj,padahal awal sempat ken nyerah kerja tempat sekarang tidak rasa tanggal bulan sudah mau tahun
astrifaj,asik sekali yang nongkrong
astrifaj,kasir daerah semarang kata orang susah sekali buat ajak kompromi perihal pekerjaan syukur tidak saya pegang pacar baik saja input menginput jurnal lancar meski suka rada telat penting tidak selisih
astrifaj,sumpah saya rindu bonceng saya tidak mau ada jadi ratu naik mobil duduk belakang
astrifaj,sejarah ya nay
astrifaj,lingkar cahaya
astrifaj,rindu sholat dzuhur sini selesai sholat goler bentar
astrifaj,musim corona gin wo parsel akad doang apa saja kali
astrifaj,tidak ada lucu nya sedikit
astrifaj,coba periksa telepon nya hasil apa kalau saya hasil nabung kerja beberapa bulan walaupun baru kebel ip syukur
astrifaj,gapaham gapaham pos formalitas
astrifaj,gws taruh
astrifaj,dea semangat kuat pasti bisa lewatin
astrifaj,harap sekali tidak tonton konser yovie sampai nuno tidak janji suci ah sudah lah halusinasi
astrifaj,wiwil saya tawa di nangna nengne
astrifaj,rawat kulit saya untuk pm sama saja malas palagi yang beda gin
astrifaj,bagai wanita yang punya ketrampilan masak tidak tidak tiap masak apa bangga saja sama diri sendiri
astrifaj,fokus fokus fokus
astrifaj,hareudang flu maha sih
astrifaj,lihat facebok edisi lebaran semua keluarga punya anak
astrifaj,ken beli es kopi yang liter tidak ada kulkas kos
