username,tweet
athayaanabila,nyata cerita tidak henti situ malemnya datang ke rumah sama bapak ibu bawa banyak sekali cemil sembako terus ujung nya minta dikenalin minta nomor terus saya syukur malam saya tidak rumah kalau saya rumah bingung jadi takut
athayaanabila,pernah jadi nemuin telepon orang yang langsung dilock seperti gin terus bingung bagaimana balesnya sistem kunci tidak memberi nomor yang dihubungin buat saya ngembalin nyata langsung nelfon hpnya sendiri saya tinggal angkat besok ambil deh itu telepon rumah
athayaanabila,h
athayaanabila,tuhan kalau syafiq dimana
athayaanabila,anda pindah kmn lagi hai tidak bilang makin gulon ujung
athayaanabila,nang rindu ceker
athayaanabila,giat teman kemarin hari
athayaanabila,nang sekali haha
athayaanabila,rindu jerapah saya kos wendie saya tinggal sana
athayaanabila,tidak pernah telepon sejak anda kn
athayaanabila,tawa
athayaanabila,apa budak cinta nespes raung
athayaanabila,sumpah saya syok sekali hai dulu nyata memang saya baru rajin baca berita tonton televisi akhir sih bosan tawa rem ah fal
athayaanabila,memang mana pancasila yang kacau nang
athayaanabila,saya maksud yang sudah prinsipil sudah bangun sejak jaman kala saja tiba tiba mau ubah yang padahal isi sgt relevan bahkan baik laksana malah mau hapus saja yang kacau
athayaanabila,wacana ngubah pancasila jadi trisila dulu dulu
athayaanabila,tidak aman sekali gas
athayaanabila,rek saya takut sekali sekarang jadi wni sumpah
athayaanabila,wid saya benar mahkota saya pakai mur apa bagaimana
athayaanabila,cara mai gmnsi
athayaanabila,padahal twetku jelas tapi tanya bias literasi anda
athayaanabila,dulu saya kerja begini tapi akhir sudah tidak karena takut malah jadi ganggu malu maaf teman saya yang dulu sempat isi kalau saya nanyain hanya
athayaanabila,ken saya itu suatu saat buka lapang pekerjan buat mentemen disabilitas seperti gin alias keren sekali hai logo pakai bisindo bk pikir saja ini burgerking keren
athayaanabila,sial mau
athayaanabila,tawa
athayaanabila,iya jinjit mangkanya rem kan
athayaanabila,hade belum sempat anda benar hari tugas akhir balik
athayaanabila,berisik sekali manusia
athayaanabila,sih harus baca di tengah malam kan jadi tawa
athayaanabila,saya ken kebab sama staykult surya tuhan tiba tiba jam gin
athayaanabila,begitu kalau sebuah suka sama biasa sebentar bisa jadi suka an balik aneh sekali dunia
athayaanabila,syafiq kalau naik nmax malah kuketawain seperti naik kebo soal takut syafiq gakuat bawa jadi takut tangis saya tidak suka digonceng syafiq naik nmax
athayaanabila,mixer joys
athayaanabila,tim pakai jepit bulmat maskara susah sekali cuy pakai maskara terus lihat jadi mulai pikir apa baik maskaran
athayaanabila,bintang sampai ngeprotect twiternya sial
athayaanabila,smala isine tidak jerome tok rek
athayaanabila,sial anda tidak tahu ah
athayaanabila,biadab begitu
athayaanabila,iya sama saya masih cantik kece biasa
athayaanabila,naya itu urusin
athayaanabila,tawa
athayaanabila,hari saya edit brosur corelku macet selamat athaya silah rebah
athayaanabila,benar saya tidak bicara sama anda sih syukur kalau rasa tidak apa apa temuin saja pacar semoga sehat selalu semoga rindu nila itu sama nyawa pacar malu
athayaanabila,anda surabaya soal hello iku poine kon gelem tugas akhir kota dadi koyok surabaya apa o janck isuk ngarai emosi saja aduh
athayaanabila,kenapa saya sensi sekali kalau orang keluar tengah situasi seperti gin iya parno sekali saya baik parno daripada bodoh lah bodoh kalau sudah tular sebar gaisok dicancel soale transaksi corona tetap jalan isok kembali dana
athayaanabila,anak djeqi mana ini keluar atas kota funk anda
athayaanabila,saya yang tidak mau memberi
athayaanabila,belum momen sih jadi memang tidak pernah memberi tawa
athayaanabila,bicara coba sekali seperti begitu terus waktu dulu anda mau nge proker sosio itu apa apa se kotak momogi itu apa apa
athayaanabila,untung paham hal tanpa saya minta jadi sudah walaupun habis situ saudara laki ifan bau rokok sekali tentu tapi saya saudara wanita tetap harga saya yang tidak bisa dekat rokok yaitu dengan ngerokok ikut arah angin haha
athayaanabila,benar atur tulis kalau lagi keluar sama saya saya tidak mau ngerokok saya ngomel ganggu saya tahu malam seperti smsm pusing saya tidak mau antem jadi kubiarin saja ngerokok asal tidak sampai saya asap tawa
athayaanabila,jadi ingat dulu saudara laki ifan pernah rumit sekali pindah tempat duduk sesuai arah angin agar asap rokok tidak kena saya kali bolak balik kanan kiri depan serong agar saya tetap cemil dengan tenang dia bisa pikir dengan tenang sama
athayaanabila,saya mungkin akan buat itu sama alias sial jiwa surat surat camil saya menang ingin sekali buat begini
athayaanabila,ken sandwich pakai ayam lembut
