username,tweet
auliapramudya_,ayo nyemil lombok bareng agar saudara wanita pedas
auliapramudya_,banyak mau yang pedas pedas
auliapramudya_,rasa syukur tapi begitu kadang saja
auliapramudya_,tiap ketemu kenapa tambah lemu untuk
auliapramudya_,kaya indah uang
auliapramudya_,ayo teman
auliapramudya_,saya pikir sui mit gek saja tidak sadar
auliapramudya_,bahagia ketemu teman itu kenapa tahan lama
auliapramudya_,ken grabfod tapi ongkire mahal kalau sampai rumah
auliapramudya_,saat gila timbulah jerawat asam lambung naik padahal ibu tidak gila
auliapramudya_,saking banyak yang tidak bisa jadi bingung mulai drmana
auliapramudya_,sekarang semut jadi cemil apa saja deh kynya
auliapramudya_,bisa buka whatsapp sama twitter bosan sekali tidak bisa spotify youtube
auliapramudya_,flo
auliapramudya_,twitter memang racun parah benar bukan twiternya sih tapi omb
auliapramudya_,lights akan pandu anda rumah
auliapramudya_,alig nob sekali saya astaga
auliapramudya_,nila
auliapramudya_,tidak bayang bagaimana sakit si ayam tidak ngeluarinya
auliapramudya_,dapat jadi segera agunesu mangats ujian
auliapramudya_,sama ken tidak ritwit tapi raiso dadi tidak seperti saja
auliapramudya_,pikir nahlo bingung
auliapramudya_,saya saat mau tipsen selalu gagal kesal
auliapramudya_,tiang rumah sendiri
auliapramudya_,nang
auliapramudya_,raya
auliapramudya_,wajar kenapa
auliapramudya_,tawa tahu saja
auliapramudya_,editin
auliapramudya_,soksokan tidak mau maem eh jam gin baru rasa lapar sekali
auliapramudya_,sebenere nyaring instagram ki cuma putih gasih pancen dadi tambah ayo tawa
auliapramudya_,pikir bagaimana bagaimana
auliapramudya_,kan benar sekali
auliapramudya_,balada punya saudara mau keluar susah
auliapramudya_,selesai gosok gigi baru ingat pana cotta alias ager italiku belum tidak maem
auliapramudya_,wih kurang s memang
auliapramudya_,congratulation
auliapramudya_,sama masih hangat sekali
auliapramudya_,tren bensu jadi rindu geprek bensu
auliapramudya_,rumah lama lama bosan sekali tapi tidak mau keluar
auliapramudya_,apa bosenin sekali
auliapramudya_,dinginya buat telapak tangan keriput
auliapramudya_,tidak
auliapramudya_,saya ken iso
