username,tweet
citora_,sudah siap rebah ini masker dulu tawa
citora_,semoga begadang buah hasil
citora_,deh
citora_,dekat ya tidak benar tawa
citora_,saya akhir manta kapan tawa
citora_,mana fi
citora_,turut duka cita del semoga keluarga beri tabah kalau tahu dari es dokter spesialis apa del
citora_,tawa kemarin saya mimpin anda sama rudi baik kan saya kalau mimpi parsel tawa
citora_,ganti ktp rud tawa
citora_,tawa saya percaya kenapa rudi beda yang tawa
citora_,rud nama anda muhamad rudiansyah kan
citora_,saya ganti komentar fi
citora_,mantul itu tawa
citora_,bawa pasu saudara wanita tawa
citora_,nengokin nafasya
citora_,kalau saudara laki adi baju yang kasur del
citora_,sama del
citora_,senang ulang tahun dela
citora_,kelas cuma kelas sa
citora_,kalau saya makin gertak sama rudi tawa
citora_,microteaching tersantuy
citora_,tidak apa apa tan wajar kenapa tidak tahan ucap
citora_,ingin kasih cemil
citora_,barakalah fi umrik ani kenapa mangil ani rasa aneh tawa semoga sehat selalu sukses sampai bahagia selalu amin
citora_,dari ini untuk ini
citora_,pakai softlens saja
citora_,puasa biasa nyadran
citora_,amin angep saja vc sama teman tawa
citora_,tidak mau ah saya kalah terus tawa
citora_,tuhan sesak sekali hati saya sabar cit
citora_,sumpah rasa ingin uninstall whatsap
citora_,faiz saf ani anak ips tawa
citora_,cc kindut oi
citora_,semoga hari selesai
citora_,mau buat pekerjan apa buat anak
citora_,hakikat sekolah upaya maksimal mungkin tidak repot orangtua
citora_,aduh gusti
citora_,sombong busana
citora_,amin semoga cepat selesai di
citora_,brebes ramai saja
citora_,anda libur mel berapa lama
citora_,tjakep
citora_,lagu favorit saya tawa
citora_,aduh bawa rasa
citora_,iya ini del bagaimana kabar
citora_,peluk buat anda del semangat del tuhan uji hamba sayang
citora_,amin
citora_,tidak bawa rasa kenapa cuma cerita saja ayo kadang saya gatal ingin beli tawa
citora_,beli baju saya pilih buat cemil tawa memang uang tidak berapa ren
citora_,buat teman libur
citora_,lingkar cahaya aquarius
citora_,untung saya jomblo
citora_,batas suci ndri
citora_,tolong tidak nang tidak sedih
citora_,pusing apa karena kurang tidur belum istirahat
citora_,aduh
citora_,sesunguhnya apa yang milik milik tuhan swt
citora_,jadi pasang hidup
citora_,maaf rud posisi sudah beda sekarang tawa
citora_,tawa doang
citora_,nyata kerja lelah hormat sih sama ibu sama bapak yang kuliahin tiga anak waktu yang sama nama orangtua semua anak lah kalau saya gaji buat saya sendiri egosentris kekanak kana suka lepas kontrol suka keluh
citora_,tawa padahal baru kenal tidak kn fi tapi rasa sudah dekat sekali coba kalau ketemu utama bareng rindu fi
citora_,wu bagaimana sih jinuh
citora_,sabar rud dicelengin dulu rindu tawa
citora_,rindu madu lebah galeria rindu takoyaki hartono rindu puncak darat yogyakarta aduh sayang sekali uang dasar manusia
citora_,tuhan sudah lelah masih diomongin itu rasa tidak sampai saya tidak ikhlas ngelakuinya
citora_,pekerjaan buat besok selesai
citora_,suka ikut tidak pernah menang sedih
