username,tweet
destychaniaa,bagaimana untung saya saya
destychaniaa,bukan wid saya syok volume nya kencang sekali
destychaniaa,apa wid tawa
destychaniaa,sudah hasil tidur cepat biasa terus lupa tidak matin data ada notif muncul syok bukan utama sekarang jadi segar sekali alias tidak bisa tidur
destychaniaa,sending virtual peluk buat deam
destychaniaa,tidak begitu konsep
destychaniaa,tidak kenapa apa lebih lelah kenapa apa
destychaniaa,cocok didengerin pakai earphone sore sore kena angin sepoi sepoi
destychaniaa,ketemu mimpi saudara wanita khan main
destychaniaa,suara sejuk sekali seperti ubin masjid
destychaniaa,gajauh beda sifat
destychaniaa,senang ulang tahun palul pikiranya sangat bersih harap anda semua itu terbaik oleng
destychaniaa,tahun sekarang
destychaniaa,benar kata saudara adam orang
destychaniaa,saya ke koriyah
destychaniaa,asik sepeda balu
destychaniaa,bawa motor pelan pelan terus pakai earphone enak
destychaniaa,campur aduk feelings
destychaniaa,baik sekali ken peluk
destychaniaa,oma
destychaniaa,teh
destychaniaa,strawberry bubblegum
destychaniaa,tidak paham bahasa kenapa sedih sekali
destychaniaa,kena t sembunyi saya akan tunjuk anda
destychaniaa,terimakasih pi
destychaniaa,bagaimana dong tawa
destychaniaa,gimanasi cara agar tidur cepat
destychaniaa,rendang
destychaniaa,kebahagian sedih semua rasa tanggung jawab masing masing
destychaniaa,sengaknya saya jadi ajar tidak rasa sendiri kalau buat baik tidak usah ngarepin timbal balik apa tetap baik sama siapa sebar bahagia saja sudah cukup sayang
destychaniaa,emon baik anda menemani saya tonton yovie sampai nuno sama konser exo wkwkwkwkwkwkwkwkw aminin dulu saja kan
destychaniaa,tonton drama korea tidak bisa begitu dua episode saja
destychaniaa,ija
destychaniaa,ada tiba tiba video panggil paman paman
destychaniaa,tidur
destychaniaa,saya baik tidur saja tidak apa apa
destychaniaa,kenapa gerah sekali
destychaniaa,pernah bahas di henti ip
destychaniaa,saya tonton preman pensiun sobat
destychaniaa,sepatu adinda ada gambar daun singkong tiga
destychaniaa,kelinci sama ikan humoris saja
