username,tweet
dippp_p,kalok tidak ada status nuntut begini gasih hallow saya tydak sadar diri asdkfhsjdjdk
dippp_p,awkowkow tidak renti senyum sendiri tadi yaelah budak cinta
dippp_p,gamtenknya mantan saya
dippp_p,sedih
dippp_p,ayo bodoh ayo ayo ayo
dippp_p,saya kapok poin yang benar sudah pikir kalau tahu akan sakit hati pft
dippp_p,sesal ingin tahu tidak tahu jadi sedih sendiri
dippp_p,masuk semester akhir jadi bagaimana sudah humoris
dippp_p,bom sekarang ibu halang pandemi takut lupa suasana bareng teman tidak ketemu di
dippp_p,saya tahan hari saudara ngikuti ct tawa
dippp_p,tidak anda pengirim tawa
dippp_p,jurus teh ning saudara farmasi biru matematika merah teknik geologi oren apa deui begitu poho
dippp_p,awokwokwowk peta lepas
dippp_p,anggur kan anda maksud
dippp_p,dokter diomongin dokter
dippp_p,lelah mental
dippp_p,tawa saya tahu siapa dari cerita saya tawa
dippp_p,donee
dippp_p,saudara
dippp_p,siapa anda hai keluar sial anak farmasi paku semester tawa
dippp_p,pernah tidak anda kerja ujan nang senguk sial memang gara nang doang uji goa tidak selesai
dippp_p,banyak nang buat pusing sampai mual ya
dippp_p,kadang sadar sih hati kalah otak alias jadi tidak bisa pikir goa mana yang benar mana tidak
dippp_p,kayak sayang sendiri
dippp_p,tidak tahu apa gadis terlalu ada sekali bagaimana kecil apa ya tetap buat sakit hati
dippp_p,pernah tidak sih rindu sama orang benar dideket tiap hari ketemu rindu kayak dikangenin itu bukan orang sikap biasa kecil biasa lihat tidak lihat itu dikangenin sedih
dippp_p,sudah
dippp_p,saya seperti retweet ribu kali
dippp_p,saya itu orang haus perhati alias dicuekin dikit saja menang iya tuhan gin kelelawar sudah ahelah
dippp_p,iya sakit sekali rif gatal sekali sampai telan ludah saja rasa sakit sudah lelah
dippp_p,tangis tapi sampai bercak darah sakit sekali tangis
dippp_p,batuk sampai keluar bercak darah itu napas gais iya tuhan mau nang saja sakit sekali tengorokan
dippp_p,obat batuk dahak yang sampai sakit sekali tengorokan apandah iya tuhan mau nang sakit sekali
dippp_p,sedih
dippp_p,beberapa orang iya saya sampai pingsan karena benerw lemas tiap datang bulan demam sedih
dippp_p,coba dong kasih tips hubung status pacar mya manis kayak gin kasih tahu
dippp_p,kucing siapa ih gemas
dippp_p,bangun nang baca benang keluarga aurel azriel krisdayanti ah jadi anak rusak rumah memang sakit
dippp_p,saya hari olahraga chloe ting besok demam sial mana badan sakit semua muka pucet sekali bodoh lah ahelah tanjung
dippp_p,tidak seta insekyur
dippp_p,menang
dippp_p,bang item kurang kolormelar
dippp_p,seperti benar harus obat sudah
dippp_p,gacor buduk item dekil dimarahin guru terus pingsan masuk uks hanya suka sama saudara kelas
dippp_p,sudah kodrat gadis kayak gin kali tanya semua teman salah tidak sih kalau saya seperti gin kayak begitu pada ngewajarin saja kata pun
dippp_p,baru kali rasa terima terima saja abai begitu saja sama orang dulu sakit hati dikit saja sudah bodoh ini tiap hari nikmatin sakit hati
dippp_p,tahu tidak sih rasa bingung kalau anda itu sayang abai senak begitu bolak balikin hati orang sakit inimah serius
dippp_p,ya kayak tidak dihargain sekali
dippp_p,ini tidur jam tengah subuh bangun jam tengah jam praktikum online lanjut uji praktikum lanjut tugas tunggu masuk rumah sakit nya saja inimah memang syal
dippp_p,tanda diri sendiri agar sadar diri
dippp_p,kenapa singkat sih nang tidak puas bicara bajing
dippp_p,monangis
dippp_p,mana sih orang yang dulu selalu maksa saya buat cerita kalau saya lagi lihat tidak baik saja apa
dippp_p,dimana s saya manusia buku hari
dippp_p,goa butuhin buat jadi dengar siapa datang memberi telinga siapa tailah
dippp_p,sumpah baru nang senguk gara kuliah doang seperti tanjung sekali goa anji tapi tidak dapat apa padahal sudah semster tua mau keluh salah jurus sudah nangung biadab
dippp_p,ah percuma mau keluh sampai mulut goa busa siapa peduli anjnk
dippp_p,iya tahu semua kuliah tanjung tolong atulah inimah tidak ada semangat sama sekali saking sudah tidak tahu mau gimananya
dippp_p,sumpah mau keluh sekali sama kuliah tai kucing
dippp_p,tidak yang erti saya
dippp_p,otak goa hilang
dippp_p,jisung aktivitas antioksidan formulasi dian sabun cair buah apel malus domesticus iya tuhan judul jurnal
dippp_p,agar tidak mager tugas bagaimana sih iya ampun ngetik tugas ngantuk sekali tonton drama korea sampai jam subuh tidak ngantuk
dippp_p,saya negara cinta harap subsidi kuota ribu kampus dari maret tidak turun itu mapuluhribu
dippp_p,kalian suka tiba ken nang begitu tidak sih kalau lagi bengong bengong dikit nang
dippp_p,saya ucap saya cinta anda diri sendiri
dippp_p,cemil tidak pedas itu seperti baik gausa cemil saja sudah saya gituloh karena tidak enak pernah tidak anda bawa ugd tengah jam cemil pedas itu saya
dippp_p,jadi ikut sayang bang ikin
dippp_p,berisik
dippp_p,mau bilang keren buat orang tidak putus tengah pandemi
dippp_p,monangis enak sekali
dippp_p,bang anda napasih receh
dippp_p,saya tipe gadis yang baik debat antem sekali baik daripada diam diam diam diam tidak bahas apa nyimpen kesal jam jam nyakit
dippp_p,padahal ibu mau ngabisin waktu bareng doang saja loncat saya sampai gin
dippp_p,cari perhati gin des tawa
dippp_p,definisi tidak tahu diri itu gin kali
dippp_p,pikir kasi lihat diri sendiri kenapa gin
dippp_p,gimanasih agar tidak harap banyak sama manusia itu asli sudah nyakit sekali punya sifat gantung seperti begini
dippp_p,iya sudah anda doang sibuk anda doang kuliah anda doang sudah pokok tidak
dippp_p,hai saudara ada ini malu
dippp_p,nmingu yang lalu saya coba baru hari tidak sanggup henti sampai sekarang pekerjaan saya rebah doang
dippp_p,sudah jual saudara malu
dippp_p,apa malu
dippp_p,saya tahun jadi seperti
dippp_p,saudara kelas saya tidak sampai tabur busetdah dulu ibu mos saya tawa
dippp_p,saya mau saya mau tawa
dippp_p,sedih sekali lihat berita tagar semoga orang orang lebih peduli rad sama manusia beda ras
dippp_p,tidak mau ngebuly kenapa dia suka sekali buat orang ken julid
dippp_p,ital kampret ada ada saja anda buat saya khayal
dippp_p,ken nontn gara sungjae nya tawa
dippp_p,sumpah ken nasi padang
dippp_p,eh seru tidak
dippp_p,lingkar cahaya admin mau ganti password wifi bagaimana tolong anak kos saya yang tidak bayar wifi enak buat mau saya ganti paswordnya agar mampos
dippp_p,saya oily acne cenderung sayang
dippp_p,pesan langsung saja malu
dippp_p,sisa
dippp_p,tangis
dippp_p,jadi hari buat saya tekan sekali sudah sumpah ken marah nang saya kira google drive hal yang gamungkin di hack tapi jadi terus periksa twitter benar banyak yang pernah jadi
dippp_p,akhir buat foto nge pelatuk beberapa orang perihal potong atau diri bahaya maaf sekali malu benar tapi asli saya sudah lama sekali tahan diri tidak kayak begitu sudah lumayan lama semoga jelas saya hilang pikir negatif berapa orang yang sempat tanya terus makas
dippp_p,foto pakai tanktop yang keliatanya tidak baik foto dicrop asli foto benar tengah badan yang saya kirim fitria indah whatsap tidak tanya mana saya balas pakai pap wajar sama teman gadis rasa bebas kirim pap tapi tetap maaf sekali jadi ajar
dippp_p,awal gara isi data link yang akhir banyak bagi pesan langsung pesan langsung kira apa bodoh saya malah penasaran terus disi sekarang saya sudah balik bantu teman yang buat akun saya pulih
dippp_p,saya mau lurus sama teman tadi siang syok sama pasang akun saya tadi siang gmail saya retas sampai twitter dulu nya beberapa data foto yang simpan akun yang sambung sama gmail jadi nyebar
dippp_p,somebymi nya sudah jual sama gais
