username,tweet
ditdandep,dong kasi
ditdandep,ikan buntal begitu
ditdandep,oiya saya tidak tahu ikan apa
ditdandep,bukan ikan gabus
ditdandep,nyonya titip beli ikan neon yang datang
ditdandep,tumbuh daun baru
ditdandep,itu hanya kue keju itu saya tuju
ditdandep,charlie buluh
ditdandep,olahraga apa baseuh begitu
ditdandep,saya sudah tidak seuhah
ditdandep,pagi chloe ting jam malam cemil mie saya
ditdandep,sampai hafal tidak sih tawa
ditdandep,semangat saya br mulai lagi
ditdandep,tos dulu
ditdandep,jual pizza lucu
ditdandep,bangga sabar
ditdandep,hehehehehe yang penting tidak salah ambil jurus kuliah nyeselnya umur hidup
ditdandep,dulu tidak sampai tahu per hierarki an ipa ips ingin masuk ips terus kasih tahu info ingin masuk ipa karena kata lebih mudah ambil jurus dilema akhir pilih ips sampai sampai sampai sekarang turut saya masuk ips satu dari itu terbaik decisions saya ve pernah made lucu
ditdandep,acak sekali mimpi tonton sama ahn jae hyun terus syuting saya dapat meni
ditdandep,bagus agar tidak ada maling
ditdandep,berapa yah
ditdandep,tawa
ditdandep,selamat tinggal selamat tinggal koki
ditdandep,kawin paksa
ditdandep,anak buah kapal
ditdandep,iya ya
ditdandep,apa
ditdandep,saya jadi kompetitif
ditdandep,sampai akhir buat gregret da
ditdandep,twotm
ditdandep,sampai takut gadis sama tidak
ditdandep,spotify nya hasil nge bagi itu yah
ditdandep,ayo coba nyanyi
ditdandep,kaca saudara laki
ditdandep,sengaknya semoga foto ekskul bagus saja tolong
ditdandep,dan itu aneh pose seperti kenapa
ditdandep,pikir buku kecil yang foto saya yang saya pilih jelek akan lihat angkat
ditdandep,keng deniel
ditdandep,anjoy
ditdandep,mksdnya yang sama lengser loh
ditdandep,anda saja bawa payung
ditdandep,ken pawidya
ditdandep,umur bulan lebih tepat
ditdandep,tawa
ditdandep,wkwkwkwkwkw nyangkut
ditdandep,tolong tidak neraka kasi ibu dokter
ditdandep,mandi tidak
ditdandep,nanti saya temu
ditdandep,selingkuh sama tetangga
ditdandep,maaf sekali tidak pernah saya kunjung lagi
ditdandep,susah sekali cari cc nya sumpah
ditdandep,maaf sekali saya bosan
ditdandep,tidak mirip sekali tapi di least saya tried
ditdandep,saya dapat chu
ditdandep,tawa bisa hubung
ditdandep,tidak
ditdandep,buat emosi sial tonton tapi seru
ditdandep,saya tiap hari
ditdandep,coba keringetan sekali sumpah
ditdandep,chloe ting nyiksa sekali anda
ditdandep,cries in indonesian
ditdandep,rindu lingkar cahaya sobat niners
ditdandep,acak sih tapi e nya panjang sekali
ditdandep,kenapa mugshot tantang tapi foto seperti keras penyalahgunaan victims
ditdandep,sesal sekali tidak daftar putar tidak sempat lihat karena beda tahap
ditdandep,mukena saya tawa
ditdandep,satu
ditdandep,cerita buat rv tapi tidak ada yang mirip tawa
ditdandep,jadi tidak jadi ini ajar ekonomi
ditdandep,kejut apa benar
ditdandep,tinky winky dipsy sama po nya sudah tidak tahu kmn
ditdandep,tawa sumpah jadi rem sekali
ditdandep,asli mata sayu sekali
ditdandep,memang
ditdandep,mandi kalian semua
ditdandep,tidur ca
ditdandep,garis yah
ditdandep,hari dari karantina
ditdandep,ajar utbk
ditdandep,selamat tinggal selamat tinggal
ditdandep,sering nontonin di youtube karena humoris sampai seru nyata
ditdandep,tonton telah menikah terus cerai beda rasa
ditdandep,gadgetout
ditdandep,apa
ditdandep,itu sims malu
ditdandep,buah selamat kegabutan
ditdandep,benar dilakuin tidak sih
ditdandep,bagaimana utbk
ditdandep,jadi utbk
ditdandep,kasi pikul beban besar
ditdandep,thx saudara laki
ditdandep,jiakh menikah
ditdandep,kenjangan sosial
ditdandep,iya sangat berhubungan sampai sampai sampai saya introvert sisi akan jadi jadi senang untuk buat ini sosial jarak benda
ditdandep,bijak
ditdandep,marahin
ditdandep,sekali
ditdandep,saya sendiri
ditdandep,hari ngejulidin saya tapi kalau ulang jadi baik minta pap rangkum terus dijadin contek pikir memang dasar
ditdandep,surya dong utama tiktok sendiri
ditdandep,ibu andhita dong selisih bapak faraz
ditdandep,saya told anda
ditdandep,tidak apa apa saya tetap bangga
ditdandep,eric menang
ditdandep,bawa rasa
ditdandep,cara bedain ikan gadis pria bagaimana
ditdandep,baru lihat kucing nang
ditdandep,kap bubar
ditdandep,tanda debut
ditdandep,nct saya siapa
ditdandep,suka beli
ditdandep,sakit doang apa semua orang si
ditdandep,pusing
ditdandep,kopi teman lama isi apa sih
ditdandep,memang
ditdandep,kejut
ditdandep,oiya oke terimakasih banyak haikal
ditdandep,langsung gembira
ditdandep,apa hewan hari
ditdandep,lama guru awal pelihara ikan kecil kecil pada mati terus beli ikan burung beo tahan lama sekali suka antem mati sisa nah tidak mati mati jadi bosan cuma doang akuarium saya beli koki lah mati
ditdandep,bom sampai hari an
ditdandep,pulang pulang yang oren ngambang mati kenapa sih salah mana kasih tahu
ditdandep,tawa saya sekali
ditdandep,jari kaki
ditdandep,kerkom akhir
ditdandep,al fatihah
ditdandep,semoga tidak seperti gin ya
ditdandep,tidak mati seperti bas ikan sblmnya
ditdandep,apa
ditdandep,tawa
ditdandep,tidak sampai
ditdandep,reset
ditdandep,sapi deh anda
ditdandep,banyak gaya da
ditdandep,awal kamis anda dicarekan ibu eli
ditdandep,nanaonan
ditdandep,memperkenalkan saya candice swanepoel
ditdandep,remi keun
ditdandep,mau nyanyi saja
ditdandep,thx alif sampai sofia saya jadi cepat hapal
ditdandep,ih humoris
ditdandep,sengaja digampangin tetap salah
ditdandep,utama ke rumah
ditdandep,kecil sekali
ditdandep,thx ibu des jam liatin jalan
ditdandep,kira
ditdandep,juang senam semangat bentar
ditdandep,tidak tiru
ditdandep,tidak punya tidak apa apa
ditdandep,sepupu baru
ditdandep,sangka
