username,tweet
eyaaaxx,tiap hari sekali
eyaaaxx,kelaperan jam gin jadi lyke
eyaaaxx,jalan depan gank kostan akan buat flyover lagi sudah bayang akan panas apa lampung sudah tidak pohon
eyaaaxx,perut saya sampai skr nyeri saja ui
eyaaaxx,makin banyak baca berita informasi yang sedang ramai skr ada makin tidak waras gin
eyaaaxx,nyut nyut habis minum kopi aelah
eyaaaxx,astagfirualah benar parah sekali buat gedeg sekali tuhan
eyaaaxx,hari pertama nyeri cui
eyaaaxx,tidak paham lagi rasa dari kemarin bawan hati tidak enak hanya seperti mau nang tapi tahan tahan tapi buat sakit hua
eyaaaxx,nang
eyaaaxx,pena nang rasa tapi tidak tahu dasar aneh
eyaaaxx,alahu saudara wanita ti anda iya
eyaaaxx,peras kalau diturutin omong kosong negatif mana mana coba buat tenang buat tapi positif saja karena tidak mau rugi hal yang tidak yang buat diri tidak tenang sendiri
eyaaaxx,tidak paham tidak paham
eyaaaxx,sakit perut maleman nyiksa sekali
eyaaaxx,juga omong kosong tidur skr hujan deras sekali
eyaaaxx,receh sekali saya gin saja tawa saudara rasa oke sekali
eyaaaxx,sedih lihat semoga cepat sembuh saudara wanita adeknya tidak bayang betapa sakit nangung luka hingga seperti itu
eyaaaxx,tidak lapar bawan haus sekali ken yang dingin dingin begitu
eyaaaxx,ucap maaf terimakasih ngebuat orang rasa sedikit lebih harga benar sederhana manusia suka lup
eyaaaxx,tanya pagi anda tidak mau cinlok juga begitu seperti teman anda padan kan cinlok semua tawa tanya unfaedah pertama yang kudngr hari
eyaaaxx,kan skr malah segar mata sial
eyaaaxx,kucing apa kao
eyaaaxx,jari anda imut kita seperti orang
eyaaaxx,coba cari jawab serius tapi nihil tawa
eyaaaxx,mau tidur cepat halang kerja di rumah lelah
eyaaaxx,ngantuk berat skr pdhlan cemil saja tidak hari
eyaaaxx,tanjung kalau selalu per orang emis juga serah saja la skr duli apa
eyaaaxx,hebat betul diri tidak rasa lapar sama sekali tawa
eyaaaxx,saya sekali ini dulu bola balik kulkas cuma mau cemil susu saudara
eyaaaxx,udahla eneg sekali sama semua hari
eyaaaxx,uras tenaga emosi sekali hari
eyaaaxx,saya cengeng yak bdmod dikit mewek emosi dikit mewek saya doang apa model manusia begini yak
eyaaaxx,rencana mau mulai tonton drama korea lagi eh malah mata nya ngantuk sekali yowesla tidak dipaksain jarang omong kosong ngantuk soal e tawa ayo tidur ayo
eyaaaxx,gin saja tawa alahu
eyaaaxx,iya kalau hasil buka salon saya siap jadi asisten anda tawa
eyaaaxx,mon maaf kan saya jujur iya masih kurang warna dong
eyaaaxx,belum lihat ubah
eyaaaxx,pegal sekali jari kaki seperti habis lari putar pdhlan duduk saja
eyaaaxx,tidak percaya zodiak tiap kali baca zodiak selalu benar seperti mana itu
eyaaaxx,omong kosong tidak hari hapus saja agar jadi bulan saja sekali
eyaaaxx,juni tiba tiba sudah tanggal saja cepat yak
eyaaaxx,kenapa lagi perkara perak hilang hati nurani alahu tidak paham
eyaaaxx,sih manusia tidak seperti manusia
eyaaaxx,makin besar makin banyak takut cipta diri sendiri
eyaaaxx,hari ntah rindu sekali sama ibu rasa malam ken tidur peluk ibu tangis semoga sehat selalu ibu sana
eyaaaxx,cita cita hesti sampai halimah jadi jurang kos kostan masa depan hahahahahaha amin
eyaaaxx,khilaf sekali kalau soal cemil cemil saya tolong
eyaaaxx,ale mantan tawa
eyaaaxx,punya banyak voucher diskon ambil sudah kelaperan pagi eh masih tutup
eyaaaxx,pagi pagi sudah hujan sejuk
eyaaaxx,anak durhaka
eyaaaxx,lah kenapa iya
eyaaaxx,beli masker besar pakai bukan cuma nutup mulut hidung sampai mata tutup juga bhahahaha
eyaaaxx,saya kacamata buram syekali
eyaaaxx,tawa iya sekali ibu
eyaaaxx,magrib ngantuk nya sekali kuat sekali seta
eyaaaxx,kalau lagi mati tidak omong kosong lihat matahari dikit saya semua semua lansung jemur tawa
eyaaaxx,beli daster shoppe reviewnya bagus sudah jutan ekpestasi bagusla eh tidak datang bukan daster yang datang tapi singlet tawa
eyaaaxx,buat wardah yang kata halal komedo hilang kering kebgtan dahla memang semua punya kurang lebih masing
eyaaaxx,punya masalah siapa yang buat emosi siapa alahu
eyaaaxx,jaring wifi bapuk sekali asli
eyaaaxx,aminin saja dulu belum tahu siapa anda ehehehe
eyaaaxx,sabar del tawa
eyaaaxx,nyata seru juga banyak tahu juga tawa
eyaaaxx,tawa iya turun juga akhirya saya cuma buat lihat saja tidak sampai saya joget juga saya banyak yang mau blokir kalau sampai saya joget
eyaaaxx,saya turun tiktok awas saya lihat utama tiktok saya blok tawa rem mentemen saya
eyaaaxx,tanda tidak cinta anda tawa
eyaaaxx,dulu kalau tidak suasana hati sama foto instagram mau tidak mau harus hapus skr sudah filtur arsip jadi lebih mudah deh kalau bosan tinggal arsip harus hapus dan balik
eyaaaxx,kalau lihat sama gadis dari badan ideal muka cantik terus rama suka saja ngeliatnya seperti sempurna sekali sudah sama perempuan saja kagum apalgi laki kan ngeliatnya
eyaaaxx,kekeyi tren hanya tidak ditwiter tidak youtube sampai ladygaga saja kalah warbyzah
eyaaaxx,ken banyak beli itu buat ngerias kamar begitu kan tapi etik orang yang tidak mau rumit saya itu kalau pindah anak kos kan susah bawa nya aduh
eyaaaxx,kuota seperti air ngalir terus peras baru isi belum seminggu hari juga belum peras sudah dapat notif saja
eyaaaxx,kira saya sendiri nyata jadi bias semua tawa
eyaaaxx,ibu apa majikan
eyaaaxx,bagus tidak kira tawa
eyaaaxx,ayo anda ibu seluruh umat juga anda punyo aibnyo
eyaaaxx,tutup kebaikanamu sama dengan anda tutup aib
eyaaaxx,tawa tawa saya tidak kuat ayo bayu
eyaaaxx,nang ayo bayu
eyaaaxx,amin amin saja dulu iya kan sapa tahu benar
eyaaaxx,parah ih
eyaaaxx,tuhan begini saja saya tawa
eyaaaxx,akhir turun tiktok juga akhir tawa banyak juga tahu yang omong kosong didpt nyata
eyaaaxx,yang tidak pernah dilupain kalau mau tidur pakai bodylation kecil sekali saya lakuin tidak mau putih tidak tapi seperti lebih enak saja begitu belum tidur pakai bodylation
eyaaaxx,wejang pagi tidak banyak pilih jng banyak nuntut hidup banyak sabar jng apa digampangin jadin ajar apa yang buruk dari orang yang pernah ngalamin agar depa tidak ulang diri anda
eyaaaxx,tidak sahabat sekali perut pagi hua
eyaaaxx,pernah sayang sendiri tawa
eyaaaxx,hidup dimn sih saya
eyaaaxx,sinyal jelek wifi jelek halah
eyaaaxx,semua jadi orang beda waktu
eyaaaxx,tiati
eyaaaxx,drdl siapa saja teman juga kalau saya tahu cerita terus memang tidak salah tapi sakitin dijahatin begitu saya ikut emosi tidak omong kosong diam dngrin curhat saja apa emosi deh untung masih tahan kalau tidak blablas mulut
eyaaaxx,saya itu paling tidak omong kosong lihat teman nang rasa mau caci maki yang buat nang ah emosi deh
eyaaaxx,betol tawa
eyaaaxx,tiba ken punya anak gemas kali kenapa dng anak kecil tawa omong kosong diuwel omong kosong beli anak online dulu tidak sih
eyaaaxx,niat awal agar hemat agar tidak gofod hanya eh keluar beli cemil mampir indomaret jajan indomaret lebih besar dari ongkos gofod tawa kan bias saya itu
eyaaaxx,tawa pena tanda ayo tapi ayo tidak utama twitter lagi tawa
eyaaaxx,serah saja deh sabar orang juga batas
eyaaaxx,laku tawa
eyaaaxx,pernah ngalamin ini gin dulu tawa sudah irit pulsa tidak gratis tidak balas lagi
eyaaaxx,punya teman dekat nya suka sama orang yang sama satu curhat yang satu nya tanya saya lah saya yang tengah kan ikut bingung nya teman
eyaaaxx,lagu melengkat sekali waktu kecil tawa
eyaaaxx,sombong saudara laki nya
eyaaaxx,baru lebaran hari
eyaaaxx,tapi semangat saudara wanita semoga depan hidup anda jauh lebih baik
eyaaaxx,amin paling serius
eyaaaxx,hesti memang paling baik kalau dngrin curhat saya awokwkwkwkw sayang saudara wanita ti
eyaaaxx,tawa
eyaaaxx,indah lebaran tahun rebah cui tawa
eyaaaxx,kumafkan
eyaaaxx,tuhan baru juga lebaran hari pertama iya belum juga minta maaf anda sudah sudzon saja
eyaaaxx,keluh nyerah tidak siap
eyaaaxx,tanda orang
eyaaaxx,sudah kedengeran suara takbir tuhan monangis
eyaaaxx,gugup
eyaaaxx,kata mati whatsap goa tidak renti dari pagi skr tawa nikmatla pokok e
eyaaaxx,lihat sekali mau ngejatuhinya tidak paham
eyaaaxx,begitu
eyaaaxx,tidak aman salah satu paling nyakitin sih kalau saya karena efek omong kosong hari omong kosong mana pdhlan kalau pikir tidak lagi baik tidak hingga seperti itu juga sih tapi nama manusia suka tidak omong kosong tahan diri juga tangis
eyaaaxx,singgung tawa
eyaaaxx,nah betul
eyaaaxx,lebih tua harap omong kosong lebih dewasa agar banyak ngertin diri yang masih banyak kurang huahahahahah
eyaaaxx,balas obrol pdhalan memang niat balas
eyaaaxx,ngapasih
eyaaaxx,tangan kiri gatal sekali mau nerima banyak rezeki begitu
eyaaaxx,tulus balas sempat tawa sedih
eyaaaxx,coba beli yang asli ini awas saja tidak lama
eyaaaxx,lebaran tidak beli baju baru beli chageran baru ampun boros saya sama chargeran
eyaaaxx,kabel chargeran rusak tuhan maha besar tanjung deh sekian kali
eyaaaxx,cenat cenut pala saya pekerjaan belum yang selesai amsyong
eyaaaxx,yang dipikirin skr kalau pekerjaan tidak whatsap sudah dihps sudah
eyaaaxx,kata bank hari belum tutup bank sudah nutup lelucon juga begitu mana panas ampun monang
eyaaaxx,ampun gusti panas sekali hari
eyaaaxx,datang lebih awal pulang lebih akhir semangat jumat
eyaaaxx,hilang pasar tawa
eyaaaxx,begini sudah mulai pikir lagi hal tidak
eyaaaxx,smlm ketemu kasur nemplok lansung tidur bangun enan malam lagi dong
eyaaaxx,kasi saya
eyaaaxx,gaya
eyaaaxx,disabarin saja mungkin hikmah mungkin
eyaaaxx,ngiang ngiang sekali lagu rosa tuhan mafkan diri wkwkwkwkwkwk
eyaaaxx,mau jadi diri sendiri nyaman mungkin tidak pernah rugi orang ya serah saja begitu kan
eyaaaxx,tawa
eyaaaxx,sayang anda kalau begini
eyaaaxx,ampun
eyaaaxx,hubung e e
eyaaaxx,suka tidak paham sama diri sendiri kadang
eyaaaxx,dahla memang cuma waktu yang omong kosong kasih jawab
eyaaaxx,tidak salah juga paksa juga sih nama peras
eyaaaxx,tulus bodoh memang beda tipis sih
eyaaaxx,tawa
eyaaaxx,tawa laki
eyaaaxx,promosi pesan cemil saya tahan sampai jam hahahahahaha
eyaaaxx,mentang saya kerja tiap hari pegang nya uang tanya tukar uang baru tidak sampai tetangga desa tawa mau lebaran sekali
eyaaaxx,hikmah balik tidak mudik kan
eyaaaxx,kadang malah tidak tidur sama sekali bsknya kerja
eyaaaxx,rasa malu kalau bicara maaf jadi banyak diam kalau hormat an ps lebaran
eyaaaxx,benar tapi fokus ajala kerja yang bnr tidak usah hiruain sudah kiri kanan dng sgl kalimat menjauhkanya
eyaaaxx,ikut nampol saya
eyaaaxx,tawa sendiri nyata
eyaaaxx,susah payah buat tidur eh mala bangun segar mata
eyaaaxx,ide bagus ini tawa
eyaaaxx,cayang
eyaaaxx,panjang umur orang baik
eyaaaxx,minta segar ini mata
