username,tweet
fadfadholic,sudah
fadfadholic,penting edukasi buat kucing
fadfadholic,gimna awal saya apalnya refnya saja
fadfadholic,senang lihat tumbuh kembang bayik kucing
fadfadholic,kalau bajing ibu sekali buat byar kos cemil haha
fadfadholic,pergi makan tidak sampai sini tawa
fadfadholic,kring kring bunyi sepeda
fadfadholic,yang tulis lagu saha
fadfadholic,cerita di makan instagram haha tidak ah harga mahal l sudah masuk barang langka haha
fadfadholic,pena punya anak kucing oren putih item malah yang keluar belang tiga terus jadi ingat lagu lelah
fadfadholic,memang sudah jadi istri wadidow
fadfadholic,semoga dijabah tuhan tempat sampah
fadfadholic,dekat sama tegal enak itu tapi sayang sekarang tidak pernah kesana lelah jadi ingin
fadfadholic,saya simpan perahu kertas saya tidak bukan tapi anda tidak mau terima hanya buah cerita lama layak tutup rapat baik saja belum pernah mulai tapi akhir
fadfadholic,ingin strowbery lelah
fadfadholic,kenapa orang orang beli sepeda sih
fadfadholic,kapan mau rumah saya
fadfadholic,jual dulu bapak teman sekarang teman yang ngelanjutin usaha bapak sekrang jual cilok jual sate aci mangkal tiap sore sampai malam tetap yang jual teman saudara nya mantap pokok ibu
fadfadholic,dulu tidak sampai dengan beli cilok perak sudah banyak sekarang kalau mau kenyang cilok yang sama tidak saya sampai dengan rasa sama sambal kacang tipikal teksture cilok beda sama saudara laki cilok yang sekarang
fadfadholic,pngin punya patner diskusi tapi yang tidak mengurui lelah
fadfadholic,anak kucing saya yang introvet sering ngumpet belakang sanyo yang ditutupin ember
fadfadholic,pagi tikus besar sekali depan rumah aduh sapa yang buang memang neraka
fadfadholic,gambar gituan saja gel iya iya
fadfadholic,ayo ayo gambar mangkok mie ayam saja
fadfadholic,tidak buat biasa saja
fadfadholic,nyut nyut nyut
fadfadholic,ingin cerita tapi tidak sama manusia beberapa pngin cuma dengar tapi kesan sambat yang mendengarkan tanjung sendiri dipendem sendiri
fadfadholic,eh tapi kan sudah pagi
fadfadholic,sudah ah malam
fadfadholic,aduh kenapa tiba checkout shopee bayar tidak ini dasar tangan jahil
fadfadholic,ayo nyanyi ayo mimpi begitu indah tidak pernah wujud sudah
