username,tweet
firdahanifa_,cemil buat orang sakit bubur apa si
firdahanifa_,lelah sekali hidung begini hanya
firdahanifa_,sudah hari turut kalau tidur mimpi aneh hanya
firdahanifa_,saya mau mol saja pikir kali ujung nya tidak jadi
firdahanifa_,sok seperti orang penting saja da da
firdahanifa_,begini loh alita cara nabi temu tweet traveloka anda
firdahanifa_,diam anda
firdahanifa_,beli buku online yang trusted dimana si
firdahanifa_,saya pernah gin ini belum apus buat atas terus nang habis langsung nang pagi bengkak besar sekali sekali tapi tidak asal kasih obat kompres pakai air hangat dulu
firdahanifa_,hai tapi saya cinta saya lembut sisi tawa
firdahanifa_,bagaimana untuk jadi tidak such sebuah murung pantat
firdahanifa_,hai virgo
firdahanifa_,kenapa buat saya penuh certain orang in kita lives
firdahanifa_,rindu cemil semua anda bisa makan
firdahanifa_,saya taruh tawa di itu akhir dari every sentences tawa
firdahanifa_,valid sekali tawa
firdahanifa_,gagal pindah nyala darimana sedih sekali
firdahanifa_,saya messed atas hilang sj
firdahanifa_,dan saya harap saya bisa run untuk anda
firdahanifa_,hehehehehe sama dibest
firdahanifa_,tidak bahkan tengah malam tapi lambat malam pikir pukul saya sudah
firdahanifa_,saudara laki enak anda saudara ditanyain semua orang tawa
firdahanifa_,anda ve sudah hebat hari ini
firdahanifa_,itu s friday
firdahanifa_,sudah lanjur
firdahanifa_,ken bantu jawab tapi sudah pusing duluan
firdahanifa_,benar memang telkomsel
firdahanifa_,indah panjang hari libur
firdahanifa_,hari ini s pandang
firdahanifa_,cuaca hari bagus sekali seperti dukung suasana lebaran
firdahanifa_,niat baik cuma itu beban
firdahanifa_,saudara silma tidak mau beli apa bonus poster suho ini saudara tawa
firdahanifa_,foto kartu hologram resmi natrep kali exo yang mau beli tidak
firdahanifa_,atet anda baca tidak sendiri tidak sedih hanya
firdahanifa_,teman saya batas bantu siram shopee tanam
firdahanifa_,tawa apa goa tidak buka whatsapp tahu sudah an tawa
firdahanifa_,agar orang nikmat sesuatu elah
firdahanifa_,tanjung sekali mimpi kejar dinosaurus
firdahanifa_,saya saya jadi cheesy tapi tahun seperti br sekarang telepon lama gin
firdahanifa_,manglingi
firdahanifa_,benar akhir tidak beda paling meng anda kan yang suka cyber bullying
firdahanifa_,pb sekali
firdahanifa_,bulanya bagus sekali hari
firdahanifa_,ken jadi kucing saja
firdahanifa_,tidak ada apa apa sekali
firdahanifa_,selamat
firdahanifa_,makin gila
firdahanifa_,gila
firdahanifa_,hai bangun hai cukup halunya
firdahanifa_,kenya ibu begitu tawa
firdahanifa_,mon peta situ siapa
firdahanifa_,iya ampun rindu taylor cepat
firdahanifa_,jalan pamulang ramai tidak ada psb
firdahanifa_,chen sudah jadi bapak
firdahanifa_,ancyur
