username,tweet
fitriindy,siapa yang mati sayang
fitriindy,tidur bang
fitriindy,hubung itu saling isi tidak ego mau diturutin tidak mau nurutin tidak suka playing korban hidup putar
fitriindy,saya sekali lah minder vcan saja tidak berani lihatin muka makan media sosial kosong kalau kumpul suka minder bukan tidak syukur suka tidak enak saja begitu tidak banding in ngjleb sekali lah
fitriindy,alas saya tidak percaya diri vcan lihatin muka pasang foto takut gin entar makin tidak aman jadi tekan terus sakit memang akan peduli tidak yang makin cerewet
fitriindy,cae ngegas
fitriindy,tidak apa apa bang jam gin sudah main tweet
fitriindy,lah remaja
fitriindy,aduh jadi menikah
fitriindy,sayang paman tante saya kalau kumpul keluarga suka tanya kapan lulus kapan kerja kapan naik jabat kapan menikah kapan punya anak baik doa baik tidak cuma tanya doang saya tidak pernah tanya kapan paman tante mati
fitriindy,sayang bodoh
fitriindy,seperti mamang sekolah ven
fitriindy,sama apa bang
fitriindy,mau diseriusin
fitriindy,saya pernah sampai teror
fitriindy,tidak usah sok sok an jadi fakboy kalau jajan saja itungan
fitriindy,gila yah orang jaman sekarang cari uang pakai segala cara terimakasih yah sudah infoin betul ayah juga suka beli alat bengkel kalau rezeki semoga cpt dan orgnya cpt sadar kalau bukan rezeki semoga ganti yang lebih
fitriindy,fakta yang cakep memang jauh lebih dihargain serasa semua mudah
fitriindy,tidak apa apa jelek yang penting hati tawa jelek
fitriindy,tuhan
fitriindy,rem seperti habis mandi cat
fitriindy,tawa cocok pakai baju sama yah sayang
fitriindy,rasa sekali sih bang tidak lagi sedih terus yang canda nya tidak asik ken nampol bulan lalu nene saya mati mantan saya buka duka malah nyeramahin ujung minta uang sial kan sekarang minta maaf minta balik pikir hidup sesimple
fitriindy,memafkan bukan arti lupa beri sempat bukan arti ulang salah sama beri kepercayan bukan arti disalahgunakan sayang bukan arti hianat
fitriindy,orang dekat orang yang paling potensi sakit dia sadar rasa baik saja
fitriindy,tua sekali yah tidak tahu umur gin
fitriindy,ken masker
fitriindy,kenapa lazada tidak blok saja jual curang begitu kan rugin banyak orang
fitriindy,gila itu toko padahal reviewnya banyak yah
fitriindy,dilancarin semua yah sayang
fitriindy,bias ponakan mau jajan apa tapi ambil kinderjoy dulu padahal rasa biasa saja mainanya
fitriindy,golong jarang berani pasang karena takut dikomentarin
fitriindy,pada kasi sama orang tapi tidak mdh dimanfatin tidak takut coba baru lama baik agama baik lebih sayang diri sendiri
fitriindy,psb saja pdp banyak sekali tidak psb
fitriindy,tidak komentarin orang hanya mungkin hari anda lihat bahagia tidak tahu besok kalau besok anda lebih ambyar orang anda komentarin baru deh tahu rasa
fitriindy,saking nyamanya lupa dia neraka jadi nyaman wajar tidak karena nyaman jadi bodoh
fitriindy,terlalu handal bodoh orang sampai terlalu munafik hadap diri sendiri
fitriindy,bang kenapa mirip
fitriindy,cie sudah calon malu
fitriindy,mirip paman saya
fitriindy,muak sekali ih sama yang begitu hari lalu mantan saya begitu bilang serasa mati suri ditingalin padahal sudah tung sama yang
fitriindy,tidak semua lihat biasa saja mudah tidak semua lihat sulit benar sulit gantung diri sendiri sikap kalau rezeki jadi konten cipta kenapa cari yang bukan pasionya hidup tidak sulit bawa senang mau baik apa tapi orglain cuma komentar
fitriindy,ingin sekali warnain rambut baru cium bau saja suka pusing
fitriindy,hati rapuh kurang dekat sama tuhan baik otak kosong kurang pikir tuhan baik saku kosong kurang usaha baik
fitriindy,alas orang tonton kekeyi cuma karena penasaran ujung hujat padahal kekeyi tidak rugin siapa cuma over pada tidak mau mendengarkan orang semua dia dijadin konsumsi publik coba kalau dicuekin tidak akan atas itu kekey
fitriindy,semoga semoga segera capai lancar berat apa jala beri mudah ikhlas
fitriindy,di instagram cuma pamer tidak buka facebook seperti sudah bukan masa di whatsapp malas buka karena pacar jarang twitter tempat nyaman
fitriindy,semoga tidak rayu
fitriindy,cong suka dilema kan sudah beda alam
fitriindy,manusia entah teman pacar keluarga
fitriindy,juni semoga semoga segera capai lancar selamat ulang tahun untuk saya buat yang ultang tahun juni
fitriindy,buat apa minta norek kalau cuma buat pajang buat apa sama kalau tidak bisa iring
fitriindy,coba tutup sayang
fitriindy,haha ajar pada sama kekey
fitriindy,banyak orang pura peduli lihat istimewa
fitriindy,baru tahu kenapa ken nang yah
fitriindy,serasa kalah cantik yah sayang haha
fitriindy,haha tidak banyak orang yang buat tweet banyak yang pakai tweet konyol seperti
fitriindy,yang tonton cuma penasaran doang
fitriindy,tidak ada akhlak
fitriindy,dibaikin tidak tahu diri diperjuangin malah anda in dicuekin bilang sombong dijahatin bilang temenya setan baik seperti begitu hidup dunia imajinasi agar ngelakuin apa dia mau
fitriindy,gila fansnya ningsih tampi
fitriindy,kalau darah banyak mungkin didonorin saudara agar bermanfat
fitriindy,perkara bosan akal selalu beri suasana baru komitmen jaga susah watak suka kelana terlalu cari sempurna yang selalu diangap hina
fitriindy,mirip teman saya dia gadis haha
fitriindy,di jalan dibuly netizen anda fizi
fitriindy,seperti dunia hantu
fitriindy,sudah bang
fitriindy,gadis ibu bangga saja bang kadang cowonya yang gengsi
fitriindy,percuma teman banyak kalau belakang gosip percuma juang buat teman kalau tidak saudara wanita ningalin hidup bawa sederhana saja sekira nyakitin tidak usah dipaksain
fitriindy,mau sempurna apa anda kalau anggap rendah oranglain anda akan lihat buruk mau jelek apa kamy kalau sikap anda bagus anda akan lihat sempurna
fitriindy,pernah pacar saya tidak kumpul keluarga nyata saudara
fitriindy,percuma foto bareng pasang kalau sudah putus akhir saling hujat
fitriindy,cie jer masuk lentud
fitriindy,efek tahan sabar bulan tidak lebaran langsung gas haha
fitriindy,malu ketika pura mampu padahal benar mampu karena dapat simpati oranglain akhir ada sesal
fitriindy,selamat lebaran sayang
fitriindy,mal aidzin wal faidzin sayang maaf yah kalau lama kenal kata sikap indy nyakitin eca semoga eca selalu dalam lindung tuhan lancar segala urusanya
fitriindy,waktu baik restu tuhan
fitriindy,cemil banyak pipi doang yang gendut seminggu lalu kemarin jadi tawa
fitriindy,trlalu cantik saudara
fitriindy,janji yah tidak ketemu langsung serius tidak main
fitriindy,kira orang jerawat tidak pernah awat kali yah tidak bersih idupnya padahal yang jerwatan suka rawat kulit an ya bagaimana susah ilanginya
fitriindy,mal aidzin dokter cantik sekali istri
fitriindy,tanjung sekali lihat anda tanjung pura sayang
fitriindy,seperti cilok haja
fitriindy,lebaran pertama nene biasa kalau mau shalat ied nene diam rumah tunggu sekarang pulang masjid sudah tidak sedih sekali
fitriindy,definisi orang anak bodoh mnta maaf nya singkat yah stad
fitriindy,konsep kapan bisa lebaran bareng terus sent mohon maaf lahir batin semoga ramdhanya berkah
fitriindy,maaf kalau salah sikap salah naruh hati salah kasih kepercyan salah memberi uang
fitriindy,template obrol gebetan saat lebaran tidak rasa yah ramadhan sudah akhir bahagia lebar saya sedih kapan bisa sama jadi pasang halal akhir bahagia
fitriindy,mirip reza rahadian
fitriindy,alis saudara laki
fitriindy,silaturahmi saja saudara laki
fitriindy,tuhan jer
fitriindy,semoga anda baik saja saudara laki semua pasti bosan kalau keluar terus kena jadi bawa buat keluarga bagaimana sisi tenaga medis sudah tidak karena lelah sudah wafat karena juang ngobatin orang
fitriindy,yang kerumun tempat ramai terus kena corona tidak usah obat yang sudah gertak medis tidak tahu lelah medis medis manusia biasa punya keluarga ken pulang ingin kumpul kadang manusia ego tinggi tidak pikir peras juang paramedis
fitriindy,mobil nyanyi
fitriindy,ya tidur gaya nyadar
fitriindy,sudah buka puasa jadi mau tawa puas tawa
fitriindy,sehat terus dokter semangat
fitriindy,apa cuma saya yang tidak pada foto pakai mukena
fitriindy,iya benar sayang entar tahu jemput tim medis perbarui
fitriindy,kan agar puji orang baju nya baru yah bagus kena corona tahu rasa
fitriindy,lebih baik sakit tidak lihat keren
fitriindy,sudah suka anda saja apa daya saya yang cuma remah renginang
fitriindy,baju lebaran lebih penting nyawa bukber perbarui lebih penting sehat
fitriindy,buat kalian yang ego keluyur tidak jelas tidak pakai masker kalian tidak lihat juang nyawa sekaligus inalilahi bahagia surga saudara wanita ari terimakasih atas jasa
fitriindy,mau anda dekat sama siapa serah anda bahagia tidak saya sudah muak maaf saya tidak akan lihat anda
fitriindy,saudara laki nya perlu ruqyah agar paham
fitriindy,sama seperti saudara haha malesin pis gila
fitriindy,haha sekarang yah saudara omong omong yang suruh saya biasa nya bayang kan pipi saya mau seperti bagaimana biasa
fitriindy,batal gera bung karena emosi jiwa
fitriindy,eca apa ikut antre entar viral seperti indira utap
fitriindy,haha percaya ibu sama tuhan
fitriindy,haha iya paling mentok kan atas tidak mungkin jaman awal kuliah
fitriindy,mau tawa takut dosa
fitriindy,da lanjut ibu tidak mungkin haha
fitriindy,haha tidak sempat julid sibuk corona
fitriindy,kilogram
fitriindy,iya puasa jadi tidak julid tawa
fitriindy,tidak zumba saja eh biasa sekarang berapa saudara
fitriindy,julid lagi puasa
fitriindy,tidak bawa tekan cuy
fitriindy,seperti wanita
fitriindy,gila cantik ven haha
fitriindy,orang dekat orang paling celaka mental orang padahal sukses menikah tidak mesti ditentuin umur
fitriindy,buat nyaman buat sayang banyak boong selingkuh morotin tinggal pilih ningalin tingalin trauma karma
fitriindy,habis lebaran semoga menikah yah cae
fitriindy,admin bagaimana sih sudah banyak yang keluh loh upgrade lebih jam
fitriindy,perut makin depan haha
fitriindy,nyeseknya sampai ubun
fitriindy,juga mantan seperti daging babi
fitriindy,admin bagaimana ini proses kata suruh pesan langsung tidak dbaca
fitriindy,iya yah lama baru coba pesan langsung saja sih belum nlp saudara ambil latih apa
fitriindy,haha te curhat ai cae
fitriindy,haha suruh cari tahu saja sendiri
fitriindy,nyender orang yang salah baik nyender tang gaya andal sih yah tangan dagu pala miring haha
fitriindy,yakin ini masuk haha
fitriindy,lah kenapa cepat yah yang saya sudah hari belum akun
fitriindy,mau masuk tidak
fitriindy,serius gila lama sekali sudah ambil latih apa saja saudara
fitriindy,saudara waktu upgrade ovo perdana menteri berapa harim
fitriindy,kelas apa saudara
fitriindy,admin kalau sudah pilih e dompet tidak bisa ganti bni yah soal ovo lama sekali proses upgradenya
fitriindy,admin kata upgrade ovo perdana menteri kali jam sudah kali jam proses
fitriindy,ambil latih apa
fitriindy,saudara ambil kelas apa saja
fitriindy,subhana
fitriindy,matang seperti pisang omong omong umur rasa iya cae
fitriindy,saya bingung saudara laki mau ambil apa
fitriindy,sisa mau ambil latih apa saudara laki
fitriindy,sabar yah saudara laki teman kerja di rumah dinas lolos gel tidak komentar dia bilang butuh uang karena samping jadi ojolnya tidak lancar padahal gaji dia di dinas besar
fitriindy,bang saldo langsung diabisin
fitriindy,saudara laki saldo langsung diabisin tidak ikut latih apa saja
