username,tweet
fridamayanti,ke buka ulang
fridamayanti,jam gin sudah ngantri camat buat ngurus e ktp tugas ibu meureun gogoleran rumah
fridamayanti,rasa energi habis pekerjan sampai rumah lemas benar
fridamayanti,jauh diri
fridamayanti,jerawat sampai bosan sumpah apa kalau sudah bosan jerawat mau pergi lalu hilang
fridamayanti,alias ada peluang
fridamayanti,iman beda peras tidak juga
fridamayanti,baca komentar nya tawa
fridamayanti,bangsuy memang
fridamayanti,lucu apa
fridamayanti,saya tidak mau pinjemin buku orang yang tidak serius suka baca buku buku rusak balik
fridamayanti,susu
fridamayanti,entah jadi benci saja kalau baca protokol sehat
fridamayanti,mau kesini entah sendiri entah orang
fridamayanti,nyebelin memang kalau
fridamayanti,tidak bayang
fridamayanti,pena naik gunung deh
fridamayanti,amin
fridamayanti,belum saya lihat matahari benam tempat takjub
fridamayanti,awal saudara wanita nyata bohong agar orang tidak tanya saja
fridamayanti,gramedia ngangenin memang
fridamayanti,admin kirim luar kota
fridamayanti,baik suhu
fridamayanti,ken ejek
fridamayanti,banyak ingat hal diangap penting padahal penting
fridamayanti,pagi pagi ajak ribut
fridamayanti,psb pura pura sibuk agar bubar
fridamayanti,baca jadi nyanyi
fridamayanti,iya saudara wanita
fridamayanti,kita baca buku yang sama saudara wanita
fridamayanti,kup bangun ucing
fridamayanti,mie empal gentong pakai telur tambah saos cabai enak sekali
fridamayanti,masker baca beranda twitter mobil retak
fridamayanti,balik kanan bubar jalan
fridamayanti,jadi rasa aneh cemil jam gin
fridamayanti,ramai sekali
fridamayanti,pecah celengan rindu bonceng keliling kota
fridamayanti,mengengam erat jari anda dengar lagu sheila nyala
fridamayanti,jajan banyak sekali
fridamayanti,menikah umur tahun memang tidak sekolah buka tahun sekitar sama akselerasi terus kali
fridamayanti,kesal tidak tahu
fridamayanti,gakda akhlak memang
fridamayanti,pertama kali bioskop kesini tonton kuntilanak tidak kelas tawa
fridamayanti,sekarang minat beli baju tidur bukan baju pergi
fridamayanti,memang santai sif seperti libur tawa
fridamayanti,magabut
fridamayanti,iya kita mana masyarakat banyak yang bandel sudah tanjung vokal diri saja tetap diam rumah sudah tidak pikir yang bandel saya mau isolasi diri saya sendiri semoga banyak orang yang waras mau tetap diam rumah
fridamayanti,rindu jajan bandung terutqma seblak seberang bec
fridamayanti,miris
fridamayanti,mimpi saja abai masa
fridamayanti,pikir lebih
fridamayanti,mau mana mau mana
fridamayanti,sedih
fridamayanti,terlalu rasa istimewa padahal biasa saja
fridamayanti,mungkin saya tidak untung banyak tapi kalau teman saya berani bilang untung sekali
fridamayanti,iya saudara tidak satu komando bingung
fridamayanti,kerja yang saja okesip
fridamayanti,saya tidak suka peras saya sangat bodoh
fridamayanti,buat saya senyum berapa pantas puja rahasia sahabat sejati lompat lebih tinggi
fridamayanti,punya menteri gin ya miris
fridamayanti,ketemu orang brengsek ada kuota
fridamayanti,pernah sudah buat cerita terus kenapa rasa anak bodoh terus hapus
fridamayanti,ingin tahu bawa bencana
