username,tweet
grestina,apa saya bilang
grestina,ingin ngedumel sekali sama mngmnt kntr bnr bnr tapi harus kuat harus kuat
grestina,gaptek anda
grestina,mendengarkan orang cerita padahal diri sendiri butuh teman cerita tidak cerita siapa siapa malu secomplicated hidup saya
grestina,sok rajin rajin lihat saya tahu sudah jadi saja utama rumah malu
grestina,syukur puasa
grestina,cinta kali tidak malu
grestina,selesai corona kayak seragam
grestina,tawa eh bagaimana
grestina,sama
grestina,tawa tawa mungkin yang ajak keluar nyawa nyawa kucing huehue
grestina,syukur
grestina,kenapa suka benar sih
grestina,pacar tidak tahu anda ultang tahun tawa
grestina,diucapin siapa disurprisein siapa
grestina,lahir pikir tarik
grestina,apa
grestina,tawa kenapa humoris
grestina,anda kapan menikah tidak betah sekali kerja terus
grestina,anak itu tidak tahu untung baik tempat sampah satu tawa
grestina,pikir jadi buat anda hilang dia nono saya maksud buat anda hilang every saat bajing dia tawa
grestina,makanya cepat pulang oke sms saja sudah saudara wanita tid tidur tidur
grestina,sama rindu sekali soksok nti saja cerita langsung iya ini jelang tidur anda ya tidak dilema saja
grestina,tidak dilema sudah malam ih tidur saja dong nikmat saat saat libur
grestina,tengah malam dilema saja ini
grestina,sama yang itu bul yang sudah lama dong ah suka pura pura kan
grestina,ah amin awet tawa tidak besok ah entar saja kapan kapan nyusulnya tunggu waktu
grestina,tawa iya bul iri sudah pakai cincin bule kapan dong nyusul tawa
grestina,sudah tidak balas misi
grestina,yang langeng yang awet sampai entar senang aniv tawa entar deh susul def saudara malu
grestina,tidak dimafin misi siapa sih kenal memang nyampah hanya beranda orang tiap malam ih malu maluin
grestina,siapa ih nimbrung sebut orang saja misi
grestina,tawa iya yang penting sekarang akur sejuk sudah punya cincin asik iri loh pesan langsung sayang muah
grestina,eh gera tanya malah tanya balik asik lulus sudah tunang saja selamat dulu dong tidak dilema saja beranda
grestina,def tunang serius sebuah tidak kabar neraka
grestina,tin saya baru bangun dong ayo dong sekarang ayo jadi rumah saja
grestina,iya tidak deliv sampai tidak smsnya saya mesti dokter gigi besok
grestina,tidie sms tidak deliv ih saya tidak masalah
grestina,besok sekolah jam berapa
grestina,biasa lah dalam masa pingit gara gara sakit gereja dong ayo gereja
grestina,ih saya diam rumah terus tahu libur teh mana keluar tangis sini dong rumah sama bernike
grestina,kena itin teh updatenya dilema hanya
grestina,maaf mau info dong upi ngadain tes jalur mandiri tidak atau sama seperti unpad dari sbmptn saja
grestina,ih maksa kan orang yang histeris saya anda yang maksa misi iya euy bawel pis
grestina,pakai ibu da kalem saudara
grestina,tidak ih tidak histeris ai anda misi cuma cuma saudara
grestina,malu yaiya dong gembira orang barang niat beli ngumpulin uang dulu eh tahu iyaiya tidak apa apa
grestina,tidak histeris ih misi iya dong saudara terimakasih loh
grestina,yah sudah deh terimakasih info
grestina,malu biarin dong misi nanaonan parah lah
grestina,kenya hai saudara entah deh difikirkan
grestina,iya amin fakultas apa saudara
grestina,wo o baru snmptn saudara sbmptnya kan
grestina,saudara ngampus mana sekarang
grestina,sms sms pesan langsung nmrmu agar cepat
grestina,online gening pesan langsung nmrmu dong hilang
grestina,mau pesan langsung in nmrnya ester dong ra penting
grestina,sudah saudara waktu ujian nasional da sudah pulang
grestina,saya sudah rumah tidie
grestina,siap begitu tata omat tidak ngaret
grestina,baca
grestina,tidak lebih jam an tidak apa apa bebas sok jam berapa
grestina,oke tidak sore saya tidak akun kalau sore ini
grestina,buka twitter sebut kalian banyak pis inti ibu rindu rabu ketemu
grestina,iya bel amin terimakasih
grestina,terimakasih kirim bunga malu besok pulang kenapa saudara
grestina,nyonya angkat tlfn dong
grestina,iya ini yong tangis iya ih tidak apa apa kenapa terimakasih
grestina,hai saya nampaknya soke boleh pulang loh
grestina,iya siap selesai ujian nasional timezone
grestina,anda hilang anda loh saya sudah pulang kenapa sore malu
grestina,iya amin terimakasih sama
grestina,terimakasih iya tidak apa apa kenapa ehehehe
grestina,malu kamar ibu beda dong misi
grestina,kesini sampai subuh diam lobi jadi tunggu lobi
grestina,tawa kata saudara saya enak tahu kalau sakit dapat kartu bebas parkir
grestina,bundo terimakasih
grestina,iya terimakasih semoga besok pulang deh amin
grestina,sial opname tidak bilang bilang saya rumah sakit apa ruang apa
grestina,baleg ih aneu tidak sekolah benar tidie sekolah tidak entar gres sendiri gera
