username,tweet
iffamee,anak baik peluk dulu sini
iffamee,saya diam saya diam
iffamee,aduh aduh sa saja tulang ikan
iffamee,ih ogeb swasta yah mahal kalau mau murah masuk negeri
iffamee,jelasin ki seperti mana uad
iffamee,nama celaka yah sakit kalau tidak ditangkep
iffamee,yang sulit celaka hati ketika celaka hati malah sakit
iffamee,laptop ubah fungsi jadi komputer gin ini mati listrik sudah tidak pakai
iffamee,hai tidak ngada ngada
iffamee,bangun gara gerah
iffamee,yah jam gin bom tidur
iffamee,peta ini kan memang ss handphone nya
iffamee,anda temu pasang saat anda siap kata diri sendiri hibur diri
iffamee,hai
iffamee,habis wisuda tidak syok kalau teman kuliah sudah lama tidak kontak tiba ngabarin mau menikah tidak syok
iffamee,kera anda
iffamee,anda baca tidak sendiri saudara wanita
iffamee,paham saja sih
iffamee,kampus uad kampus uad
iffamee,dari tentu
iffamee,tidak serius serius sekali lah
iffamee,kira ken dandan buat over
iffamee,pikir
iffamee,al asr al ikhlas
iffamee,coto
iffamee,yah kalau habis nang itu bawa lapar saja
iffamee,orang baik kenapa anda siain
iffamee,bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bosan bose
iffamee,suka nyimpen barang dalih siapa tahu besok dipakai tahu tahu tidak dipakai
iffamee,suara sopan benar masuk telinga lyn lapid
iffamee,citra baik
iffamee,permisi jung suk jadi polisi nama drama apa yah
iffamee,hai anda did baik kerja
iffamee,lama tidak tidak dicekokin jauh jauh akibat badan gel gel semua
iffamee,numpang ketawa
iffamee,tidak punya malu bisa t hubung
iffamee,andai foto ktp edit foto ktp twitter
iffamee,jadi dong entar soal lelah sekali
iffamee,pagi cukup produktif sampai makam raja raja habis itu mampir cemil soto
iffamee,rusak rusak
iffamee,kenapa tanya sendiri sama imogiri
iffamee,halah halah
iffamee,ketika anda dengar ini lagu anda rasa seperti anda ve sebuah boyfriend adalah anda cc
iffamee,tawa
iffamee,syukur punya dosen bimbing tidak emosi
iffamee,tidak sampai ndlosor hai
iffamee,yang tidak gadis bawa motor hubung sekali
iffamee,lembut benar
iffamee,pria sampai cium tangan begitu
iffamee,yah orang tidak renang
iffamee,yah bisa tahan masuk belanjan keranjang sampai sampai sub total belanjan banyak tidak checkout checkout
iffamee,o
iffamee,memang ini bapak sama anak tidak pernah buat kecewa tawa terus
iffamee,sudah sana pindah umy saja
iffamee,saya jadi gembira
iffamee,dicatet
iffamee,malas balas obrol padahal megang handphone
iffamee,seblak
iffamee,saya malah risih kalau tidak buka
