username,tweet
indraszlaila,lha iya untuk
indraszlaila,bajak asli hati
indraszlaila,sabar mif coba suasana baru
indraszlaila,coba ganti beli minum bisa
indraszlaila,wah capa nich
indraszlaila,bukan saya lho
indraszlaila,kewuh bilamana jumpa orang
indraszlaila,syukur sehat rim bagaimana kabar tinggal aman juga rim sedia sabun selalu
indraszlaila,ada tahun tidak jumpa rim
indraszlaila,selamat tambah tua rim
indraszlaila,mbas saudara wanita saudara laki
indraszlaila,saudara wanita obrol sama saya
indraszlaila,gaji tinggal hitung hari kurleb hari
indraszlaila,suka wadah
indraszlaila,nyata grogi buat mules mules bagaimana begitu malu
indraszlaila,tawa pikir muncul kalau sedang ingin untuk beli
indraszlaila,tawa iyak iyak iyak
indraszlaila,sebuah snowman
indraszlaila,astaga al adzim astaga al adzim
indraszlaila,kira tutorial ngobatin hidung mampet umbelen
indraszlaila,emotnya lok lok saya ik
indraszlaila,nyata bosan bahas yang sama ulang ulang
indraszlaila,sudah kuritwit
indraszlaila,ninuninuninu
indraszlaila,wah dit selamat akhire ngango toga tawa
indraszlaila,selamat atas gelar baru mon
indraszlaila,yang jadi punggung
indraszlaila,mashok ndra
indraszlaila,curhat ros
indraszlaila,jelas bisa bacut penasaran tawa
indraszlaila,terkadang seperti teman teman yang sesantuy ketika hadap suatu ketidakpahaman yang benar benar paham
indraszlaila,tiyetiyetiye
indraszlaila,baik kata nya hapus saja saudara wanita efektif
indraszlaila,nyata pernah neraka waktu skakmat memang sesal kira lalu bisa apa apa
indraszlaila,tawa eh dheva
indraszlaila,nyata rindu sebab sendu
indraszlaila,beri jauh yang
indraszlaila,tempat sampah saudara wanita
indraszlaila,nyata biasa sama lalu sama sangat biasa
indraszlaila,tawangmangu mon
indraszlaila,benul
indraszlaila,sa saja saudara wanita
indraszlaila,ingat hanya tuhan yang benar benar tahu isi hati pikir niat
indraszlaila,tabung buat piqniq dong
indraszlaila,nyata nasehatin orang lebih mudah banding nasehatin diri sendiri pikir pikir
indraszlaila,tawa lingkar cahaya heni
indraszlaila,kira dulu saya aneh rasa sepert nyata teman
indraszlaila,benar cuma pura pura saja rumah brondong jagung rambak karak
indraszlaila,anda rasa yang sama
indraszlaila,dasar cemilan cemilan anda datang pergi sama
indraszlaila,mau jadi yang pertama nyata jadi yang banyak
indraszlaila,terimakasih info cikgu
indraszlaila,ini kisah nyata
indraszlaila,saya tahun saudara
indraszlaila,suka kenapa uji sabar
indraszlaila,makane tidak usah dikerjain agar tidak revisi
indraszlaila,dasar saya juga
indraszlaila,percaya baik tiap sabar keihklasan
indraszlaila,nyata masih belum kuat saat sengaja tahu apa yang memang perlu tahu
indraszlaila,nyata jadi lebih buruk lebih mudah jadi lebih baik
indraszlaila,nyata bahaya datang mana saja buka dompet rasa ancam
indraszlaila,ho betul
indraszlaila,mafkan saya bisa bantu membacakanya abur tawa
indraszlaila,barangkali lewat
indraszlaila,syukur yang ketemu kasur langsung tidur bukan tidur dulu baru tidur di sela sela tidur tidur yang benar muncul pikir pikir yang tidak pikir
indraszlaila,tawa
indraszlaila,mau tidak al
indraszlaila,tambah keruh
indraszlaila,hening akan buat ramai pikir sendiri
indraszlaila,kalau pilgan tanya teman anda saja dek
indraszlaila,mayan kalau dapat soal karang motivasi
indraszlaila,mwantul
indraszlaila,sakit kenapa buat sendiri pikir
indraszlaila,es gelas yang isi teh manis jadi cair
indraszlaila,sumuk sebab ubah suasana hati
indraszlaila,nah nah
indraszlaila,bisa racau kalau kalau
indraszlaila,ujan tapi rencana libur cium
indraszlaila,pikir lebih memang buat over pikir
indraszlaila,mwantul
indraszlaila,sedih sen teman lebih enak
indraszlaila,yang pejal jari kaki em makin keren
indraszlaila,buka folder yang sama ulang bosan nyata
indraszlaila,ngantuk tidak ngantuk tetap tidur
indraszlaila,besok tidak ketemu tidak gituin
indraszlaila,ndapapa sengaja buat ngetes anda gagas tulis apa tidak
indraszlaila,gin begitu gin begitu ginu giti
indraszlaila,al bagaimana al
indraszlaila,bacanen al bacanen
indraszlaila,wah sekali
indraszlaila,dampak negatif nafsu ini nafsu buka intajram
indraszlaila,sedang kutip kuota tipis
indraszlaila,lagi ih
indraszlaila,loh kan laku
indraszlaila,boros kurang seru kalau cuma sekali
indraszlaila,nah loh
indraszlaila,pajang foto saja
indraszlaila,mbok tanda saudara wanita yang maling hati
indraszlaila,pacar jual mahal
indraszlaila,al apa tidak makna
indraszlaila,turut bagus saya paksa untuk kata yang sama
indraszlaila,saya sekali apa sekali ini
indraszlaila,angep saja pengirim karena saling belakang
indraszlaila,ketika kode memang perlu karena bicara langsung kurang gayeng
indraszlaila,sedang online solo kotak mengunakan
indraszlaila,memang arep buber nengdi ngar
indraszlaila,yap saudara
indraszlaila,haha oke sama dik
indraszlaila,sampun saudara wanita
indraszlaila,senang ulang tahun syifa jindra saudara
indraszlaila,terus ngopo ayo an misi
indraszlaila,kejut sekali za
indraszlaila,rapopo riuh rapopo misi
indraszlaila,halah misi
indraszlaila,pura pura cinta ada
indraszlaila,haha oke sahabat tidak masalah
indraszlaila,admin talkshow di solo perlu daftar
indraszlaila,hauwah jelmon unggah foto sepatu anyar kih saudara
indraszlaila,karaoke
indraszlaila,tidak sih iya dikit v
indraszlaila,critanya rindu misi
indraszlaila,hai
indraszlaila,haha iya sih saudara
indraszlaila,ngopo lho v
indraszlaila,haha begitu
indraszlaila,bhineka tunggal ika saudara
indraszlaila,masalah sekarang memang beda
indraszlaila,ah apa saudara
indraszlaila,oke sahabat sama
indraszlaila,kapan kapan
indraszlaila,dilema
indraszlaila,iya sama dek
indraszlaila,saya rapopo v
indraszlaila,saya sih cuek haha
indraszlaila,haha ajar alam loh saudara
indraszlaila,emotnya palsu sekali saudara
indraszlaila,barangkali diam sedang lelah butuh istirahat
indraszlaila,iyes saudara
indraszlaila,ojolah
indraszlaila,amin
indraszlaila,owalah tidak kira nenek melu saya haha sombongsitik
indraszlaila,hauwah melu ganti foto profil v
indraszlaila,haha sudah suwe les v
indraszlaila,hai hai
indraszlaila,haha kan ajar situ
indraszlaila,biarin mantan anda saudara wanita dulu sekarang sama yang belum akhir saudara wanita sama anda
indraszlaila,owalah begitu
indraszlaila,yayayaya
indraszlaila,sepuluhduabanget
indraszlaila,ndra
indraszlaila,baik thinks baik terasa dan baik malam
indraszlaila,doa semoga besok ketemu gereja saudara
indraszlaila,dilema tingkat atas
indraszlaila,maksude alam ngo saya sama ibu saudara
indraszlaila,rapopolah fir lumayan hitung hitung tambah alam saudara
indraszlaila,haha curhat terus saudara
indraszlaila,masih mau mendem terus sudah sih selamat ledak saudara
indraszlaila,memang bilang
indraszlaila,angep saja tidak enek apa apa
indraszlaila,iya karepmu ming penting kowe ijik iso pikir
indraszlaila,sabar ming sabar
indraszlaila,yoweslah tidak iyoni saja
indraszlaila,tawa tuan bapak misi saya gadis lho
indraszlaila,tolong jul tolong
indraszlaila,rodok elite sitik ngono lho nyeluke
indraszlaila,eh saya nya mlipir
indraszlaila,sini rencana memang selalu realisme banyak rencana memang batas rencana selamat malam
indraszlaila,saya dengan pedenya mondar mandir dengan satu sepatu tok
indraszlaila,saya tidak lali mbi konco lawas ki saudara
indraszlaila,oyaudah gapapalah
indraszlaila,biasa kenapa saudara
indraszlaila,oke ca sipdeh sesap v
indraszlaila,rapopo kenapa
indraszlaila,iyadeh iya saudara
indraszlaila,yoi ca setuju sekali
indraszlaila,ciyeh langsung diupload iya saudara
indraszlaila,hasek ciming saiki orang sibuk len
indraszlaila,iya sudah ketok nenek suwung misi sidolah tonton tipi saudara
indraszlaila,haha ngopo riuh saudara
indraszlaila,nama lagi doa minta beri yang baik dong
indraszlaila,selamat pagi selamat lagi
indraszlaila,iya jelas dong manik ibu kalah haha saudara
indraszlaila,tawa kenapa iso kokom ayo kowe kuwi
indraszlaila,iya iya saya ret saudara
indraszlaila,lha kowe kae bar rapotan bukane bicara yen tidak entukne ngepit teh
indraszlaila,haha orapopo kenapa tumben tumben kowe ngetwet koyo ngono saudara
indraszlaila,kan dimanjain sama ibu saudara
indraszlaila,hauwah rejul saudara
indraszlaila,enak sekali saudara
indraszlaila,hauwah saudara
indraszlaila,ingat jadi kereta mogok terus jadi naik tingkat pindah kereta saudara
indraszlaila,haha ibu ember saudara
