username,tweet
inesprat_,sebagai sebuah awat yang harus jaga malam bisa t hubung haha lepas malam kebo hari motto nakes ikut sara tidak ikut gaya hidup
inesprat_,tetap bahagia
inesprat_,pasti tawa
inesprat_,ns bapak ada keluh apa px sudah tidak lemas saudara wanita sudah gerak ns iya px kenapa tidak bilang hebat seperti pasien belah saudara wanita ns iya bapak hebat sudah latih terus fisioterapi terapi ya bapak px
inesprat_,ns awat saya px pasien px pasien ns bapak makanya habis berapa px habis porsi saudara wanita tidak mual ns wah hebat cemil siang harus habis bapak malu px
inesprat_,bagus
inesprat_,ken punya satu panggil jauh juga
inesprat_,lomba lari dari kenyat
inesprat_,kira thn sekarang semoga
inesprat_,apa kenapa masa iya emoticon boleh pakai orang kan tidak
inesprat_,baru saya laku salah ajar yang lebih besar dari akibat dari salah sendiri bagaimana pecah nya bagaimana responsif saat juga jadi proses pendewasan yang penting saya ada jadi wanita dewasa tawa tidak deng canda v
inesprat_,saya bank rekening saya saya menang bayang betapa kejam diri atas diri
inesprat_,baru normal baru konsep tawa
inesprat_,wohoh marah ibu kabor
inesprat_,tawa mantap anak sebentar saya angkat jadi komisaris ibu seg bumi segitiga
inesprat_,kalah teori bumi bulat
inesprat_,saja embun malu
inesprat_,foto pakai upaya lho teman teman masa tidak ken sih
inesprat_,tidak begitu saya pekerjaan masih jadi yang paling muda tawa
inesprat_,untung sudah kerja bukan mahasiswa tawa
inesprat_,orang turun jawa yang lahir jayapura saat tinggal jawa dari dulu punya cita balik kesana
inesprat_,indonesia sedang panas rasisme teman papua yang bilang kasar tukang pukul keri coba deh tinggal sana bulan paham rasa rim besar malah datang dari tanah papua tanah yang penuh kasih
inesprat_,bagi sambil bayangin drama korea era kerajan begitu tawa
inesprat_,jaga sehat teman teman
inesprat_,siap bang
inesprat_,saya uwiu phobia rin tolong yang begini tidak lewat beranda jomblo
inesprat_,tunguin saja bentar akan murah
inesprat_,kira youtube seperti gadis menstruasi sensi ros tawa
inesprat_,youtube memang seperti gituan
inesprat_,tonton nyi kanjeng sinden sepuh belah bapak sama pakdhe singkong goreng
inesprat_,rindu ban martabak coklat keju sama orang rumah
inesprat_,drama cina yang buat tiba nang langsung ketawa gemas halusinasi
inesprat_,itu mendengarkan kata anak presiden ayo dukung terus brand lokal
inesprat_,ken nastar bok
inesprat_,pilih begitu bukan buat diri sendiri sandwich generasi rasa haha
inesprat_,anda sudah buat itu anak laki omong omong senang eid mubarak
inesprat_,jadi tidak mau coba malu
inesprat_,oiya sekarang marah dulu yang banyak besok baru minta maaf yak tawa
inesprat_,warna biru si kyknya pria tawa
inesprat_,saya matin jadi tidak tahu sudah maafin belum
inesprat_,menstruasi buat saya gila masa iya baru saja marah sama kipas angin peta kipas
inesprat_,dapat jadi segera bos bukan pdp kan
inesprat_,yang punya info seminar awat yang online begitu kasih tahu dong malu yang ber skp tidak boleh terimakasih malu
inesprat_,puji tuhan terimakasih
inesprat_,saya japri
inesprat_,kalau mau sen tanya dulu silakan pesan langsung
inesprat_,malu maturnuwun saudara laki e mugi usaha mes e laris
inesprat_,malu
inesprat_,tahu tidak sama anda sama kopi tidak tahu sama buat gugup gugup an malu ayo gais beli kopi yang jual makin halusinasi malu
inesprat_,bukan milik nya bi kerja sama sama saudara laki wahyu yang punya bamboo malu
inesprat_,tawa selamat coba bim
inesprat_,di bantu retweet bang paman bude mbah saudara laki
inesprat_,tidak mudik dulu gais hati yang lanjur rindu rumah silah pesan kopi asli temangung minum kopi cita rasa desa halaman
inesprat_,twitter bantu ayo usaha bapak malu silakan pesan kopi asli temangung varian arabika robusta harga sahabat rasa jamin mantap
inesprat_,kata mbah selalu tepat
inesprat_,lho saya ceria ramah penuh senyum gin kata jutek
inesprat_,ih masa lupa sama ratu angkat tawa
inesprat_,sejak kapan saya jadi idola kmpus sampai dosen ratu angkat itu
inesprat_,saudara wanita bitt ini muda kantor tawa
inesprat_,tawa
inesprat_,yuhu
