username,tweet
juliepuspita01,saldo
juliepuspita01,saldo bank
juliepuspita01,saldo bank
juliepuspita01,saldo bank
juliepuspita01,shopepay semoga saya tuhan amin
juliepuspita01,shopepay
juliepuspita01,shopepay
juliepuspita01,biasa
juliepuspita01,tonton hai selamat tinggal ibu ken jadi hantu
juliepuspita01,shopepay
juliepuspita01,s leica
juliepuspita01,jadi semangat ajar masak ah
juliepuspita01,mau dong saudara andihiyat tampan beri jauh
juliepuspita01,turkish dom bandar lampung
juliepuspita01,turkish lampung
juliepuspita01,tinggal tangepin saja hitung jadi teman apa salah tidak buat sakit hati orang kita semua tidak sempurna
juliepuspita01,tapi etika sih sengaknya tidak langsung dimatin begitu telponya kan sakit hati gadis sengaknya sopan dikit
juliepuspita01,kenapa sama goa malah kadang saudara wanita kalau nyontek goa begitu
juliepuspita01,goa pernah nyontek dicontekin lihat teman kalau pelit goa pelit memberi goa memberi begitu waktu sekolah dulu kalau nilai besar dari goa goa angep saja rezeki tawa
juliepuspita01,lebih ngeri dapat kerja tidak punya gaji
juliepuspita01,kenapa ya orang dapat gaji tinggi
juliepuspita01,dulu suka baca zodiak telah pikir cocok sifat sama zodiak aneh ibarat jt orang yang zodiak pisces apa iya akan sama semua teman goa marah kalau goa ngeshare tg zodiak tidak masuk akal kata iya sih
juliepuspita01,tiap manusia dunia punya salah yang berani yang mau saya tiap manusia dunia pernah sakit hati yang jiwa ksatria yang mau memafkan betapa bahagia punya banyak teman betapa senang betapa bahagia syukur karunia
juliepuspita01,wajar si sapi tidak ikhlas tidak masalah sih kalau minta balikin uang seperti itu lebih baik kasih panti asuh cari uang susah anak
juliepuspita01,jadi ajar buat semua
juliepuspita01,nah iya untung cuma sampai bulan
juliepuspita01,yang gadis tidak tahu diri yang pria mau diperlakuin begitu kalau jadi pria baik goa tingalin gadis model begitu cinta bodoh tidak tawa
juliepuspita01,saya suka mabuk jalan antimo selamat
juliepuspita01,saya bukan anak teknik saya simak
juliepuspita01,sudah
juliepuspita01,bom admin
juliepuspita01,matahari sinar lihat manusia tampak jalan jalan hidup pagi di stasiun kereta aduh putar roda besi sama roda hidup lawan keras hari saya setia tunggu bawa tempat kan setuju
