username,tweet
laylarmdhnaa,insekyur
laylarmdhnaa,tonton sampai habis asik euy dandutan
laylarmdhnaa,bingka tapai
laylarmdhnaa,rawat kulit an ditontonin saja sudah ada lucu
laylarmdhnaa,langsung ai saya menang bayang
laylarmdhnaa,sering kasihan sama orang pdahal adan sendiri sedang patut kasihan
laylarmdhnaa,bkalan rindu brantem karena akhir lihat
laylarmdhnaa,lebih gembira pikir perabot rumah daripada pikir skripsi dasar saya
laylarmdhnaa,saya tidak usah wo sudah lihat alias kuyus
laylarmdhnaa,tetap sayang wlaupun salah ketik ny sekali smpai saya pikir sekali yang maksud apa
laylarmdhnaa,humor
laylarmdhnaa,na itupang en ai
laylarmdhnaa,tidak hapus en agar banyak yang mndoakan
laylarmdhnaa,barakalah en
laylarmdhnaa,tempat pernah singah subhana
laylarmdhnaa,salah salahin hanya heran
laylarmdhnaa,akhir kali yang bawa motor ibu jam an pagi terus kunci ny lupa mati baru sadar tidak mau bawa masuk jam malam sekarang saya hnya pasrah lihat motor yang tidak daya
laylarmdhnaa,tidak sangka kecewa mudah tidak sengaja lihat pasang orang
laylarmdhnaa,lah pantas saja kemarin kuku saya jadi oren pkai nivea serum tapi dibersihin pkai sikat sabun hilang kenapa
laylarmdhnaa,lebih mudah ngafalin nama nama bumbu dapur daripada nama pisang banyak sekali tidak ada habis
laylarmdhnaa,saya minggu nyala twitter sebut suka retweet retweet capai lihat milik anda dengan
laylarmdhnaa,ingin cepat buka agar nang
laylarmdhnaa,tidak apa apa kan tidak apa apa iya tidak apa apa begitu kenapa saya kali kali mncoba damai dngn diri sendiri
laylarmdhnaa,saya minggu nyala twitter mentions balasan lihat milik anda dengan
laylarmdhnaa,saya minggu nyala twitter mentions baru ikut balasan lihat milik anda dengan
laylarmdhnaa,tidak tahu lah rasa susah sekali nglupain laku orang yang tidak mngenakan
laylarmdhnaa,syudah
laylarmdhnaa,apa ini habut bnar sini nah hndak btamu emon kh
laylarmdhnaa,dosen
laylarmdhnaa,yang paling berangan dengan cinta bukan benci tapi peduli
