username,tweet
liawatii_,saya
liawatii_,minum lelap coba yaz
liawatii_,topik malam adalah handbodyan pakai panas in
liawatii_,besok jaga sendiri sambi kuliah sekarang malah tidak tidur
liawatii_,begitu konsep
liawatii_,enak nenek aduk malah eneg
liawatii_,dawet hadir sesuatu yang baru lho saudara wanita saya apa baru bapak harga senyum saya tuhan bilang saja naik harga bapak bapak alumni twitter kali
liawatii_,saya tim tidak aduk omong omong
liawatii_,kerja apotek
liawatii_,banyak mau
liawatii_,ditandain tidak suka lihat novel kelipet lipet
liawatii_,jiakh
liawatii_,ke adab
liawatii_,sinar matahari masuk kamar surgawi
liawatii_,tuhan
liawatii_,dikatain bapak kenapa kurus saudara wanita karena nada ngatainya seperti melas begitu jdnya malah sedih
liawatii_,untung sempat balas pesan nyala whatsapp
liawatii_,bagaimana chatingan cuma beda menit begitu balesnya iri saya balas satu jam kemudian saja itunganya sudah fast responsif sekali
liawatii_,tuhan ken cahaya
liawatii_,bapak dinga gin tidak nin
liawatii_,nguyu
liawatii_,luk diri sendiri bagaimana cara
liawatii_,ups
liawatii_,segera po koe meh nukoke ayo kenapa yak
liawatii_,ngno tapi bangga
liawatii_,ampun jadi ken yuja niacin
liawatii_,tiap lewat ruang tamu reflek nyempetin ambil satu nastar padahal jam lewat kali
liawatii_,baru jadi
liawatii_,benar saudara adel suka sekali baca novel fiksi rasa lebih puas kalau beli jadi punya sendiri tapi sedih kalau dikatain apa beli pdfnya kan buang uang padahal menurut pendapat saya baca buku rasa lebih harga tulis keluarga saya fine saja yang penting selalu tata rapi
liawatii_,kenapa sama sih han saya uninstall instagram rasa seperti lega sekali begitu lebih damai dengan hidup diri sendiri
liawatii_,ibu ibu vc grup repot sekali astaga mana ngomongnya tidak ganti gemas
liawatii_,jadi budaya keluarga sejak dulu kalau lebaran bukan arti baju baru yang penting bersih wangi rapi
liawatii_,astaga astaga astaga gemas sekali si
liawatii_,tegane gawe wirang
liawatii_,whatsapp saja bapak sultanya ras anggap saja bolo dewe
liawatii_,kan kan kan
liawatii_,tunggu zonk
liawatii_,arti dulu saya yang gasempet ikut yang varian nan
liawatii_,ada malaysia
liawatii_,saya nenek padake artis sebentar ayo gelem kenapa saudara laki
liawatii_,tidak ngebosenin
liawatii_,budak cinta sekali sama sabun lifebuoy yang aroma matcha
liawatii_,bisa begitu
liawatii_,agar diam yang penting tidak dingin
liawatii_,brownies kalau dari kulkas didiemin dulu beberapa menit baru cemil nampol sekali rasa enak begitu beda sama yang dari kulkas langsung cemil begitu saja
liawatii_,ra dinei bandana saudara wanita tidak ngemaskeri
liawatii_,peluk tangis
liawatii_,tiba gojek memberi sen atas nama padahal saya tidak mes apa tahu manis sekali si terimakasih banyak fika
liawatii_,hayolo buber online
liawatii_,yang warna hijau kayak hapus anak tk tidak sih wen
liawatii_,buntel plastik sebentar dilebokne kono barkui tidak suntak
liawatii_,belum suntak situ sayur dari rumah bungkus plastik dulu sama ibu saudara wanita dewi
liawatii_,uw sama acih
liawatii_,gara gara tutup taperwernya sering saya ilangin tiba tiba ibu memberi bekal pakai begini ada kuli bangun
liawatii_,tidak aman pikir lebih tidak aman pikir lebih tidak aman terus saja begitu terus
liawatii_,astaga manis sekali sih anda
liawatii_,pulung semangat
