username,tweet
liawrdhani,kadang pikir tidak sabar sama anak sendiri tidak rewel nya begitu
liawrdhani,yang cantik tampan pintar bahkan humoris selalu ternotice yang kentang tetap jadi perkedel kentang
liawrdhani,ada balita baru ajar pakai kaos
liawrdhani,kenapa rem
liawrdhani,seminggu lebih tidak keramas akhir dibantuin keramas sama sepupu
liawrdhani,baru haru lihat nilai ujan sampai luk ibu
liawrdhani,lama tidak rasa sensasi gugup an buka nilai ujan
liawrdhani,rajin amatsih ngecek nilai belum siap
liawrdhani,ada kuliah imunologi versi yang senang lebih paham ini daripada diajarin dosen kelas
liawrdhani,lepas selang darah jorok rupa kebahagian
liawrdhani,lah
liawrdhani,suka sekali buat kejut
liawrdhani,lihat orang penuh giat yang senang punya banyak teman saja buat rasa saya kenapa tidak ya kayak begitu
liawrdhani,tweet seperti kandung bawang haru
liawrdhani,baru tanya saja langsung diomelin padahal cuma canda tanya
liawrdhani,drama sekali menit seblm kuliah online malah mules
liawrdhani,saat teman saat wisuda pakai softlens saya pilih tetap pakai kacamata takut makenya
liawrdhani,saja teori kalau benar netijen cengang
liawrdhani,pakai kupat
liawrdhani,gin saja saya saudara wanita masa
liawrdhani,tawa
liawrdhani,kalau budak cinta begitu mau saja suruh
liawrdhani,rsud daftar putar belum tamat sih kalau suka drama selingkuh itu dunia dari itu meni vip ibu bagus
liawrdhani,neraka sekali
liawrdhani,kadang selera beda lingkar teman saya jadi bingung kalau mau cerita seru habis tonton drama korea
liawrdhani,baik tonton drama korea
liawrdhani,sering kadang lebih instropeksi diri tidak ngejauh agar tidak makin sakit
liawrdhani,baru sadar masa
liawrdhani,lah iya baru sadar
liawrdhani,depan rumah ramai anak kecil utama kejar an tidak pikir musim corona
liawrdhani,benar bude endang saya wanti tidak begini tawa
liawrdhani,kan benar saya kira saya doang yang rasa
liawrdhani,untung sodaraku tidak yang begini
liawrdhani,kasih
liawrdhani,rsud daftar putar
liawrdhani,tuhan ingin punya ponakan bayi
liawrdhani,rasa ingin ngretekin leher agar gel hilang
liawrdhani,ingin punya ponakan bayi sudah tapi tidak dekat rumah
liawrdhani,mau baru hari rabu solo
liawrdhani,tidak berani naikin volume suara takut haru
liawrdhani,sudah sih terus
liawrdhani,tidak pernah starbucks suka teh pait
liawrdhani,mimpi sedih lama tidur siang tadi mimpin ayah beliau hidup dan saya sadar mimpi kalau tidak akan jadi nang senguk
liawrdhani,untung dapur ada cemil
liawrdhani,yang edit aman kan
liawrdhani,selalu jam gin perut minta jatah
liawrdhani,rsud daftar putar ibu
liawrdhani,tawa
liawrdhani,dengar suara glodakan tidak mau ambil cemil dapur parno sendiri tikus orang benar
liawrdhani,ikut salting tawa
liawrdhani,peta ibu juga tawa
liawrdhani,jadi dulu obrol dosbing kemudian dipangil saudara laki gara dpnya foto pria
liawrdhani,pakai aplikasi apa fi
liawrdhani,mau an saja suruh begitu tidak wisuda malah gandeng yang baru sadar
liawrdhani,ginu saja tawa hai
liawrdhani,sial
liawrdhani,anda saya kenapa sama
liawrdhani,diginian saja saya lemah
liawrdhani,tiap jam malam bawa lapar ingin cemil nasi tapi kalau kayak gin terus jadi bias masuk melar
liawrdhani,dapat jadi segera
liawrdhani,memang suka buat budak cinta orang terus hilang
liawrdhani,kalau tidak rajin bagaimana mau lulus uji saja nyontek tidak
liawrdhani,niat akan ngehubungin duluan nekat kemudian ambyar
liawrdhani,tonton saja kali tidak mau atur
liawrdhani,jadi artis memanh enak
liawrdhani,saja yang edit begini
liawrdhani,restock masker mumpung uang jatah bulan utuh
liawrdhani,malu
liawrdhani,saya tidak perhati peta
liawrdhani,baru lihat iklan milna begini tawa
liawrdhani,akhir
liawrdhani,tiap nelfon ibu kali tidak angkat gugup an takut atau takut ngambek
liawrdhani,tidak mati kan tidak mati
liawrdhani,belum yang nge tanda
liawrdhani,betapa tabah orang tinggal mati pasanganya yang biasa jalan hidup suka maupun duka
liawrdhani,benar yang dekat sama adalah mati
liawrdhani,dulu dikagetin sama berita suami bcl mati sekarang lembah kecil fredly
liawrdhani,mau pasar saja pikir kalau tidak pasar tidak punya sedia cemil cemilan
liawrdhani,benar benar hindar picu tidak jadi tidak aman buat diri sendiri
liawrdhani,sial kata fakboi jamanya
