username,tweet
liayurh_,wl
liayurh_,tuhan maha baik baik kecil apa kalau memang titik rendah memang butuh tiba tiba ajaib tuhan kasih syukur kita tidak hidup dunia lama kita pikir
liayurh_,hari pulang lebih sore biasa naik angkutan umum belum tumpang kata bapak sopir ada ada sekolah mana saudara
liayurh_,saya rasa semangat saudara
liayurh_,sudah punya pacar ter sesal
liayurh_,kurang lebih bulan pulang pergi kerja sekarang kembali biasa
liayurh_,turut bunga matahari seperti cahaya hidup semangat lihat
liayurh_,saudara
liayurh_,dulu seton favorit sekali tangis
liayurh_,yang bilang tetap hidup tidak lalu apa hidup kalau guna
liayurh_,anda selalu parah
liayurh_,siapa ini
liayurh_,hula
liayurh_,ayo ayo
liayurh_,kuripik
liayurh_,hadju
liayurh_,pernah libur ditangal merah sekali libur memang libur
liayurh_,salah terima galon yuli besok struk galon ini bawa pulang rumah
liayurh_,orang bilang jadi mirip lee admin ho ada depan atm
liayurh_,sudah bosan punya mulut seperti gadis kata
liayurh_,risih taruh
liayurh_,hari baik syukur
liayurh_,yoyic rasa mirip mirip yakult
liayurh_,usia tahun anda pikir apa telah anda beri baik apa telah anda laku jawab ingat
liayurh_,wadu
liayurh_,humoris tempat tidur
liayurh_,akan kena marah selamat kuat iya
liayurh_,saya tonton tengah malam begini dong
liayurh_,sedih sekali hidup
liayurh_,jasa titip nya wuw sekali
liayurh_,lama sekali hwuhu
liayurh_,rajin keju
liayurh_,maret
liayurh_,tak ujung cinta
liayurh_,semoga kan cepat lalu
liayurh_,memang banyak beud cari si vieneta si juga belum pernah coba hwuhu
liayurh_,asli enak sih sudah murah anak
liayurh_,tidur
liayurh_,lwup
liayurh_,singkawangku
liayurh_,tolak lupa
liayurh_,cinta
liayurh_,nyata teh hijau lebih pahit hidup
liayurh_,tiap jam gin dagu selalu bentol kekgini tangis
liayurh_,sudah mau magrib atm rumah lumayan jauh tidak kendaran sama sekali coba naik sepeda tengah jalan hujan mau pulang nangung coba jalan ujanya makin besar sudah dekat lanjut jalan habis hujan nya tidak renti sudah isya pulang keujanan hilang kabar
liayurh_,waktu banyak cari inituh
liayurh_,buah naga
liayurh_,lucu
liayurh_,sama ac
liayurh_,saya malah ikut
