username,tweet
lulufrdni,dulu saya kira ibu tidak pernah sakit rasa jadi ibu nyata jadi ibu tidak sakit kalau sakit rumah beranta tidak ada yang ngurus anak
lulufrdni,sudah begitu tidak boleh req ayam nya moapa sedih saya itu
lulufrdni,ada cemil minyak iya tawa
lulufrdni,eh tawa
lulufrdni,kemarin sam sudah kemane fikiranyah
lulufrdni,keluar beli cemil beli pampers beli cip cepuluh paling
lulufrdni,panik la takut anak doang kenapa kenapa
lulufrdni,takut
lulufrdni,semoga bukan apa apa yah
lulufrdni,tidak tahu sam
lulufrdni,saudara laki tatan demam tambah batuk sakit nya hari lalu tiba tiba muntah aduh fikiranku sudah kmn saja
lulufrdni,dada sesak hanya
lulufrdni,karena dari anda kelly clarkson
lulufrdni,ini tawa
lulufrdni,saking sudah bosan nya motidur bosan bagaimana si malas merem aih pasang saja anda
lulufrdni,nyang benel anda
lulufrdni,masa si
lulufrdni,pikir baru kali anda ngelike foto saya lagi haha
lulufrdni,suamik suamik
lulufrdni,saya sudah enek sekali
lulufrdni,saudara wanita sekali hai tawa
lulufrdni,tidak la memang harus marah
lulufrdni,sudah tidak ada lagi deh yang nama insekyur
lulufrdni,itumah seperti bicara biasa kalau tanya tanda tanya nya malih wakaka
lulufrdni,saudara laki salah yak
lulufrdni,sudah tjuy
lulufrdni,lah cong user name nya sama
lulufrdni,sabar yah isam wakaka
lulufrdni,soalnye juga dibuly wakakak cari teman tidak siy pacar
lulufrdni,benar tambah episode tidak siy
lulufrdni,jiakh
lulufrdni,mau tonton itu raja kurang suka sama per gadis nya tapi gumush sama paman minho
lulufrdni,sudah meni rasa nya dapat sekali
lulufrdni,laki saya tahu saja kalau dia keluar malam minggu saya ngoceh eh saya nya yang lupa tidak apa apa lah demi uang
lulufrdni,hiyah
lulufrdni,ngantuk uap obo dulu agar tidak ngantuk sebentar malam tunggu dari ji
lulufrdni,sudah utama dekat sini sama teman baya tapi tetap minta nya kakek saya takut bawa virus ksana tawa
lulufrdni,wakakakak
lulufrdni,indah vloger tapi tidak indah bagaimana sik netijen tawa
lulufrdni,iyak alfa indonesia doang seperti beli pampers susu dulu tapi anak saya kan tidak ngikut jadi sudah bosan sekali kali kalau suruh tidur siang bicara sebentar malam ibu memang kalau malam sebentar tidur begitu
lulufrdni,yang aneh nya pernah hamil angur tapi seperti tidak sedih kuret malah bahagia teman saya yang gugur sedih loh
lulufrdni,malih malih
lulufrdni,canda sampai gumoh saya bulan tidak keluar rumah wakakakak iyala ken semua normal tjuy
lulufrdni,kasi anak saya sudah jenuh taruh rumah kalau waktu suruh tidur seperti sudah bosan begitu tidur lagi tidur lagi kemarin minta kakek kalau tidak tante wakakak bagaimana emaknya khan memang tidak ada akhlak itu buat resah saja
lulufrdni,bodoh yah kalau cara ngomongnya dia seperti begitu agar eks tapi saya jijik orang pada susah karena corona sepelein kt falawers nya saya suruh tonton penuh idi berapa menit saja tidak bobot dia bicara palagi penuh sakit kali yah
lulufrdni,hai indira kalista anda tahu nyata anda salah tidak sadar tidak ibu ibu murka ini mau kapan diam rumah hanya karena pihak anda lah yang sulit
lulufrdni,saya murka ikut komentar eh bala bala nya ngebela pakai rekening palsu
lulufrdni,yang baru panutan que yang tidak tiru yak
lulufrdni,selebgram tulul inimah saya saja yang jadi selebgram wakakakak
lulufrdni,tidak usah shombong deh anda kalau belum omong kosong bahagiain orang yang anda sayang
lulufrdni,memang siapa yang ngelupain anak si
lulufrdni,dari pacar tidak pernah itu kasih bunga ken yang manis begitu laki saya tidak romantis taruh yak
lulufrdni,kekwkw
lulufrdni,ih tidak apa apa sial anak juga ibu muda ini masih ketjeh lah yah
lulufrdni,apatu apatu
lulufrdni,lihat pacar orang lucu sekali yak tawa
lulufrdni,senang ulang tahun malu telat
lulufrdni,gula bapak lagi hits yah jijik
lulufrdni,bagi mewek dong
lulufrdni,lihat spoiler episode makin gedek saja saya sama dakyung budok sampai mau bunuh diri
lulufrdni,tidak paham lagi sama itu gojek maksud apa begitu yak buat saya tunggu lama tidak bawa motor masing saja kalau mau sekaligus begitu ih
lulufrdni,sen mcd gojek tidak jam sekali titip aqua tidak sampai hampir jam sial nyata gojek orang gojek nya naik nmax depan pizza begitu nyata tidak tempat sampah aqua nya kesal sekali sial
lulufrdni,dari ji kapan tidak sesak nya sih
lulufrdni,zheyanku lagi suka pok ame ame
lulufrdni,hari gin banyak mau jco tidak itu
lulufrdni,iyah onti kicik
lulufrdni,tul khan
lulufrdni,sudah sembuh niy
lulufrdni,umur gin lihat itu mana yang benar teman mana yang palsu
lulufrdni,unduh saja telegram terus masuk kelompok nya nti tinggal main saya saja tonton telegram tadi viu belum
lulufrdni,viu sudah keluar kenapa
lulufrdni,telegram
lulufrdni,nah tadi dokter eh tidak ada dokter anak nya suruh rumah sakit eh tapi ayah nya tidak berani lagi corona terus telp bidan yang biasa imunisasi kata kalau sudah tidak panas gaperlu obat tinggal tunggu bintik nya hilang kasih nya vitamin beli apotek
lulufrdni,akhir tonton drama korea pacar sama romantis putri jaman sampai karena ramai sekali jadi bincang jadi saya tonton deh uras emozi yah
lulufrdni,dede demam hari hari keluar bintik bintik merah dalam hati semua ibu ibu kenapa tidak saya saja yang sakit iya tuhan kasi
lulufrdni,kepingin dimsum berapa hari lalu eh tadi paksu alfamidi tidak saya taro in kulkas saya liatin satu satu eh dimsum beku tawa saudara wanita sekali begitu doang
lulufrdni,akhir selesai juga saya marathon itu dunia dari meni eh belum selese deng sambung
lulufrdni,seperti seru tonton drama korea
lulufrdni,tonton film rizky nazar sama michele ziu kenapa bawa rasa anet sih saya
lulufrdni,wah teman esempe sudah jadi budokter saja ini
lulufrdni,tawa saudara laki enak
lulufrdni,iya tuhan puasa pertama tidak bangun sahur
lulufrdni,mau uji seperti bagaimana juga sabar iya saudara
lulufrdni,kalau kesal sampai keubun ubun heran
lulufrdni,tiba tiba anda kasih nikmat tiba tiba anda uji sabar nya
lulufrdni,aduh
lulufrdni,iya sik tapi sen nya yang lengkap sama nasi ayam sundae fried fries sama cheese burger
lulufrdni,iya pinteran sekali ken burger tadi nyebut kira utuban eh malah buka apl gojek eh sen nya mcd padahal belum omong kosong baca tawa
lulufrdni,hadeu si saudara laki sudah sen cemil gojek ibu tidak tahu apa lagi megang saudara tiba tiba yang nelp tahu nya sen parsel mcd
lulufrdni,sensasi nya beda beda tahun dua seperti masih pacar tahun nath tahun bertigan tahun eh ada anggota baru mau
lulufrdni,puasa sama bapak hiu dudududu
lulufrdni,hari lagi puasa teman teman
lulufrdni,sedih kelelawar sedih
lulufrdni,lapar teman teman papi sudah tidur tapi kalau buat mie selalu pusing kenapa yak
lulufrdni,pacar dari sampai nah tidak lulus beda sekolah saya pindah bekas asli kalau dulu sudah yang nama budak cinta saya dulu omong kosong bilang budak cinta sekali sampai minta mopindah sekolah sini karena tidak bisa jauh sama eh tidak sudah pindah kt putus wakakakak
lulufrdni,ken ngemol ken blanja bulan rasa sudah sudah
lulufrdni,senak jidad anda saja bangke
lulufrdni,lelah tidur hanya
lulufrdni,hidang bosan tauk tawa
lulufrdni,tanya senior bang masih lama tidak bentar lagi itu menit lagi pohon nya sudah pendek kan
lulufrdni,ibu anak duwa masih saja tiktokan tawa
lulufrdni,watdezink
lulufrdni,positip corona tidak positip hamil iya tawa
lulufrdni,kampred sekali
lulufrdni,iya tuhan mudah lah semua
lulufrdni,syukur iya tuhan
lulufrdni,hits jaman nya begitu uber sosial untuk blackberry sampai twitter untuk blackberry
lulufrdni,tawa
lulufrdni,wakakakak tidak waras kalau direcokim hanya ibu
lulufrdni,jaga waras istri penting sekali lho
lulufrdni,mimpi saja dulu
lulufrdni,kalau sudah pada tidur suka lihat video rindu sendiri padahal anak belah
lulufrdni,tawa tidur baik si mblo
lulufrdni,gipipi kisil sekali dada
lulufrdni,kui kira suara petas
lulufrdni,sapa yang dengar dentum
lulufrdni,hilih kintil
lulufrdni,rebah muluk sampai gaya rebah seperti bagaimana sudah coba semua
lulufrdni,saking malas nya mau gerak saja malas bats si saya tangis
lulufrdni,tidak kesal hanya ibu nti cepat tua
lulufrdni,terus tentang kerja di rumah enak yang tabung yang seperti turun gabis bicara tinggal di rumah tolong lah kalau buat yang turun lapang bagaimana buat yang harus jual bagaimana kalau yang tetap harus kirim orangtua bagaimana
lulufrdni,nah rumit nya kalau lagi begini kan mau nagih bagaimana begitu tapi yang minjem tidak pikir begitu loh
lulufrdni,sudah seperti atm jalan laki saya dipinjemin boro dibalikin apa tidak dimintain uang anda pada tidak bisa apa pergi begitu dari hidup saya
lulufrdni,punya kaca tidak kaca kenapa
lulufrdni,kapan numbuh rambut dek mau saya pakein jepit
lulufrdni,mau ngelanjutin iflix tapi takut pada bangun
lulufrdni,tidak dong anda menikah terus buat sudah
lulufrdni,sok iya bats
lulufrdni,iyak baru bulan nama kanaya
lulufrdni,apa si haha
lulufrdni,goyang ibu muda apa si sial wakaka
lulufrdni,krik
