username,tweet
marisahafsyah94,tawa
marisahafsyah94,ampun anda wangi sekali huahahahahahahahauaha
marisahafsyah94,sal suara makes saya emosional sekali
marisahafsyah94,tawa gemas
marisahafsyah94,tawa iya mau saudara
marisahafsyah94,teh saya kagok tonton saja karena seas akhir jadi ngefinishin apa yang saya mulai tidak usah tonton seperti lebar pis akan rindu si zach dempsey saudara
marisahafsyah94,kalau saya rambut
marisahafsyah94,untung bandan yang rontok bukan lemak ehehehe
marisahafsyah94,tawa bagaimana ulas nya saudara
marisahafsyah94,bagaimana sudah tonton bom alas kenapa seas akhir nya bom anda dia
marisahafsyah94,tidak dong tidak eklusip lagi saya
marisahafsyah94,tawa kesal anda kan amazonya indonesia jadi haduh
marisahafsyah94,anda sih ih tawa
marisahafsyah94,tangis makin cinta sekali sama rambut terima kasi sentuh ajaib tidak jadi gokil anda
marisahafsyah94,jelek andir ibu saudara
marisahafsyah94,lurus badan jam
marisahafsyah94,sudah jam lebih menit taman sae ro yi kenapa tidak tepat waktu sudah tidak usah jemput saya mau ngambek saja setauneun
marisahafsyah94,lah kan ji chang wok sama taman sae ro yi ibu banyak dekengan jadi aman orang juga hormat kale sama tawa
marisahafsyah94,ketemu sana saja lah si taman sae ro yi baru di jalan jam soal langsung myeongdong saja
marisahafsyah94,asli sekali hupirna kesal ayo pindah korea
marisahafsyah94,dari kemarin kenapa sih ah
marisahafsyah94,misteri iqbal belum pecah yasudah lewat nanti bawa mimpi selamat malam semoga mimpi seru keren tidak lupa tidak turun motor sedang isi bahan bakar oke
marisahafsyah94,iqbal
marisahafsyah94,sudah besok baik anda jemput sini ke bober jam bisa sih cuti trims
marisahafsyah94,tawa sih tapi memang enya oge sudah salah sekali memang tanda ke anda
marisahafsyah94,hahahahahaha tidak begitu hai
marisahafsyah94,iya ya saya tidak lagi ngelamun atau tidak tunggu gebetan tidak sih tawa kalau anda nomor
marisahafsyah94,sumpah kaca sekali anda saya kalau saya rajin
marisahafsyah94,saya yang rajin sudah pasti nomor kan
marisahafsyah94,saya cinta anda
marisahafsyah94,lebih sesal juga saya tidak menemani tidak dulu sekarang saya tidak mau anda sedih lagi sampai derita sendiri dadah dulu sama yang buat sedih ucap hai baik semoga hidup anda selalu dekat dengan hal baik semoga anda tidak pernah rasa pahit lagi
marisahafsyah94,tidak pernah takjub ke manusia seperti kejut anda kenapa kuat sekali anda kenapa mahir sekali sedih buat sebentar sampai nangisin lagi penting sih semua anda syukur bahkan pahit sekalipun mari lihat hasil yang lahir semua pahit yang anda alami kejut anda did itu
marisahafsyah94,ya seperti jika anda kena t seperti dia hanya kena t tonton sudah tidak usah ambil pusing rumit ada yang rugi kenapa yang lakuin tidak sih
marisahafsyah94,apa gila ini
marisahafsyah94,padahal sudah benar ngurangin permen karet coklat ekim tapi sih
marisahafsyah94,apa
marisahafsyah94,tidak henti ngemilin kacang sama sistik
marisahafsyah94,astaga
marisahafsyah94,saya benar tidak dan tidak mau lupa tolong musim tidak sabar
marisahafsyah94,ken yang nyata tapi takut banjir tawa
marisahafsyah94,ayo nyonya siang beli lotek saja ayo
marisahafsyah94,yasudah ayo syukur saja ayo
marisahafsyah94,tawa anda sekali saat dicarin sama saya si saudara apa
