username,tweet
nidakarin,mau galaksi catat bang jungkok
nidakarin,luncur bonus keburu mobil lewat depan rumah
nidakarin,hai teman teman kalian tahu tidak sih kalau sekarang mahasiswa cicil barang kartu kredit loh sekarang banyak
nidakarin,hanya punya senang dengan mereka
nidakarin,cuma mau sulanjana sama cari pom bensin tapi malah nyasar kesini nekad
nidakarin,sebuah wanita harus jadi two sesuatu classy dan fabulous cc
nidakarin,senyumin saja
nidakarin,mimpi tetap indah tetap jadi mimpi hal
nidakarin,tidak banding diri dengan siapa dunia jika
nidakarin,saya tidak ingin untuk jadi semua tapi saya ingin untuk jadi suatu
nidakarin,saya tidak ingin untuk jadi semua tapi saya ingin untuk jadi suatu
nidakarin,lawan senang ulang tahun uwa dan senang ulang tahun untuk saya
nidakarin,abai pipi
nidakarin,dengan risti dan shelia di samsung alam toko
nidakarin,kadang saya punya untuk senyum pura semua adalah oke dan hanya
nidakarin,dengan risti hermansyah dan lain di
nidakarin,alis asli tidak sulam omong omong senang baru tahun oke
nidakarin,dengan shelia di
nidakarin,dengan hermansyah risti dan shelia di
nidakarin,febiratnas
nidakarin,senang aniv tahun dengan risti hermansyah dan lain di kelapa laguna restoran
nidakarin,pipi makin over saja tanda makin bahagia
nidakarin,di graha mangala siliwangi
nidakarin,rindu anak gendut cepat utama bandung
nidakarin,gojek saya
nidakarin,libur sakicep dengan banyak di bal bamboe
nidakarin,pikir baik utama di
nidakarin,maaf soimut
nidakarin,dengan shelia di
nidakarin,hanya posted sebuah foto bandung indonesia
nidakarin,di
nidakarin,bahagia ibu sederhana malu
nidakarin,di
nidakarin,khoirun nas anfa uhum lin nas bandung indonesia
nidakarin,bandung indonesia
nidakarin,rumah kosong lama huni hati kosong lama
nidakarin,dengan hermansyah shelia dan lain di siliwangi renang kolam pic
nidakarin,jam gin saja urut di kantor camat bojongloa kaler
nidakarin,hinyai ken saya unggah terimakasih atas hari hotel
nidakarin,di
nidakarin,mamacetan di hdl cilaki
nidakarin,di gerbang tol jatiluhur
nidakarin,mau mana di pic
nidakarin,saya punya banyak problems in saya hidup tapi saya lips kena t tahu itu mereka
nidakarin,evolusi tetap butuh ruang sendiri ruang sendiri oleh tulus
nidakarin,keluarga waktu di
nidakarin,bigger adalah lebih baik tahun tidak ketemu akhir
nidakarin,panjang waktu tidak lihat es usia tabrak tentu dengan fina rafa zihan dan lain di
nidakarin,hbh kel h noersaid dengan banyak di wisma wira amur
nidakarin,ba per tidak hilang oleh rosa
nidakarin,saya keluarga saya pasu ps tidak penuh tim
nidakarin,dengan shelia di
nidakarin,mimpi oleh isyana sarasvati
nidakarin,dengan ibu di
nidakarin,dengan hermansyah shelia dan lain di pic
nidakarin,tidak pernah punya saya dealt dengan apa pun lagi sulit daripada saya milik sendiri soul yaitu kadang tolong saya dan
nidakarin,buru dengan risti vani dan eri di peta taman bandung
nidakarin,kurang pagi dengan shelia risti dan di warunk upnormal dipatiukur
nidakarin,tidak pernah lupa anda oleh zara larson sampai mnek
nidakarin,bukan kembar bosan bilang kembar terus
nidakarin,di rotiboy bakeshope festival citylink
nidakarin,qtime dengan tisum keluarga di
nidakarin,dengan sherina di
nidakarin,dengan keluarga di hoka hoka bento
