username,tweet
novitakurniap,semangat bang
novitakurniap,eh iya sih salah satu tawa
novitakurniap,kalau sudah umur tahun atas grup obrolanya kalau tidak menikah karir
novitakurniap,pagi pagi sudah ngeliatin gambar anatomi ginjal sama urine
novitakurniap,naik kereta api imut imut imut
novitakurniap,sudah
novitakurniap,turun karena mau beli kemarin habis admin pamer
novitakurniap,selesai corona wajib ayo tawa
novitakurniap,kalau mau ngelakuin tapi sudah luar rencana jadi bingung
novitakurniap,investasi jangka panjang aman kira apa
novitakurniap,raisa tawa pukul bahu teman tidak
novitakurniap,apa banding rezeki padahal rezeki ada atur deketin saja atur cara masing
novitakurniap,bisa balas truf pakai capslock
novitakurniap,mau
novitakurniap,terimakasih cerita banyak hari semoga cerita hari jadi doa doa wujud amin
novitakurniap,itu si
novitakurniap,punya kucing rumah kenapa tidak seperti gin lihat cicak saja malas mau rebah terus
novitakurniap,bilang pindah saja jeng
novitakurniap,mimpi acak sekali tawa
novitakurniap,tadi siang selesai kuliah biomedik tidur terus mimpi punya berlian karena materi kuliah ngebahasa batu ginjal astaga
novitakurniap,cc
novitakurniap,awal bulan depan kampus sudah mulai masuk karena ikut atur perintah soal baru normal teman ngirimin lengkap sampai begini biasa cuma bawa binder doang
novitakurniap,bisa pikir
novitakurniap,kenapa muka tidak liatin
novitakurniap,saya siap saya siap
novitakurniap,sedih sekali benar benar habis solat ied langsung bubar karena tidak salam
novitakurniap,tawa kaku sekali kalau jalan miring
novitakurniap,tawa suruh instal pubg tidak mainin ada bodoh sekali hadap kanan kiri saja kaku tawa
novitakurniap,tawa humor sekali si
novitakurniap,muncul anda masa bang
novitakurniap,tidak otak kali mentang kalau pagi terminal periksa titik kalau malam tidak jadi pergi malam
novitakurniap,gila gila jalan jakarta bogor ramai sekali orang orang mudik
novitakurniap,begitu habede
novitakurniap,mao
novitakurniap,telkomsel hai tidak isi parsel inet
novitakurniap,ulet seperti panas
novitakurniap,tawa tidak ada jadi rindu kampus
novitakurniap,tawa siapa coba
novitakurniap,adududu jadi haru
novitakurniap,telepon malam tidak angkat terus obrol begini tiba kenal sudah tahun lebih baru kali haru obrol karena sekarang sudah sukses proyekanya dimna hormat saudara laki
novitakurniap,mcd tenda kira ada yang hajat
novitakurniap,dapat jadi segera
novitakurniap,mao
novitakurniap,kasar gksuka
novitakurniap,apa
novitakurniap,tawa mao thr dong
novitakurniap,mao
novitakurniap,sakit kepala lihat
novitakurniap,scorpio valid
novitakurniap,begitu lama karantina
novitakurniap,iya sedih sekali episode
novitakurniap,malam malam bawa rasa tonton drama korea sampai nang tumben
novitakurniap,tiap tahun ada yang kejut untung hati selalu bawa peras
novitakurniap,ngantuk harus kulit peduli an wajib
novitakurniap,drama korea terus
novitakurniap,yeay akhir
novitakurniap,insyaflah wahai manusia
novitakurniap,gosip anda
novitakurniap,tidak
novitakurniap,syukur yang anterin chatime terimakasih anda semoga rezeki limpah agar traktir terus
novitakurniap,tawa pekerjaan
novitakurniap,ahahahahahaha
novitakurniap,tunggu mau traktir chatime
novitakurniap,psb
