username,tweet
nstlstnngrm,sudah kena santet jadi tidak gambar
nstlstnngrm,suster tidak ditaro meja apa agar lihat
nstlstnngrm,belah kamar nyanyi menstruasi mbendino
nstlstnngrm,nada
nstlstnngrm,syukur
nstlstnngrm,horoh
nstlstnngrm,kalem ledak waktu waktu
nstlstnngrm,ndasmu
nstlstnngrm,jauh
nstlstnngrm,ya bapak kayak selalu tahu suasana hati padahal saya diam
nstlstnngrm,suram suram
nstlstnngrm,bps saja begini cuma
nstlstnngrm,halusinasi tempat sila
nstlstnngrm,malah kayak untung hakim
nstlstnngrm,wis mangane kemproh tiba tibo mbladhok pis
nstlstnngrm,oiya anda juli
nstlstnngrm,iya
nstlstnngrm,mobil s perkoreyan
nstlstnngrm,cukup anda saja halusinasi rektor tidak
nstlstnngrm,tidak apa apa ibu cuma ngliyer dikit
nstlstnngrm,ng nganu
nstlstnngrm,gublik
nstlstnngrm,padahal biasa duduk sendiri bentar sana tidak apa apa
nstlstnngrm,ken lempar rudal kamar saudara sebentar kamar kena
nstlstnngrm,masih sibuk fokus youtuber
nstlstnngrm,wah bagaimana si tidak perbarui
nstlstnngrm,berisik sekali orang itu
nstlstnngrm,saya
nstlstnngrm,paling enak tetap ayam geprek bapak wage
nstlstnngrm,tawa sial
nstlstnngrm,masa kecil penuh tipu nyata
nstlstnngrm,gas
nstlstnngrm,mie ayam saja lah
nstlstnngrm,inspirasi muncul kelakar nya tetap saja rebah hanya
nstlstnngrm,acak sekali gaya nya biarin lah
nstlstnngrm,saya
nstlstnngrm,tidak mau hijrah
nstlstnngrm,aduh ingin keceh
nstlstnngrm,saya ciblon bareng
nstlstnngrm,indonesia tanggap buat bencana
nstlstnngrm,jo gelem saudara laki tidak gur dikon gelar kloso
nstlstnngrm,nah
nstlstnngrm,banyak
nstlstnngrm,piring favorit muat nasi banyak
nstlstnngrm,dekat saja tidak apa apa si
nstlstnngrm,reuni sama anda bom
nstlstnngrm,sampai dengan langanan setor teks pancasila bina dadi kibar pis kapok lagune wis rampung lah benderane iseh paro akhire ngebut kerek mungah
nstlstnngrm,kalau babe sendiri memang sudah biasa ngerokoknya luar rumah hubung tamu jah ngikut ruang tamu sudah haha
nstlstnngrm,tidak pilih satu taichan sama sate madura
nstlstnngrm,seminggu minggu waktu indonesia corona
