username,tweet
nurulainiii,ya baik untung
nurulainiii,apa paling saya tidak bisa pilih sekali both
nurulainiii,ikut bang oka tahun an tidak jaman dilema pakai soundcloudnya bang oka beli semua seri buku apa bangga sekali saya itu lihat capai blio sangat inspirasi saya yang mulai pasuk empat hidup krisis sukses bahagia selalu bang
nurulainiii,clubbing rasa rasa uji semester ruang terubuk jauh kali
nurulainiii,petembuh sayang
nurulainiii,eh ayam eh ayam
nurulainiii,baru selesai tonton video youtube lahir anak arief tipang apa saya haru sekali bagai orang suka sama tahun an saya turut bahagia bang
nurulainiii,iya sekali tangis sudah jenuh sekali rumah saja gin
nurulainiii,buah lagu indah milik lirik paling favorit lagu cermin
nurulainiii,kalau dengar lagu lirik lirik indah suka tiba tiba kata indah
nurulainiii,mendung luar paksa masuk dalam hati fikiran saya tahan hujan kemudian pipi tanpa tepi
nurulainiii,pagi hujan dengar daftar putar proyek ulang tahu nadin amizah apa sendu sekali
nurulainiii,apalagi sih
nurulainiii,tahun saya hanya tabung yang awet alias memang bisa dicairin saja makanya utuh haha
nurulainiii,heran itu jadi lezat jadi langanan lama rumah sih baik sekali
nurulainiii,stayaway dari racun orang pengirim
nurulainiii,akhir founding lasagna in ini kota apa jadi exicted saya ll perbarui tentang itu rasa later
nurulainiii,jadi hubung
nurulainiii,lebaran tahun cuma empat doang keluarga besar tidak mudik silaturahmi virtual depan kamera haha malu padahal aselinya ibu sedih tidak ngumpul
nurulainiii,umur hidup tidak pernah lebaran gin selalu pulang rumah nenek h lebaran tidak pernah sibuk masak gin biasa sampai rumah nenek semua sudah selesai apa saya rindu saudara se per sepupu
nurulainiii,dishare grup whatsapp keluarga ini hampir mau marah tadi tidak sudah buka webnya tidak jadi marah
nurulainiii,saya mau nerima saja tidak sih tawa lawan konsep beri hampers
nurulainiii,ih iya ya yaudh saya tunguin sampai piay sampai suami pokok tidak boleh lupa haha
nurulainiii,orang orang kenapa sih dapat hampers begitu ayo kirimin saya hampers ayo agar buat instastory
nurulainiii,kalau saya yang bawa motor sudah mobil nyemplung sawah sih
nurulainiii,tidak compared milik anda masalah dengan lain orang tolong tidak tahu yang benar dirasain orang seperti bagaimana dia sambat tidak ngerepotin anda kalau tidak suka tinggal lewat saja susah sekali untuk
nurulainiii,tidak pernah tahu kalau cara baru tahu tidak kn thn lalu tidak masuk kamar syok lihat teman saya lagi solat pala besar sekali seperti pala gurita betul rambut panjang begitu jadi gulunganya besar saya ngingetnya saja tawa sekali foto sih tidak tega ngesharenya
nurulainiii,kepala hampir nyonyot bukan haha
nurulainiii,naik perahu mau cari ikan seperti air tidak lihat tutup eceng gondok
nurulainiii,iya rim twom saya hubung lalu segala rasa traumatik cemas takut sekarang bisa mulai atas sedikit sedikit sehat mental lebih baik
nurulainiii,aneh tidak sih akhir benci kali saya lihat
nurulainiii,saudara wanita
nurulainiii,baru selesai tonton episode twom saya kecewa akhir macam apa hai
nurulainiii,apa kalian rindu kencan malam minggu cc tidak sebut saudara laki pacar
