username,tweet
ovilsp,saya tidak ajak huw
ovilsp,heran sekali kenapa pada bilang saya budak cinta
ovilsp,jadi kamar mandi
ovilsp,tidak tahu mulai dari mana z
ovilsp,ingin dekor kamar seperti orang
ovilsp,hayo cepat uji lil
ovilsp,enak geprek zaitun
ovilsp,akirnya lihat hijau lagi sekian lama ndekem rumah
ovilsp,buka mata lihat diri
ovilsp,rindu jajan jajan tolonk
ovilsp,betol ayo ibu suci langsung kua
ovilsp,takut kualat sekali tolong
ovilsp,buat amu sab
ovilsp,telinga satu bom
ovilsp,anginya kencang sekali
ovilsp,zahra kasarung
ovilsp,mutung terus
ovilsp,pusing
ovilsp,kenapa kucing yang kecil kerja meong terus
ovilsp,agar tidak bodoh lagi
ovilsp,lihat orang cemil rendang lapernya tular sekali
ovilsp,lebih enak
ovilsp,ingin minum boba tiap hari
ovilsp,hari isi cemil tidur drama korea
ovilsp,grup keluarga besar nanyanya besok mau vidcal pakai apa sedih sekali bawah
ovilsp,lebaran kali tanpa anak sedih
ovilsp,sedih lebaran rumah doang
ovilsp,mager sekali tuhan
ovilsp,mokel
ovilsp,tidak tidak maafin
ovilsp,kenapa dingin
ovilsp,saya tonton sampai episode terus bosan tawa jujur frik kan saya
ovilsp,gasabar corona selesai terus pantai
ovilsp,enak mie rebus tolong
ovilsp,akhir ngetwit budak cinta tahun
ovilsp,benar nged tawa
ovilsp,ngechatnya jujur sama saya kan rem
ovilsp,kukut
ovilsp,pusing tidak tahu mau jawab apa
ovilsp,ditanyain skripsi sama destia rasa ingin beku saja
ovilsp,ingin kerang jam gin
ovilsp,anda paling benar selesai nya tidak otp
ovilsp,gaktau tawa tapi setuju sekali kenapa padahal kan enak
ovilsp,bagaimana cerita kucing takut kedatengan kucing baru padahal lebih besar
ovilsp,ingin olahraga lagi tapi mager sekali tidak bisa
ovilsp,gtw kenapa semangat sekali mau sahur
ovilsp,knpsih knpsih
ovilsp,jeda dari jaman kn saya patah lelah sedih sekali padahal awet panjang sejarah
ovilsp,tawa banguntapan sagan putar ringroad iya tok
ovilsp,iya dosa itu luas dari banguntapan sampai godean
ovilsp,sedih tidak bisa sunsetan blkg rumah lagi
ovilsp,kalau buka selalu kenyang
ovilsp,kan main memang pria gemini tawa
ovilsp,sering utama sama gdun gin ini jdnya
ovilsp,cemil pedas enak sih tapi tidak kuat
ovilsp,tawa ih tidak marah begitu dong synk
ovilsp,uji sabar sih lelah
ovilsp,tinggal ngegame kan
ovilsp,tolong aqila ikut scnd akun saudara sarah
ovilsp,hadu bingung kan
ovilsp,frik sekali malas temenan
ovilsp,kapan anda tidak muring memang
ovilsp,kenapa begitu sih
ovilsp,besok puasa uwuwuw
ovilsp,pokok habis mau tonton konser
ovilsp,idih sok tanjung ah
ovilsp,bentar lagi ramadhan coba
ovilsp,malas tidak sih
ovilsp,tahu dibolehin
ovilsp,sudah mirip kenapa sama sapi
ovilsp,ingin ngobrol langsung tidak telepon doank
ovilsp,jalan jalan lagi ayo
ovilsp,anyeong haseyo eon
ovilsp,ingin ngobrol pakai bahasa korea agar seperti drama
ovilsp,sayang sekali sama alfamart samping rumah
ovilsp,saya juga tonton darah tinggi
ovilsp,tonton drama pusing panjang hidup
ovilsp,langsung lapar lihat
ovilsp,rindu teman teman saya
ovilsp,bentar lagi puasa tapi sedih kalau tidak bisa buber
ovilsp,ingin tonton drama tapi tidak tdur
ovilsp,muasaksih
ovilsp,ken jalan jalan paham tidak
ovilsp,hujan ujanan itu niat memang
ovilsp,hujan ujanan kali agar tidak bosan
ovilsp,seru sekali putar putar yogyakarta
ovilsp,tonton drama isi cemil yang lapar hanya
ovilsp,anggur uang baru mobil wkakaka
ovilsp,sj godan tonton drama korea
ovilsp,jujur tidak penting bul
ovilsp,iya benar cuma pasrah atau ikut orang padahal tidak tahu mana
ovilsp,saya kalau tidak barenganya tidak bisa keluar dari pogung
ovilsp,menang
ovilsp,apa kira drama korea budak cinta seperti biasa
