username,tweet
phoebee_ip,mantap pul sayap sampek over beban
phoebee_ip,wai ngulang
phoebee_ip,dia siapa dia pikir
phoebee_ip,siap bosque
phoebee_ip,tidak kiro mbek yang dulu ini ayo cocok lihat lucu tawa
phoebee_ip,tangan sudah kriting saudara
phoebee_ip,cemungudh eaps
phoebee_ip,sebentar lama ges titik jantung lanjut semangat
phoebee_ip,tidak bise pusing
phoebee_ip,endinge hana rodok gajelas jelas se ngerundel
phoebee_ip,rekom tidak tanduk tidak titik jantung takut takut enak tawa ajok dewe iya ngkok ketriger
phoebee_ip,asli habis lihat midsomar jadi takut takut enak itu milik dari hanah rahmat
phoebee_ip,silkus balik tiap maujian selalu tres tetap tidak bisa ajar dampak malah jerawat dimna mana
phoebee_ip,mau cosrx semoga rezeki
phoebee_ip,saudara mau dong
phoebee_ip,tidak apa apa humoris tawa
phoebee_ip,ucul saat
phoebee_ip,bagus tawa
phoebee_ip,tidak tahu saya ges
phoebee_ip,loncat jauh tawa
phoebee_ip,ken buwanget sumpah anda
phoebee_ip,aduh abot berat
phoebee_ip,mau
phoebee_ip,sial
phoebee_ip,periksa seperti
phoebee_ip,iya saya selalu ketinggalan
phoebee_ip,instal nich
phoebee_ip,pernah coba
phoebee_ip,sumpah enak sebuah
phoebee_ip,salah fokus sama yang nyender dinding
phoebee_ip,lebih nyut nyut sakit gigi
phoebee_ip,sekali lebaran tidak ketemu pindah whatsapp saat tawa
phoebee_ip,tawa teringat saat kalau lihat berita berita sby bagaimana sana dulu begitu saya jadi sedih sekali sungguh
phoebee_ip,tinggal aman saat
phoebee_ip,lah lak tangis
phoebee_ip,ayo ajok jam la
phoebee_ip,tidak
phoebee_ip,mesti tidak tahu dijak
phoebee_ip,sama tembak tembak
phoebee_ip,dsri minggu lalu mau kerja tugas cuma niat saja dikerjain tidak
phoebee_ip,lebaran rumah saja tetap paling
phoebee_ip,tadi sore tiba tiba muncul pelangi mungkin memang bumi butuh istirahat kembali keindahanya
phoebee_ip,pusing saya itu
phoebee_ip,sempat tefirkir di rare saat yang crusial akan notif yang tunggu itu s tidak jadi bodoh
phoebee_ip,jamber ges kabarin sajo
phoebee_ip,tol
phoebee_ip,semangat hunsky ada mamsky
phoebee_ip,alas kenapa musim sangat bosan sumpah jam cuman habis episode padahal hari musim saking membosankanya sampai tinggal tinggal
phoebee_ip,tol
phoebee_ip,dis
phoebee_ip,harap tidak lebaran ramai seperti tahun tahun
phoebee_ip,baik tanya malah bengong ngawe seng endi
phoebee_ip,mosok mimpi lek saudara wees nang mjk jadi ganggu
phoebee_ip,anda arti lebih sekali sengojo ayo
phoebee_ip,saya harap tak batas
phoebee_ip,leala ayo pergi tok dorong renj
phoebee_ip,pharsa sakit
phoebee_ip,pergi
phoebee_ip,kalau pj gin mesti pikir bagaimana modnya kalau kasih nilai kan jadi degdegan
phoebee_ip,saya mesti nyempil
phoebee_ip,apa ini mikro pakai log log sudah mati lupa semwa
phoebee_ip,tidak bosan yak
phoebee_ip,dia podo sumpah tawa sayap tapiaku
phoebee_ip,pj akun drive saya gila tidak pj saja sudah pusing
phoebee_ip,bapak udang lyf lah
phoebee_ip,gokan sekarang tugas akhir
phoebee_ip,duah
phoebee_ip,buat ngantuk
phoebee_ip,kulon drive saya gila
phoebee_ip,sial makin pro tawa
phoebee_ip,momogi enak buat nagih mau mau
phoebee_ip,apa saya bopung
phoebee_ip,siap lalak
phoebee_ip,ouh
phoebee_ip,kacamata yay nay
phoebee_ip,gendong dong hun
phoebee_ip,sial
phoebee_ip,pergi
phoebee_ip,duin
phoebee_ip,mojokerto jawa timur
phoebee_ip,semoga waktu tutup bawa banyak dari gembira
phoebee_ip,tidak tahu ini bagaimana sudah habis cara
phoebee_ip,mosok ingin tahu yak
phoebee_ip,mozarela kantin dabes sekali
phoebee_ip,sumpah ini tps saja sial
phoebee_ip,ceritane bagaimana
phoebee_ip,kalau kuliah pagi rumah itu bawa mager sekali mandi saja tidak sempat
phoebee_ip,cari vieneta yang kotak biru saja susah ini
phoebee_ip,atut
phoebee_ip,baik neraka sekali sial
phoebee_ip,saya sudah sayang
phoebee_ip,keras kepala masing masing apa
phoebee_ip,tuhan apa neh sangu takde hasrat checkout tingkat
phoebee_ip,contoh
phoebee_ip,apaje yang diskon
phoebee_ip,saya begitu sudah hampir tahun tawa kadang parah sekali terus bersih terus kambuh v
phoebee_ip,semangat saf memang kalau tres langsung gradakan sekali mumpung di indonesia di rumah saja semangat skinkeran
phoebee_ip,ayo semangat
phoebee_ip,rasa makin lama lihat jadi makin tambah egois possessive padahal kalau seperti gin malah makin jauh buka makin dekat
phoebee_ip,terimakasih info
phoebee_ip,jadi ini inti cuma buat kereta saja yang selain tetap
phoebee_ip,tul
phoebee_ip,kalau sudah seperti gin paling tidak bisa ngatur suasana hati ngatur emosi ambyar
phoebee_ip,lihat begini jadi makin banyak mau astaga naga
phoebee_ip,jembek sumpah jembek saya rasa asdfghjklxlxbheieoamal
phoebee_ip,kasep
phoebee_ip,tuhan benci udan malah jaring hilang
phoebee_ip,banyak mau sial ksel sekali sudah
phoebee_ip,boleh bohong tawa
phoebee_ip,hun pis
phoebee_ip,rindu
phoebee_ip,kenapa jadi banyak mau hanya si
phoebee_ip,sekarang tidak ingin bisa t ambil anda jauh dari saya couse anda jadi anda selalu jadi itu satu untuk saya
phoebee_ip,hari super sekali atas dan turun suasana hati benar benar ayun mana mana tapi di itu akhir dari itu hari bawa atas sekali jadi lumayan lah penutupanya sangat lucu
phoebee_ip,iya lek disebul lek bapake ngawe kumpo
phoebee_ip,terus renang terus renang
phoebee_ip,saya tidak jadi balik jakarta saat ekwkwk panjang libur
phoebee_ip,imut sekali iya ampun
