username,tweet
pocagurii,tidak paksa kita malah ketemu celaka bukan cinta
pocagurii,niqmat sekali malam hari cemil nasi uduk
pocagurii,saya koh lupa nyomot punya siapa
pocagurii,pergi kendara sama ambil kendara kapan normal lagi sudah
pocagurii,hidup saya sangat gantung sekali sama ojek online
pocagurii,panas sekali mau naik sepeda
pocagurii,jatinangor lah hai
pocagurii,anjirt kenapa rem
pocagurii,susah kejar uang ap kejar cinta
pocagurii,sipu malu pearls pernah punya ini saya kayak gin tapi bronzer
pocagurii,eh daging babi daging babi daging babi begitu
pocagurii,kayak utama saya tidak pandai ikuti
pocagurii,peach sama strawberry enak campur yakult
pocagurii,saya tonton nya jauh jauh agar tidak syok
pocagurii,nenek saudara wanita angkring uang kenapa ayo bablas podo saja mangan saudara wanita kafe ayo
pocagurii,mosok lilakno minyak saya
pocagurii,jadi asal muasal siwon panggil saudara laki agung saya kira punya admin nama si agung aduh
pocagurii,ayo
pocagurii,agar tidak poin hancur yang sudah sama orang malu
pocagurii,saya mau
pocagurii,ini memang enak saudara laki wil
pocagurii,payah begitu saja langsung r tawa padahal saya sendiri juga payah
pocagurii,tidak saya pasin
pocagurii,kalau memang sembuh tidak cari lari sembuh jadi luka tambah parah mungkin orang yang luka sama anda
pocagurii,suka sekali ngelus ngelus kulit yang sudah waxing tawa
pocagurii,habis anak anjing nya malu malu buat keluar tawa
pocagurii,bicara sampai busa tahu tidak didengerin
pocagurii,kan memang iya
pocagurii,sabar bukan ajar saya untuk ikhlas lepas
pocagurii,hai teman kampus ehe
pocagurii,cahaya sekali saudara laki
pocagurii,tawa anjerlah
pocagurii,jadi kayak buang buang waktu tidak  tunggu tapi anda keduluan sama yang
pocagurii,dermatix
pocagurii,butuh berapa lama tawar buat kata kata begini
pocagurii,nyata banyak yang ken bilang nakal
pocagurii,maaf sekali tapi deptalk sama anda kenapa saya makin takut
pocagurii,dia
pocagurii,cerewet
pocagurii,saya
pocagurii,tobat anda bodoh
pocagurii,senyum indah bagai ciu
pocagurii,timur suri bjir
pocagurii,ganti jadi alkohol bojo anyar saudara wanita status
pocagurii,nangkepnya pakai apa saudara
pocagurii,saya suruh pergi saya yang cari
pocagurii,anjg sekali ngelike begini
pocagurii,saya tapi baru semester
pocagurii,gakya belum usia sudah punya rumah tidak usah kayak gin tidak apa apa sih
pocagurii,tadi saya mau nebeng astronot turun bulan eh tidak bilang bilang
pocagurii,pakai betadin sebuah terus tempel sama koyo
pocagurii,rawat kulit pengirim perlu teliti lama buat nyocokinya
pocagurii,dilapisin pakai kertas kado bisa pengirim terus atas kasih plastik tebel
pocagurii,payah ikut saya pakai akun segera
pocagurii,tai kayak semua malu
pocagurii,tidak semua suka jadi milik kita
pocagurii,yaela balik lagi si kntlo
pocagurii,saya
pocagurii,gembok twitter ah agar leluasa ngetitnya
pocagurii,kos orang damar rumah sendiri sudah tidak karuan bentuk hebat
pocagurii,keren kan saya tahu kasih tahu tunjuk sedikit
pocagurii,pantas saja bilang utama yang jauh agar dapat jodoh yang jauh nyata gebetan baru anak saudara laki teman teman
pocagurii,istirahat dulu
pocagurii,sudah iya
pocagurii,donee admin
pocagurii,gemas sekali sih orang orang pada dikirimin cemil tawa
pocagurii,apa alas tawa
pocagurii,mau whatsapp
pocagurii,selesai patah hati baru deh tawa diri sendiri
pocagurii,kalau saya cuma dongeng pengirim
pocagurii,dikit dikit bilang ngeri tidak suka sama tingkah itu orang bilang ngeri baru dengar iya bos
pocagurii,pelan pelan
pocagurii,arti hasil foto saya jelek dong
pocagurii,greget ken serit itu rambut sial
pocagurii,lebaran hanya goler kasur
pocagurii,tawa
pocagurii,besok kan sudah lebaran maafin saya belum balas peras anda jadi saya sebagai hancur
pocagurii,gasopan jari ratatouille
pocagurii,rayu orang orang rumah dengan ayam woku buat
pocagurii,ish sial topik bahas saya sama hancur e tapi sekarang jadi hancur orang
pocagurii,saya sudah tidak punya otak tapi tapi pusing bagaimana dong
pocagurii,masa jadi ikut ikut sok kritis status whatsap wks
pocagurii,bukan utama
pocagurii,riuh riuh sekali anda
pocagurii,hai teman teman akhir saya sahur pakai mie tawa
pocagurii,hua yang saya pelajarinsampe gila tawa
pocagurii,imasta imarta himpun masuk kayak bem
pocagurii,bem sama saja himpun tawa
pocagurii,nah itu tahu
pocagurii,cepat sembuh ibu wili
pocagurii,hancur saya seperti kontol
pocagurii,pada akhir saya jadi badut buat diri saya sendiri
pocagurii,ayo mundor
pocagurii,saya lupa apa itu mimpi sudah tentang saya hanya ingat lihat milik anda hadap saya jalan benar tidak budak cinta
pocagurii,tindas jari kaki sepeda
pocagurii,iya
pocagurii,sakit perut
pocagurii,tumben balesnya gc rindu anda iya sama saya
pocagurii,benar sekali
pocagurii,enak sekali komporin orang xixixi
pocagurii,pacar nisa dong
pocagurii,ini lho
pocagurii,kan cocok yan isilop sama bidan
pocagurii,kenapa banyak video isilop sih
pocagurii,terus akhir saya apus kontak whatsap malu
pocagurii,sial ketinggalan sahur knpsi tidak yang mau bangunin saya sahur sial skali
pocagurii,ken hujat tawa
pocagurii,kan sekarang corona bot
pocagurii,ken nasi goreng tanjung duren
pocagurii,mager sekali ngelanjutin ujan seperti begini sih mau buka jasa joki tugas bhak
pocagurii,pesimis sekali si anda tawa
pocagurii,kenapa tadi diapus tawa
pocagurii,foto apa foto syur
pocagurii,bapak kao
pocagurii,ratus
pocagurii,supermon hari fujifilm kali saya zoom di zoom
pocagurii,saya ada malu
pocagurii,cerita yang mau jadi fuckboi mai tidak rapih
pocagurii,saya tahu memang saya jauh sekali sama pevita tidak inimah tawa nusuk juga omong anda walaupun lagi canda
pocagurii,sakit dikatain bantet
pocagurii,sial anda saya tanya saja gadibales
pocagurii,kalau nama kartu kartu pascakerja bos
pocagurii,orang sudah kerja masa pakai kartu prakerja
pocagurii,selamat datang
pocagurii,hareudang
pocagurii,saya benar benar syok kalau berita benar sama sekali sedih ken sekali tonton konser sekarang cuma jadi angan angan selamat jalan itu godfather dari rusak jantung terima kasih cipta lagu ambyar dulu salah satu nyanyi yang bapak saya suka
pocagurii,milik anda mata
pocagurii,tidak boleh pikir lebih tidak boleh pikir lebih tolong
pocagurii,habis ujan baik langanan viu atau netflix
pocagurii,wakakak
pocagurii,sekolah tahun kenal cinta jadi bodoh
pocagurii,tadi mau pikir lebih eh lewat beranda sudah ganti sama syukur saja terimakasih sekali tadi mau keluh yang tidak jelas
pocagurii,gilir obrol begini saya jadi over pikir sama anda hancur
pocagurii,siapa nyanyi kuat nandang kahan
pocagurii,tawa harama anjinc
pocagurii,nyimak cemil popcorn pakai nasi
pocagurii,kurang seblak
pocagurii,masak apa hari ini
pocagurii,gemas juga
pocagurii,ujung ujung cuma tetap tidak paham
pocagurii,anda kurang syar istri sekarang sih yan
pocagurii,yah mulai sudah insyinyur
pocagurii,parah benar kualitas musik anda alis tawa anjic
pocagurii,saya tahun lalu
pocagurii,humoris sekali suruh saya buat mendengarkan omong tapi tidak mendengarkan omong saya lawak anda
pocagurii,churos dengan arif lokal
pocagurii,cuba saya minta testimoni anda pasti anda sring cemil pakai mie kan
pocagurii,usia tidak punya teman
pocagurii,huahahaha croco croco ardiles
pocagurii,neraka anda
pocagurii,mg dia daripada lain
pocagurii,bilang tahun lama juga pamit
pocagurii,haduh mapin kalau saya lagi beringas sekali sama jantan akhir akhir ucapanya daritadi tidak sama pria hanya anjic wakakak
pocagurii,hai pler
pocagurii,saya belok iya o awokawokawok
pocagurii,hilih kintil
pocagurii,justru itu saya tidak punya kaca
pocagurii,terimakasih sudah ingetin
pocagurii,digiding diging unyu dingiding giding hantu sini hantu
pocagurii,saya butuh badut
pocagurii,junet junet kenapa anda punya suami
pocagurii,ken kabur rasa kalau dapat wejang tg menikah dalam hati bilang mak anak anda tahun awokawok
pocagurii,mau nikung tiga malam eh tahu tahu tikung lewat jalur santet awokawokawok
pocagurii,beli airpods tawa
pocagurii,tawa jantung tahan air iya sial
pocagurii,mustahil anda
pocagurii,malam waktu pikir lebih
pocagurii,tumpah satu per
pocagurii,tidak mungkin corona soal
pocagurii,bayangin pacar ngajakin anda bukber
pocagurii,hai puasa
pocagurii,obrol saya ada lucu lucu nya bahas cuma hantu otak kepala yang saklek fiuh
pocagurii,nah saya begitu
pocagurii,memang sudah buka sodaran
pocagurii,cerewet anda pao
pocagurii,tidak jadi ah uang saya kurang ceng pergi
pocagurii,bentar lagi saya mau bka usaha liatin gez
pocagurii,wil mnding anda ikut sama ceri belle
pocagurii,ow ow jadi anda buka twitter cuma buat lihat akun ubah buka bo
pocagurii,apa sial saya lupa awokawokawok
pocagurii,corona cepat hilang seperti anda bodoh
pocagurii,pakai tri isi kuota banyak tawa
pocagurii,seperti omong kosong anda sial
pocagurii,bagaimana cara agar ambisius karir tidak ngelirik masalah cinte
pocagurii,pao anda loncat si grup angkat
pocagurii,bodoh tawa
pocagurii,ih anda neraka pis ngmongnya positip saja kan dulu belum akrab makanya dipangil tahun
pocagurii,pakai h
pocagurii,saya lagak akrab saja utama haha malu sama teman kelas saya tidak kenal teman kelas ukm tawa karena saya tidak ikut ospek
pocagurii,rindu dipangil saudara wanita atau saudara wanita sama akang hancur
pocagurii,anda sombong tidak maw lihat status whatsapp saya
pocagurii,kenapa tri tidak bisa buka video twitter sih buffering hanya setan
pocagurii,badut badut badut
pocagurii,hidup dari pi
