username,tweet
prastikavivi,apa sini saya peluk
prastikavivi,tawa iya baik memang tetap baik sama orang yang jelas salah
prastikavivi,kasih tahu nan
prastikavivi,marahin iya bandel suntik saja agar tahu rasa
prastikavivi,kalau sudah gin bilang tidak sengaja
prastikavivi,orang kenapa sih kenapa neraka sekali
prastikavivi,butuh berapa vitamins tolong
prastikavivi,padahal virus hilang orang sudah biasa saja adan sudah normal saya yang parno tetap apa bagaimana
prastikavivi,apa tidak jelas sekali
prastikavivi,coba siku papan sama lutut untuk siku papan tiga menit pusing sekali sumpah
prastikavivi,si gina saudara wanita sekali sudah tawa
prastikavivi,dulu gerak kesana kemari bebas sekarang gerak dikit kesandung kalau tidak jedot dinding tawa
prastikavivi,gerak dikit cidera memang paling benar rebah saja
prastikavivi,semangat
prastikavivi,iya tuhan dia s jadi imut
prastikavivi,jam pulang lama sekali
prastikavivi,ikut ikut mawik lumayan baru pertama coba sudah peringkat
prastikavivi,syukur
prastikavivi,kantuk
prastikavivi,marahin bang wil
prastikavivi,makin kesini itu lebih hati hati bukan batas diri pilih pilih
prastikavivi,makin kesini dibanyakin bantal bicara bareng saudara wanita
prastikavivi,kena t amazed oleh itu basics catat
prastikavivi,baik untung saudara wanita semoga rezeki
prastikavivi,tahun hidup akhir saya juga buat
prastikavivi,chef arnold menang lihat
prastikavivi,iya benar sekali saya
prastikavivi,ini buat saya malas sama pacar misal mau pergi tidak bilang terus sembunyi balik kata bohong saja rumit ditanyain yang aneh aneh
prastikavivi,hari inti movies marathon sponsor oleh transtv
prastikavivi,ibu rindu iya
prastikavivi,pikiranya ibu ot sekali tawa
prastikavivi,tengah obrol keluarga ibu tibatiba nyeletuk kadang saya tiap malam pikir corona bagaimana rasa kenyal apa bagaimana begitu oke baik sekarang saya tahu mana datang aneh pikir
prastikavivi,iya mal aidzin wal faidzin
prastikavivi,mal aidzin wal faidzin semua
prastikavivi,tanjung tiap hari ribut hanya debat hanya diam baik tenang begitu tidak bisa sudah ah mau pingsan saja
prastikavivi,rumah juga sepi bapak tidak ada mudik
prastikavivi,enak apa
prastikavivi,kalau tidak dapat sudah tidak apa apa relain
prastikavivi,ini mulut sih kalau suasana serius malah diam baik kalau suruh bicara tidak penting saja nomor satu
prastikavivi,ampun dua jadi satu frame tidak kuat
prastikavivi,peras kemarin nyebrang mau tabrak hanya sudah
prastikavivi,haha humoris
prastikavivi,offline otaku kadang dijelasin cara langsung saja mikirnya luama pol bagaimana mau kelas online tidak tatap muka cara langsung
prastikavivi,humoris sekali astaga
prastikavivi,dibercandain anak sampai dong terus detected
prastikavivi,syukur
prastikavivi,puasa keluh terus pahala kurang tidak sih
prastikavivi,lahir malang besar malang ayah orang malang ibu orang malang sering tanya anda tidak bisa bahasa jawa tugas akhir kenapa pakai bahasa indonesia terus
prastikavivi,pustakawan mungkin tugas mereka tahu cuma begitu saja benar kerja lebih kompleks itu
prastikavivi,tidak tahu sudah bawan lahir bagaimana dong
prastikavivi,pernah sekali ngobrol suatu begitu imajinasi sombong seru sekali sampai ada seperti benar jadi begitu eh lama bawa rasa
prastikavivi,mobil nyanyi dong
prastikavivi,anda diam saja tidak kenapa apa sudah muka berak saudara wanita
prastikavivi,dari hari ini saya ajar itu growing atas adalah tidak senang mau jadi balik sekolah saja
prastikavivi,bingung mau tawa apa sedih lihat
prastikavivi,kena t harap juga banyak dengan seseorang masih pendekatan kalau misal ghosting itu s itu arti bukan buat dari saya si ayam
prastikavivi,saya hidup adalah awesome dengan positif dan negatif sesuatu in itu saya allow myself untuk jadi senang tidak masalah apa semua akan dapat lebih baik sooner atau later
prastikavivi,jadi sedih apa dia does untuk milik anda fanart saya harap ini adalah itu akhir kasus bagaimana milik anda fanart adalah awesome bruh
prastikavivi,tawa
prastikavivi,laku semua orang itu anda penuh dengan milik anda jenis jantung karena saya sebagai humans tidak pernah tahu ketika dia leaves kita
prastikavivi,gina mulai ajar gombal siapa sih
prastikavivi,benar sekali
prastikavivi,saya kadang saya suka gin
prastikavivi,saya aquarius saya tidak cuek kenapa misal yang curhat
prastikavivi,ah kampret
