username,tweet
r_fiika,kenal oke pop saya tidak paham apa jadi tw twitter sekarang sudah langsung ooh tiap lihat apa lagi tren
r_fiika,ampun receh taruh saya lihat saja tawa
r_fiika,aktivitas minggu saya hadir online menikah senior
r_fiika,masa titik sariawan acau hari anda
r_fiika,iya ampun keren taruh jadi orang tidak paham
r_fiika,kadang suka heran sama fansite kalau edit foto sekali asli lebih bagus padahal
r_fiika,tidak saat bang saudara o kalua terimakasih
r_fiika,tonton mana link
r_fiika,bisa ukur diri siapa orangtua akan mampu nguliahin sana tidak guru sama
r_fiika,tawa
r_fiika,apa suatu hari bisa sana tuhan tawa
r_fiika,kemarin mata kaca kaca lihat indah afrika pemuda over flowers afrika
r_fiika,jongdae keren taruh tawa
r_fiika,saya rasa normal baca tweet orang orang habis tonton drama korea selesai satu drama poin proyek aktor lain rasa
r_fiika,wah saya akhir awal jungpal tidak apa apa kalau sama taek tawa
r_fiika,favorit lama pandemi anak anak saudara laki lantai lantai lantai lantai saudara laki begitu begitu begitu begitu anak anak mamaipapai
r_fiika,baru tonton sayang cinta nya bcl saya saya simpan itu tradisi untuk buat itu easier untuk noah untuk perlahan ambil untuk itu baru normal
r_fiika,selasa saya sabar tunggu buka satu aju selesai satu episode rsud daftar putar
r_fiika,bisa hubung tawa
r_fiika,ken tahu brontak pasa baru
r_fiika,juga saya iya  kan tadi sore minum kopi
r_fiika,saya benci tidak bisa tidur
r_fiika,koma kotak
r_fiika,tuhan butuh simsalabim jadi kun faya kun alohomora
r_fiika,tahun lalu wamil saudara o bapernya karena awam tahun yang wamil suho bapernya karena jongdae
r_fiika,jongdae sebuah
r_fiika,user ohsehun tolong buat milik anda kerja
r_fiika,ih ada loh
r_fiika,malu ding
r_fiika,suho kelinci tidak keluar
r_fiika,buka puasa
r_fiika,tawa
r_fiika,kalau tidak buka puasa lebih fokus isu isu kini kalau kasih judul kira kira judul dunia hari
r_fiika,obrol rutin saat sahur balas puluh tahun silam ayah tell kita tentang jaman pri naik gunung marapi transaksi mudah tri dulu dulu dulu
r_fiika,diam
