username,tweet
rianita_sm,bahkan itu sangat kecil sesuatu in milik anda hidup
rianita_sm,tik tok tik tok tik tok
rianita_sm,ambil sebuah deep nafas
rianita_sm,hari minggu bangun pagi saya gowes luar biasa jarang olahraga hitung tekan bantu karena seminggu pala sudah mau ledak
rianita_sm,iya sudah cukup semua lelah benar mimpi yang jadi nyata tuhan sudah memberi tunjuk malam nyata
rianita_sm,benar seperti twotm mereka semua tahu cuma saya doang yang tidak tahu
rianita_sm,sampai mati rasa iya
rianita_sm,amin pun saya
rianita_sm,sabar
rianita_sm,mudah memang semoga tuhan mudah ikhlas semoga tuhan mudah bahagia
rianita_sm,kenapa bodoh sekali saya berat sekali kuat kan ini adalah oke tidak ayah nguatin diri sendiri
rianita_sm,berat memang harus
rianita_sm,sabar ikhlas
rianita_sm,saya saya saya
rianita_sm,oke masker saja emosi
rianita_sm,pusing pol
rianita_sm,ibu pusing saya itu kenapa tidak gin
rianita_sm,pantas saja pagi sudah mellow
rianita_sm,mellow sekali pagi
rianita_sm,ah koe
rianita_sm,ayo kapan tiga
rianita_sm,hujan bulan juni tidak yang lebih tabah hujan bulan juni dirahasiakanya rintik rindu pohon bunga sapardi djoko damono
rianita_sm,tawa sering tonton drama korea ya tidak gin
rianita_sm,nyusulin desta aah
rianita_sm,tawa ayo lah saya wis jenuh pol
rianita_sm,paham baik admin
rianita_sm,nostalgia sayang rindu soale
rianita_sm,tahun lalu
rianita_sm,deras nya hujan akan tetap reda
rianita_sm,jadi kemarin minum soda hari rasa akibat perut tidak enak perih tapi tolerir si oke memang dasar sudah tidak bisa minum soda kopi
rianita_sm,sudah seminggu selalu bangun jam gin sampai pikir mana
rianita_sm,nanem monstera dar bayik pinjam mantra ajaib sekala tumbuh yang
rianita_sm,tidak bisa tidur
rianita_sm,every nite
rianita_sm,malu
rianita_sm,sebentar saja
rianita_sm,tarik nafas panjang
rianita_sm,sebentar sekali ampun
rianita_sm,mendung ngantuk pol
rianita_sm,tidak iso turu
rianita_sm,yagitu
rianita_sm,hadir sangat harga saya engkau tahu saya sayang anda adaptasi tulus
rianita_sm,yay harap anda seperti itu mey
rianita_sm,tawa prasmanan whiskas
rianita_sm,rnd
rianita_sm,barangkali nama sampai nama tahun depan sanding siapa knows
rianita_sm,amin paling kencang seks doa yang sama buat maaf lahir batin
rianita_sm,karena bom keluarga jadi tulis nama sendiri kali saja tahun depan sudah ubah nama suami sampai saya
rianita_sm,iya anda saya rindu
rianita_sm,tawa boleh sini kirim mau nyicipin masakanya desta
rianita_sm,asik sudah matang dong desta
rianita_sm,kalau saya anda
rianita_sm,ambyar sudah
rianita_sm,wah mimpi
rianita_sm,saya tangungkan siapa selain langit hujan
rianita_sm,tawa iya dikit
rianita_sm,sangkal pelan ubah jadi terima
rianita_sm,tertawa tertawa larang seperti jaman sekarang apa pidana canda saja masuk bui semua serba sensitif sekarang
rianita_sm,terimakasih anda owi
rianita_sm,doa yang sudah jadi mantan
rianita_sm,untuk semua itu sesuatu saya didn t buat dan semua itu cinta itu saya surga t dapat untuk anda saya saya sory saya harap saya bisa belok kembali itu waktu dan agar anda tahu saya tidak pernah meant untuk sakit anda saya saya sory
rianita_sm,lanjot maaf pamungkas
rianita_sm,malam mendengarkan fine hari ini ardhito pramono
rianita_sm,jebak dengan anda
rianita_sm,semua yang saya lakuin ada anda
rianita_sm,hibur sama ci mey
rianita_sm,wah tidak kuat nyata
rianita_sm,rindu di hati
rianita_sm,manusia kuat
rianita_sm,coba
rianita_sm,sudah susah rangkai kata tapi tidak baca sedih
rianita_sm,madang whatsapp
rianita_sm,baca tidak
rianita_sm,pamit
rianita_sm,sabr
