username,tweet
riskaadesuryani,iya pakai sicepat betul cepat
riskaadesuryani,kerja iya tonton iya cemil iya
riskaadesuryani,taurus keras kepala juara
riskaadesuryani,sabar tunggu monlovers jilid
riskaadesuryani,bopeng wajah samar soal pindah dompet
riskaadesuryani,sayang sekali tidak malang
riskaadesuryani,fitnah tidak kreatif
riskaadesuryani,bibit unggul semua
riskaadesuryani,sering beli kalau malang surabaya tidak pernah temu
riskaadesuryani,saya jadi ngefans sama uju
riskaadesuryani,keras kepala sampai jadi batu masa jadi anda anda begini
riskaadesuryani,pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir pikir
riskaadesuryani,mata segar bugar
riskaadesuryani,saldo ovonya saudara
riskaadesuryani,susah tidur terus
riskaadesuryani,sering
riskaadesuryani,mie mie tiap hari mie
riskaadesuryani,kreatif sekali alas mau putus
riskaadesuryani,mau
riskaadesuryani,dulu guncang sama los malah runtuh
riskaadesuryani,lucu cinta
riskaadesuryani,mie rebus utama ayam bawang tambah sawi telur cabai
riskaadesuryani,sudah
riskaadesuryani,ada masalah yang pikir kemarin jadi timbul masalah baru
riskaadesuryani,malah jadi tinggi pikir
riskaadesuryani,cvd buka cardiovascular sakit
riskaadesuryani,langsung ngerusak rencana sudah susun tahun lalu virus benar benar
riskaadesuryani,buat tidak tidur nyenyak
riskaadesuryani,tidak kuat melek
riskaadesuryani,titip kode buzbreak biasa
riskaadesuryani,titip biasa
riskaadesuryani,habis gila terbit ngantuk
riskaadesuryani,vagabond sudah hilal yang tidak lihat sama sekali bulan cinta
riskaadesuryani,nyontekmu kurang alus dek
riskaadesuryani,saja
riskaadesuryani,ke roh keluar sisa jasad
riskaadesuryani,tidak pernah tidak tampan
riskaadesuryani,memang pria satu
riskaadesuryani,mirip lele
riskaadesuryani,rebah saja terus
riskaadesuryani,dea mirela
riskaadesuryani,kenapa saudara wanita santa
riskaadesuryani,corona serang aduh rindu
riskaadesuryani,juga
riskaadesuryani,baca baca ini satu
riskaadesuryani,nah jadi alas logis
