username,tweet
rkismaniar,saya tuhan anda mau minta apa jodoh tidak kasih sekarang
rkismaniar,lahyo orang iku
rkismaniar,ayo sambat kabeh ayo saya tidak bolo tuhan saja
rkismaniar,akhir sadar
rkismaniar,lepas tangungjawab
rkismaniar,beli tanah buat kontra pintu beri beri beri
rkismaniar,tawa kalau masuk minta siapa bini pikir tanda tanya
rkismaniar,asal butuh laen penuh
rkismaniar,saudara wanita
rkismaniar,nyata anak bayi benar sudah gadis sudah besar bulan pisah sama saya rindu diribetin diajakin antem ngomelin pasti akan rindu saya karena kalau saya tidak ada dia pasti cari dengan alas tidak ada yang ajak antem
rkismaniar,peluk pokok lebih tindak bukan kata tidak bapak
rkismaniar,saya dulu kalau mana tidak lepas masker tangan sanitizer tisu basah dulu sampai sering bilang lebay sama banyak orang sekarang
rkismaniar,itu
rkismaniar,sedang rasa selalu rasa
rkismaniar,rindu rindu rindu
rkismaniar,rindu
rkismaniar,saudara wanita han jadi dia cantik sekali iya tuhan
rkismaniar,eh eh
rkismaniar,tidak lama gadis selalu benar pria selalu salah kadang pria laku salah karena andil si gadis begitu balik yang tepat introspeksi minta maaf memafkan
rkismaniar,pergi
rkismaniar,nyimak kali saja yang ikut jawab ehem
rkismaniar,mabuk mie
rkismaniar,lagu kebangsan jaman baheula kalau gilaga lupa teriak teriak kalau nyanyin sampai tidur
rkismaniar,doyan keju tidak doyan kastengel
rkismaniar,skinkerku memang debu jalan
rkismaniar,selamat jalan ramadhan h bawa dosa pergi sama lihat anda lanjut tahun
rkismaniar,amin sehat sehat
rkismaniar,lama tidak jumpa kali mimpi bias huhuw
rkismaniar,menangisinalilahiwainailaihiroji ujian nasional
rkismaniar,virtual peluk darat
rkismaniar,hai fans pakabar
rkismaniar,itu nyata hubungan jarak jauh tiap hari kerja telepon videokolan ros saya kalah
rkismaniar,produktif syekali
rkismaniar,yang penting sih sah dulu kalau malah tidak usah resepsi resepsi riweh buang duid duidnya buat perlu saja
rkismaniar,kalah pro kenapa
rkismaniar,sabar sabar sabar
rkismaniar,bom dangak bom keren
rkismaniar,kalau punya masalah besar kapal lihat laut luas
rkismaniar,periksa pesan langsung tolong
rkismaniar,tidak cuma ibu suatu saat laki laki juga titip saya sana sehat selalu yah
rkismaniar,tiap hari kerja pikir besok masak apa besok buat apa besok cemil jajan
rkismaniar,tidak hubung adalah sempurna tapi ini adalah enough
rkismaniar,manja sama minta duid
rkismaniar,benci sekali lihat
rkismaniar,amin
rkismaniar,corona corona corona cepetlah pulang tempat mao cari duid neh agar rumah cepat jadi amin yalahdanke
rkismaniar,bang
rkismaniar,tuhan akhir suruh pulang orang orang baik
rkismaniar,banyak istighfar tonton iya tuhan ken jedotin pala lakiknya dinding
rkismaniar,pola tidur mulai beranta mulai malas cemil bosan gel bosan mulai uring uring mulai bokek hai corona betah dunia
rkismaniar,ngitungin semut lewat
rkismaniar,maret yang penuh duka semoga penuh suka april
rkismaniar,moh ah tidak seperti sama anda tawa
rkismaniar,heleh saudara laki saudara laki melow
rkismaniar,mau
rkismaniar,mirip anda sekali bep
rkismaniar,hasil ngubek kulkas enakeun
rkismaniar,bulgari ekstrim incanto sinar peluk bakarat
rkismaniar,sama dong
rkismaniar,ayah putri
rkismaniar,keluar
rkismaniar,ayo malam minggu
rkismaniar,idungnya
rkismaniar,ah saya ibu mudah
rkismaniar,st urusin itu wisuda
rkismaniar,redi stok banyak tenang yak
rkismaniar,manusia banyak mau wajar cuma harus sadar saja kalau dunia bukan putar anda doang
rkismaniar,leleh kasep pis
rkismaniar,rausah timbang garai gasido lemu
rkismaniar,melemu arek e
rkismaniar,pikir mesti
rkismaniar,kata ian tidak mau ngucapinya telat ngambek
rkismaniar,okaydeh baik
rkismaniar,obrol manek itu balas
rkismaniar,tidak pulang abangs
rkismaniar,haha baik baik
rkismaniar,barakalah saudara laki
rkismaniar,heleh lagi lagi malas
rkismaniar,kinclong sekali gakuat skincarenya apa
rkismaniar,cinta lagi daripada wakwakwk
rkismaniar,omagah omagah tawa
rkismaniar,saya tahu saya sebuah kacau tapi saya janji saya ll jadi lebih baik akan anda tinggal oleh saya sisi bisa saya hanya jadi seperti ini selamanya
rkismaniar,hore rezeki anak coleh paman
rkismaniar,saya senjata akan jadi anda r rumah saya ask anda untuk ambil itu janji ini adalah saya cinta ambil itu ini adalah saya soul use itu ini adalah saya jantung tidak sakit itu
rkismaniar,anak bodoh cvk
rkismaniar,tawa sabar bang sabar orang sabar habis maghrib dapat jodoh
rkismaniar,baru sadar
rkismaniar,anda lelaki saudara laki suk
rkismaniar,betul lelaki
rkismaniar,sederhana rumit uring uringanya
rkismaniar,mana tahu bosan ah kesyel
rkismaniar,ah gasik
rkismaniar,tidak boleh pulang pasuruan
rkismaniar,eh fans rambut pendekuh
rkismaniar,kalau saldo itu biasa cuma lewat
rkismaniar,sudah mandi e kemarin lusa
rkismaniar,lok
rkismaniar,apa ini yang awet
rkismaniar,mberebes mil bang
rkismaniar,tinggal aman sayangkugodbles
rkismaniar,bukan mewek banjir
rkismaniar,ah abangsayangnya anda lari diri jadi tidak bisa lihat mewek
rkismaniar,ambil peduli
rkismaniar,terbaekbaek baik sana sehat saudara laki
rkismaniar,uppercut merk pomade kanga yang pukul pukul
rkismaniar,masuk
rkismaniar,temenan sama tuhan saja tidak sama imam eheu
rkismaniar,eh itu itu notif masjid
rkismaniar,tendang saya lah haha
rkismaniar,gaikut gibah nyimak
