username,tweet
salisnurk,kalau sakit hati kero bang
salisnurk,benang kusut pikir
salisnurk,saged basa jawa saudara laki
salisnurk,bebas badan dana sawit penting konglomerat tandatangani petisi lewat
salisnurk,tidak sms sama telepon saja
salisnurk,kenapa dek saya sudah tidak pakai whatsapp hampir tengah tahun
salisnurk,bosan bosan lagu
salisnurk,sudah waktu passes sudah sedih passes scars akan hilang
salisnurk,buka lokasi celaka palu punya thor
salisnurk,drama laku per utama gadis ajaib sekali
salisnurk,setrika juta umat
salisnurk,kreatif malas pepet beda tipis
salisnurk,semoga jual laku
salisnurk,buat atas jam dipoto cuma belakang doang
salisnurk,pakai yang buat sendiri sesuatu sekali
salisnurk,tas serut rajut proyek favorit masuk mudah buat cepat lama cuma tunggu kirim benang iya baju rajut sendiri yang minat pesan
salisnurk,hai teman teman saya buat tas serut rajut penuh handmade kalau minat sekali pesan saya via pesan langsung warna dicustom warna satu warna tali tas adjustable atur panjang pendek jadi sederhana pakai gaul nongki nongki
salisnurk,kemarin bahkan yang jual cabai lalap kilo saya mikirnya aduh kalau seperti itu kenapa tidak kurub sama proses tanam
salisnurk,cabai seperti itu harga tani berapa
salisnurk,serah si kucing saja deh mau bagaimana padahal pangku kayak sama angetnya
salisnurk,saya tidak tahu
salisnurk,cincin saturnus pakai buat lamar tidak
salisnurk,bittersweet oleh najla apa sih tanya benar oh titip yak
salisnurk,retweet seperti sama balas seperti itu banyak bunyi notifnya bagaimana sudah omong omong terima kasih utas
salisnurk,terus diliatin sapa saja yang jadi viewers
salisnurk,motivasi orang orang buat akun tapi gembok itu apa sih kan saya jadi tidak bisa ikuti
salisnurk,jujur saja saya malah tidak tahu nada
salisnurk,hai kenapa sudah foto bayi saja sih ayo
salisnurk,konyol pagi bangun bangun ingat tadi mimpin justin bieber konser hutan pohon jati saya tidak ngefans loh padahal
salisnurk,video pakai efek lambat gera apa memang si paus renang selow selow begitu sih gemas
salisnurk,mesti ayam e tidak kasih cemil
salisnurk,bapak ken tidak tampar boleh sini sini tidak perlu izin nyonya besar kan
salisnurk,sudah tidak tampar kali
salisnurk,tidak saya kesana sering malah tidak tugas yang jaga
salisnurk,dinakalin
salisnurk,mulut kali kali bilang tidak apa apa saya baik baik saja saya ikhlas sambil bilang segenap hati luluh lantak
salisnurk,curhat ini habis tanya kapan punya anak
salisnurk,mungkin mimpi untuk jadi lanjut
salisnurk,serius
salisnurk,terus terusin saja
salisnurk,isi gibahin saya iya sini ngaku
salisnurk,habis itu marah mau sekolah apa tonton gajah
salisnurk,yang buat telat di sekolah
salisnurk,bona gajah kecil bala panjang
salisnurk,terima kasih
salisnurk,terjemah bahasa jawa
salisnurk,makin cepat kalau uang sudah transfer
salisnurk,hai kecil burung
salisnurk,akhir turut mie ayam polsek
salisnurk,proses buat topi rata rata perlu hari gantung ukur topi makin besar makin lama harga mulai dari ribu penuh handmade
salisnurk,buat tas rajut serut saya buat topi rajut paling favorit topi anak anak pompomnya lucu sekali juga topi rajut ala anak hips
salisnurk,hakim hukum berat serang novel negara ungkap aktor intelektual balik serang tandatangani petisi lewat
salisnurk,jadi iya
salisnurk,adil negeri kotawaringin timur orang dakwa tewas tahan bebas juang agraria lik james watt tandatangani petisi lewat
salisnurk,jadi apa bapak jadi ken nonjok aduh tidak dong
salisnurk,agar jadi anda bisa t lihat makenya kayak gin
salisnurk,foto versi penuh warna tetap beranta tutup
salisnurk,eh jelas dong nenek kuwi jelas iya
salisnurk,kalau minat sen saya sekali loh
salisnurk,anda bisa lihat dong kan pola bolong bolong begitu
salisnurk,penuh handmade
salisnurk,jadi mobil tidak sabar buat foto padahal muka kucel kamar seperti kapal pecah ini versi pakai saya tapi warna edit buat nyembunyin kamar yang beranta nanti lebih niat deh foto
salisnurk,lama bulan tidak tiap hari nguwel alias rajut lebih banyak malas daripada rajin hari nguwel hari kemudian agar besok baru nguwel
