username,tweet
shelfiw,kenapa ya yang pikir seperti gin heran saya
shelfiw,kenapa gin tuhan
shelfiw,wah mantap uang alir
shelfiw,yang baru kejut
shelfiw,sudah tonton juga
shelfiw,kenapa teringat days
shelfiw,ketawa terus baca lanjut baca balas nya
shelfiw,bayangin apa bulan depan ajar rumah kenapa kayak banyak ganguanya
shelfiw,kemarin temu agar tahu akun jual benar tipu terus mau beli online instagram saya tidak pernah ganti nama si tapi lokasi sama tanda foto tidak kan jadi dilema
shelfiw,tahu saja deh saudara laki roti ini tawa
shelfiw,juga hasil bodoh mahasiswa kenapa tawa gara ambil pendkes sehat gigi anak begitu terus tidak tahu berapa pasta gigi yang tidak buat anak terus kasi tahu deh sama ibu els
shelfiw,apa si baca balas nya gemas sendiri
shelfiw,jadi bawa masuk begitu takut hilang sepeda sepeda mahal tidak usah mampir nongkrong kalau kayak begitu sudah sudah saja rumah pilih rute sampai rumah tidak perlu kuatir sepeda parkir tidak aman
shelfiw,yang cerita tg didik dokter indonesia tidak yang mau cerita didik awat
shelfiw,untung dulu kasih tahu ibu elsa
shelfiw,kenapa seru gin si balesinya
shelfiw,benar efektif sekali
shelfiw,kalau tidak sekali buang ibu sama saja baik tangan telanjang malah lebih enak tidak pakai handscon tidak engap tangan
shelfiw,tidak tahu sih mikirku begitu saja kalau pakai kan buat megang punya banyak orang tidak ganti padahal kan tidak tahu orang tadi bersih apa tidak terus kalau misal orang bawa jorok misal kan nempel handscon nya jadi malah nyebarin jorok kan
shelfiw,pakai handscon luar nanganin pasien masih geli saja lihat kalau pakai buat pasien kan satu handscon satu pasien pakai buat tindak lepas buang nah kalau pakai orang fungsi jadi buat ngelindungi diri sendiri
shelfiw,ribu lenyap buat beli mesin produksi bangun lama hari haduh haduh
shelfiw,saya tidak punya
shelfiw,wayahe del
shelfiw,bermanfat sekali na
shelfiw,mantap
shelfiw,tidak suka tidak suka dengar suara nya saja sudah tidak suka palagi
shelfiw,nyender lah kursi kan senderanya
shelfiw,nah tawa kalau yang biasa pergi sendiri sih malah saudara wanita
shelfiw,lagi bayangin kalau bioskop buka duduk jarak tawa
shelfiw,lah sama
shelfiw,lagi malu nya hormat tangan serasa kasar sekali
shelfiw,kalau punya jelas gin ya sensitif baru bilang gendut sekarang langsung saja jawab yaiya pekerjaan cemil tidur agar yang benci tidak pihak doang
shelfiw,hai sudah beda dulu sama sekarang sekarang sekarang saja tidak tahu depa
