username,tweet
shobronabadan,kacau kelelawar ini lambung
shobronabadan,misi teh
shobronabadan,kenapa jerapah leher panjang
shobronabadan,kalau bayarin ibu luncur gapake rem
shobronabadan,ayo pergi
shobronabadan,mampir sebuah sini
shobronabadan,sebentar eug minjem daster sudah
shobronabadan,seru seperti utama hw tapi dompet sepi
shobronabadan,gin ini kalau hari kasur malemnya segar
shobronabadan,sini sebuah
shobronabadan,bawa dulu saja sebuah lihat mobil dulu
shobronabadan,bawa pylox sendiri saja sebuah jasa cat ibu sampurna mild bungkus tawa
shobronabadan,bengkel dulu saja sebuah
shobronabadan,mau jual velg sebuah
shobronabadan,mampir sebuah bengkel
shobronabadan,syukur
shobronabadan,sini lah
shobronabadan,suku tidak teh
shobronabadan,bandar apa satu ngab
shobronabadan,cie
shobronabadan,sini goa oprek hwnya
shobronabadan,nama juga manusa
shobronabadan,bilang di jalan jam jam gin bangun kasur tawa
shobronabadan,iya rahang
shobronabadan,tahu anda rahang sana ege sby
shobronabadan,putra ajar putra
shobronabadan,yeu datang tidak mau doang tawa
shobronabadan,kunaon satu sam
shobronabadan,reng ibu putra goa ads ini mod putra psk anda tinggal sedot doang
shobronabadan,tawa pakai pico saja putra sekali
shobronabadan,kuh bagaimana ting ibu kuh
shobronabadan,lah memang iya
shobronabadan,pala mana rahang
shobronabadan,iya saudara whatsap saja langsung luncur
shobronabadan,idiw mantap
shobronabadan,aman mie tawa
shobronabadan,selebgam maksud e kali
shobronabadan,mau kapan
shobronabadan,ayo bos mana
shobronabadan,gin hanya hidup
shobronabadan,ripuh ah
shobronabadan,alig la mal tunggu tidak banyak mes
shobronabadan,ayo satu mancing
shobronabadan,di bogor sebuah
shobronabadan,jodoh lik
shobronabadan,iya nich dagang laku tidak tawa
shobronabadan,ayo pergi
shobronabadan,apa yak
shobronabadan,istirahat dulu sebentar apa si di kejar
shobronabadan,bagaimana lik
shobronabadan,o begitu
shobronabadan,tangis
shobronabadan,ono apa larang koe takon saya
shobronabadan,apa si des tawa
shobronabadan,itu des biasa duduk
shobronabadan,kan ajar anda
shobronabadan,aduh aduh berat tawa
shobronabadan,bingung mau pegang tidak tiang
shobronabadan,dapur beranta
shobronabadan,dar der dor
shobronabadan,enak sekali hujan jam gin
shobronabadan,jalanin saja des haha
shobronabadan,anda tidak jelas rahang
shobronabadan,eh sebentar orang yogyakarta kw marah loh
shobronabadan,siapa si vin
shobronabadan,arek suroboyo nya
shobronabadan,saya tahu ini orang nya sam tawa
shobronabadan,dihdih tahu saja
shobronabadan,tidak usah halal juga cemil ad sama
shobronabadan,whatsap periksa
shobronabadan,anda kacang sesat
shobronabadan,ponakan eug masuk kamar langsung marah nyuru sholat dzuhur ampun terhura saya
shobronabadan,mai tidak jelas sih
shobronabadan,apa si baik antar goa kua ayo mie
shobronabadan,jauh bisa tawa
shobronabadan,iya des
shobronabadan,kaca des
shobronabadan,sama saya juga
shobronabadan,jalanin saja si tawa
shobronabadan,apa si nyet tawa
shobronabadan,buka bo saudara
shobronabadan,nti kasi tahu tawa
shobronabadan,memang mnh doang sul tawa
shobronabadan,kalau tidak pakai takut tidak mahir ranjang mie
shobronabadan,sholehah sekali saudara laki fuad
shobronabadan,e ad pai kabare
shobronabadan,sen dong tawa
shobronabadan,dekat mes dulu yak
shobronabadan,ulang bulan febuari bisa tidak si tawa
shobronabadan,iya mie tawa ikut satu tiktok saya tawa
shobronabadan,sial tidak punya otaq tawa
shobronabadan,dasar fucekgirl
shobronabadan,tawa banyak kenapa sudah tipu
shobronabadan,lebih seru tiktok sekarang banding instagram tawa
shobronabadan,jail saya tawa
shobronabadan,sering buat status whatsap sudah siap bisa langsung mes padahal ibu tidak jual apa apa tawa
shobronabadan,jadi juara dong arti nya tawa
shobronabadan,ikut satu
shobronabadan,nyawah
shobronabadan,begitu itu dil tawa
shobronabadan,seru dil tawa
shobronabadan,boleh boleh
shobronabadan,darusalam langit lihat
shobronabadan,cofe toko goa tapi buka mal bulan febuari
shobronabadan,syukur
