username,tweet
silmiotmiot,kenapa rem
silmiotmiot,berita yang buat patah hati
silmiotmiot,cemil kangkung suap nyeri sampai sekarang tidak hilang hilang lah
silmiotmiot,syukur besok lebaran semoga besok di sabar atas tanya silmy sudah hamil malu
silmiotmiot,mual saya tidak maag terus begini
silmiotmiot,saudara wanita monmap ini sudah tahu api terus anda mainin tidak kena api nang rasa jadi yang paling sakit lah bagaimana sih astaga tid oke hujat sama wanita
silmiotmiot,jadi cerita kan sedang haid puasa lalu lupa konsumsi promag cemil bakso hasil perut kram yang dobel kram haid kram maag
silmiotmiot,kira twotmc akhir nya bak kayak sinetron indosiar tae tabrak mobil terus mati tawa
silmiotmiot,tidak debat sih satpam bca baik
silmiotmiot,saya aquarius tidak mahir matematika tidak mahir karang
silmiotmiot,niat masak dar pagi di mulai tiba tiba malas sudah saja masak kalau tidak malas tawa
silmiotmiot,iya tuhan menang lihat rindu
silmiotmiot,saya saya cemburu
silmiotmiot,tidak iri sil sama rezeki orang insya anda punyaya rezeki sendir astaga sabar sil
silmiotmiot,tiap orang punya rezeki masing masing sabar sil
silmiotmiot,alarm sudah seperti itu banyak siang
silmiotmiot,lanjut habis musim hari tawa
silmiotmiot,selamat puasa anak wida loh
silmiotmiot,sahur hampir siang
silmiotmiot,lah malah utama ayun
silmiotmiot,nanti anda dapat rasa sama neraka deh tawa
silmiotmiot,sudah tunggu akan tayang sidang tidak rindu kelelawar sama saudara laki kwon jo tawa
silmiotmiot,apa tidur usah tidur lama maraton tawa
silmiotmiot,lanjut akan pecah sekali sih nagih kejut buah testimoni tawa
silmiotmiot,sahur gin lihat berita banyak orang susah dampak corona syukur yang bisa kerja di rumah bisa tinggal rumah tidak bingung mau cemil sahur apa lah pagi pagi melow
silmiotmiot,ikrar tidak tonton karena buat kesal hati lalu tadi sengaja menontonya manusia bisa rencana tuhan yang
silmiotmiot,beberapa hari lalu tidak main video twitter sekarang tidak lihat foto padahal internet lancar youtube lancar ya
silmiotmiot,ken masak mau coba masak tapi takut gagal astaga kalah perang
silmiotmiot,takut kelelawar orang orang macam gin iya bor astaga semoga jauh orang macam gin
silmiotmiot,bang mau kasih tahu tidak ini akhir tawa
silmiotmiot,itaewon kelas begitu sih akhir nya potek sekali karena tim kali
silmiotmiot,enak nyucinya syusah
silmiotmiot,maaf khilaf marah marah astaga saya sikap emosional saya
silmiotmiot,tidur siang kelam efek jam gin segar
silmiotmiot,pagi pagi migrain baru ingat kemarin cemil nasi hari bagaimana mau diet coba tidak cemil nasi saja saya pusing
silmiotmiot,rasa badan mulai tidak enak
silmiotmiot,jadi cerita tadi jadi instruktur senam dada sekolah biasa senam enerjik lalu sekarang ada sakit kujur jari kaki
silmiotmiot,dulu sering sekali buat dosen tunggu kelas sekarang ganti buat tunggu sama murid saya tidak apa apa
silmiotmiot,semua palsu
silmiotmiot,salah adan memang jauh lebih senang ketimbang tanya apa
silmiotmiot,bahkan yang selalu bilang paling erti diri pun erti ini
silmiotmiot,kadang begitu bahkan diri sendiri sering kali nali diri
silmiotmiot,bangun tidak tidur pusing hidung mampet iya tuhan
silmiotmiot,nang habis ketawa terus nang iya tuhan apa saya tidak waras
silmiotmiot,kalau tidak tidur siang oleng kalau tidur siang risiko nya gin ini sampai jam gin bom ngantuk
silmiotmiot,bapak bilang mau pergi rumah temenya pulang pulang bawa pureit acak habis haha
silmiotmiot,itu nyata cat jalan
silmiotmiot,strawberry susu teh apel susu teh kalau suka rasa buah malu
silmiotmiot,kira yang begini cuma di televisi nyata benar di dunia nyata
silmiotmiot,masalah selera debat
silmiotmiot,sepakat
silmiotmiot,selamat ulang tahun menikah pertama bapak suami
silmiotmiot,tega anda masz
silmiotmiot,tidak sanggup bayang peras
silmiotmiot,tidak mungkin
silmiotmiot,saya sama
silmiotmiot,mau mana anak anakuhj
silmiotmiot,kilas balik syukur dapat gelar s jadi orang istri semoga ini dapat gelar baru jadi orang ibu amin
silmiotmiot,sudah selesai masak baru ingat bom masak nasi sudah anak anak
silmiotmiot,kenapa bangsul
silmiotmiot,selalu ingat pesan ayah kalau sakit tetap cemil minum banyak paksain tidak manja pait sekali asli
silmiotmiot,suka sekali bangun narasi yang celaka orang kenapa kesan doang begitu yang paling neraka doang yang baik sama keluarga heran
silmiotmiot,tiap libur sakit memang benar liburanya suruh rebah saja cepat sembuh sil
silmiotmiot,kucing bisa napas tidak sih habis utama bareng jinhyuk
silmiotmiot,tidak pakai voucher gofod padahal tanggal kadaluarsa nya lama kenapa kesal ih
silmiotmiot,bogor kota saya bekas
silmiotmiot,malu salam kenal ya dik domisili mana
silmiotmiot,silmy l haha tua sekali tidak sih
silmiotmiot,lingkar cahaya
