username,tweet
sobatqasurr,mau jadi kecap botol saja
sobatqasurr,sibuk iya banyak endorsan
sobatqasurr,omdo sekali si mbanya gemey
sobatqasurr,kumpulin uang dulu ayo tawa
sobatqasurr,teman saya orang garut seperti demit
sobatqasurr,corona selesai langsung cus
sobatqasurr,testimoni yang jujur dil serius ini ayo korea ah
sobatqasurr,gatao ah bingung mau tawa saja tapi dila benar kenapa saya kan memang serius orgnya
sobatqasurr,iya gem polos si anda
sobatqasurr,benar sudah namsan
sobatqasurr,di jalan seoul
sobatqasurr,baru tahu hawa bajaj
sobatqasurr,lama dines kenal sama dokter koas iship yang terbaek cuma ui asli rendah sekali monangis
sobatqasurr,cantik sekali
sobatqasurr,ampun saya nyala sekali
sobatqasurr,repnya tidak ada akhlak semua sial
sobatqasurr,panggil ibadah adl antar tidur paling ampuh tawa
sobatqasurr,badai lalu
sobatqasurr,tinggal haji apa bagaimana si pengirim
sobatqasurr,thnk anda
sobatqasurr,saya baru saja bubar ini tawa
sobatqasurr,gamesnya keren
sobatqasurr,kopi jodoh
sobatqasurr,lama tidak kopi sekali kopi ndredeg
sobatqasurr,kenapa si buat tawa saja
sobatqasurr,sudah sudah ibu
sobatqasurr,bagaimana sih saudara laki rasa pakai masker tapi rambut nutup sampai bawah mata
sobatqasurr,begitu di goa juga lagi ini
sobatqasurr,apa sik saudara laki gemas
sobatqasurr,sudah kena salin benar nyata
sobatqasurr,kesal tidak sih loh goa padahal tidak pernah ngeklik agar tidak nambahin viewers tapi tidak ampuh
sobatqasurr,baru duduk belum pasang kam belum sadar langsung turun lagi untung lagi sepi alias gaberani goa hai
sobatqasurr,pantau tren youtube indonesia geser
sobatqasurr,kenapa mirip apa jay kimbab femeli apa matak goa saja ini
sobatqasurr,keke bukan boneka ngiang
sobatqasurr,yogyakarta tidak tidak libur
sobatqasurr,padahal selesai
sobatqasurr,semangat buat yang lagi puasa syawal puasa cuma hari pahala tahun puasa
sobatqasurr,kelompok saya cuma cari piring cakep sampai centong cakep sudah
sobatqasurr,sepait nya tampak lidah goa bisa nerima kalau daun paya angkat jari kaki sudah
sobatqasurr,saya juga lupa kelompok sama sp yang saya ingat cuma repot tidak rumah anis tawa
sobatqasurr,jam gin bangun
sobatqasurr,pikir apas pengirim
sobatqasurr,punya rumah dipingir jalan ada goa
sobatqasurr,akhir goa tonton apa baru episode sudah lupa judul
sobatqasurr,lama tidak ngedrakor
sobatqasurr,seperti baru kemarin lihat video orang yang backsong nya romadhon tiba romadhon tiba romadhon tiba cepat sekali si
sobatqasurr,tidak doa yang anda anda
sobatqasurr,lebaran tidak ada suasana nya sama sekali
sobatqasurr,kemarin
sobatqasurr,cerewet kali lah pusung palak
sobatqasurr,tidak bakat jadi pelakor tawa
sobatqasurr,senang bithday sekala yang tahun makin gemeshin anak buat dido makin pusing dengan bahasa ingris anda tawa ehtapi yang sekala si yang pusing mendengarkan bokapnya bicara ngalor ngidul
sobatqasurr,selamat hari raya iedul fitri h mohon maaf lahir sampai batin
sobatqasurr,keren jiwa
sobatqasurr,iya ih asal mau ketemu tiba tiba tidak jadi akhir sadar kalau anda suka malu in
sobatqasurr,tunggu undanganya azek azek
sobatqasurr,rindu sekali awam mohon maaf lahor batin
sobatqasurr,apa anda salah satu orang
sobatqasurr,nang ini desa tidak ada anak cucu
sobatqasurr,jadi rindu mbah
sobatqasurr,suka duka nya ngadepin pasien itu begitu banyak karakter makanya nampung banyak sabar tawa
sobatqasurr,h lebaran baru bayi ambil hari teman saya yang urus bcs si ibu telepon tidak nyambung alamat lampung yang lagi mudik jakarta kan kasi teman saya jadi tidak bisa balik
sobatqasurr,awal si ibu mau nitipin anak ibu yang lahiranya maghrib tadi tapi teman saya ngelarang tinggal masuk dalam sama teman saya eh jam si ibu kabur tidak bawa bayi
sobatqasurr,akhir jam malam saya teman saya beranin buat nagih terus cus balik betul teman yang non adalah jaga klinik yang buat kasi teman saya dia jagain bayi si ibu yang tadi goa tagih ibu nya gone
sobatqasurr,malam pulang jam korting jam jam harus nyata si ibu yang minta ditotalin tadi tidak bayar sampai jam padahal sudah kasih maghrib maju mundur mau nagih tidak enak tapi tidak tagih tidak bayar tawa
sobatqasurr,mana tidak klinik jelang buka yang salin siang ada ibu salin buka puasa pakai ketupat spesial dibikinin ibu bos tawa lagi cemil enak salah ibu nifas sudah mondar mandi minta total administrasi tidak mau tunggu selesai cemil
sobatqasurr,malam takbir yang tidak akan goa lupain tahun
sobatqasurr,sudah takbir saja haha
sobatqasurr,gin saja saya tawa raja banyak dari jantung sekali dit apa bicara apa sayang tawa susah iya kalau anak rada british kalah bapaknye
sobatqasurr,amin
sobatqasurr,melow sekali si saya
sobatqasurr,saudara laki saya sudah jadi peri kecil surga
sobatqasurr,ngeyel kasi tahu memang sudah tahu tidak doyan alpukat saja ngambil yang rasa alpukat rasa kan
sobatqasurr,padahal gamungkin dari awat mau undur diri begitu saja tidak mungkin jenuh nya akan tapi ngerawat sejengkelin nya pasien pasti akan rawat penuh hati sembuh senyum pasien jadi semangat tenaga medis saya rasa itu
sobatqasurr,tahu sekali rasa tidak dihargain pasien bagaimana sakit sudah bantu tapi ngomongnya tidak enak padahal bilang terima kasih hati itu langsung seperti rasa penuh sekali bahagia pasien yang ngehargain jasa
sobatqasurr,sedih peras romadhon belum banyak baik yang goa lakuin kenapa sudah mau selesai saja sih
sobatqasurr,cepat sekali sih besok sudah takbir saja
sobatqasurr,tiba tiba melow kalau malam akhir sholat tarweh
sobatqasurr,iya enak sekali sumpah
sobatqasurr,kiyowo
sobatqasurr,dia pasar klender suami istri c kemarin orang pada ramai sekali pada pasar akhir lantai dasar besok kepel uji aduh kan keluar itu kalau memang penting bukan karena
sobatqasurr,syok tidak lihat sw teman ponakanya yang bayi bawa mall sama orang tua buat cari spatu mbok ayo kalau mau keluar sendiri saja lho tidak bawa bayi anak masa depa pnjg ketimbang punya orang tua sumbu pendek
sobatqasurr,dengkul saya yang lemas
sobatqasurr,orang yang rasa benar jadi kalau salah tidak ada yang minta peta
sobatqasurr,jalan swis naik kereta
sobatqasurr,tidak
sobatqasurr,tengkyu pengirim
sobatqasurr,hai lupa twt senioritas ngab
sobatqasurr,turun link dong sumpah enak sekali
sobatqasurr,anda kenapa si ngab ikut goa username nya
sobatqasurr,tidak curhat bang
sobatqasurr,yaiya dong adeq saya jelek sampai sekarang lom debut itu tiktok
sobatqasurr,raja
