username,tweet
strybycy,acu ibu maung
strybycy,benar sih tawa
strybycy,gapenting si cuma mau saat saja agar ter tidak tahu kapan kalau lihat lihat twitter ingat iya goa pernah anak bodoh ngetwit begini hehehehe bhay
strybycy,terus mainin lagu sheila tidak lama nyokapnya datang turun motor lsg nyamperin eh lala lama sekali tidak kesini goa bengong lah malu degdegan kicep campur aduk saya ketemu kafe nya iya bos teman saya tiba tiba ajak kesitu terus saya gakepikiran nyokapnya saja
strybycy,tadi malam ketemu sama si saudara laki yang kenal sama sheilaon dulu awal pertama kali tonton sama pacar maksud entah berapa lama gaketemu tapi ibu saudara laki sering kirim kue malu eh temu terus tidak tahu kenapa itu anak seperti sengaja lsg ambil gitar
strybycy,goa sudah makin tidak paham sama maksud setuju buat atur hukum negara seperti sudah ayo bubar saja buat negara sendiri
strybycy,mashok
strybycy,mungkin kepala saudara laki nya lebih keras aspal jalan makanya santai kalau jatuh tidak akan pecah kalau tidak keras aspal mentok cadanganya apa bagaimana gapaham sudah
strybycy,asli tadi sekali lagi jalan yang super ramai tapi jalananya tidak terlalu besar lalu lihat orang pacar pakai sepeda samping begitu ngobrol saya gapake pikir lsg klakson sampai teriak bahaya saudara laki jala satu garis saja cewenya tidak akan mana mana peta emosi
strybycy,bagaimana cara padahal lubuk hati yang paling saya itu ken sekali olahraga sampai seperti sudah ken sekali tapi sebentar paginye bangun doang goler goler tidak olahraga
strybycy,terlalu bodoh diri tahan berat jutan rindu
strybycy,kejut kejut kejut
strybycy,semoga ter tidak goa sudah punya anak sudah tidak ini orang dakwah tapi modelanya begini
strybycy,saya terima sumbang bentuk apa deh tidak apa apa iya tuhan
strybycy,mau bwat beli seblak enak hujan hujan
strybycy,iya tuhan begini orang kenapa neraka neraka ya
strybycy,koh lex saya tidak pernah menang giveaway
strybycy,bismillah ayo kali saja kalau pakai bicara asli saya dapat pacar hehehehe amin dong
strybycy,iya ampun saudara kenapa
strybycy,sial apa
strybycy,hadir
strybycy,saya benar haru sekali sampai bengong ngeliatin gedung gedung walaupun goa tiap stroling jakarta memang selalu bengong spechles kalau lihat gedung tinggi tapi beda cuy rasa gila gaperna pikir kalau akan begini sungguh
strybycy,malam minggu kemarin senayan pergi rumah jam malam jujur syok sekali nyata serame kejut akhir putar hai langsung pulang karena panik keparnoan saya mengebu gebu
strybycy,kemarin benar benar nyanyi serah baim mau mirip siapa mirip siapa itu saya tetap cinta
strybycy,tawa sama energi
strybycy,memang tanjung sudah punya teman seperti teman teman goa saudara mau gaditemenin tapi teman goa pada doang
strybycy,puji orang orang tanya cuy mana habis obrol seperti cuma baca bar notifikasi doang alis buset diread tidak
strybycy,asli
strybycy,benar benar kumpul niat buat olahraga tapi saya tiap hari tidur subuh hanya kan susa
strybycy,sudah lama gakeluar rumah paling kalau ketemu teman juga rumah doang tadi keluar kesudirman bawah lihat ruang baca kejut jiwa tidak aman saya langsung gejolak niat hati foto tapi malah lsg pulang
strybycy,pikir bagaimana bagaimana
strybycy,may bagaimana perkembanganya
strybycy,yah salah ketik mau minta kado tadi
strybycy,iyani syukur malu
strybycy,terimakasih banyak
strybycy,terimakasih banyak
strybycy,jail lagi dong sekali buat kalau saya
strybycy,takut sekali si yang solat tidak kesini dikit kalau angin kencang bagaimana
strybycy,boleh dong bang hitung hitung kado hehehehe
strybycy,boleh dong qaqa
strybycy,setuju detik detik tahun saya tidak exited malah takut sampai mellow habis
strybycy,hai tawa yaiyasi memang iri saja benar
strybycy,mohon peta begitu habis kena gusur apa bagaimana
strybycy,pantas obrol goa bom balas bikon benang oke
strybycy,hancur moveon tahun saya cuma karena
strybycy,cinta anda
strybycy,saya kan tidak punya ibu
