username,tweet
t_hndr,periksa periksa
t_hndr,yang mau langsung periksa shopee
t_hndr,saudara laki saya titip jual saja boleh kan totebag humoris teman teman kece sekali pokok buat dicocokin sama pakai klean periksa saja instagram yah ada promosi di shopee
t_hndr,centang biru saya matin akhir lihat saya matin untung profil picturenya meski bukan foto biasa malah tidak perhaps segera akan pakai whatsapp yang tidak lihat kalau online tidak lihat kalau typing malu brengsek memang saya itu
t_hndr,yang ngrasain yang sama tidak obrol sama saya
t_hndr,hormon beranta kata dokter
t_hndr,lha ncen sial apa potosut potosut ramutu cok
t_hndr,siap bang mahir
t_hndr,pisuh saya tolong tahun tidak sadar sadar
t_hndr,saya terlalu kerja tidak pernah pakai bedak lipstik
t_hndr,denver yang kalau ketawa cuma sebuah sebuah sebuah sebuah sebuah sebuah doang
t_hndr,sayang sekali saya sama anda tang sehat sehat iya baik baik rumah ken sekali sudah kalideres nyamperin anda elah
t_hndr,suasana hati sekali pagi pagi
t_hndr,retweet dengan milik anda akhir telepon belum switching untuk blackberry android apel itu mitos itu legenda
t_hndr,kerja rumah sekali harus salatiga
t_hndr,balik klaten saja ayo saudara laki anterin sana tawa
t_hndr,yang punyae temenmu iku ayo saudara laki
t_hndr,paham kalau belum tonton sekala niskala yang subtitle bahasa indonya bikos film pakai bahasa bola
t_hndr,tang semangat terus tidak takut tetap lawak lawan saya support anda apa saya fans berat anda jaman kapan tahu pernah saya mau nyamperin anda kalideres karena ingin ketemu eh tidak di jalan bsd ancol deng haha pokok lafyu deh tang tidak habis habis
t_hndr,guru tidak ada akhlak
t_hndr,pagi pagi sudah ditemenin tembang pakde didi kempot bareng bapak sopir
t_hndr,mlipir bsd kene saudara laki
t_hndr,sesuk sudah megawe anda kuat tidak ayo
t_hndr,tidak doyan bubur ndang kalau doyan ibu saya tidak bingung mau cemil apa
t_hndr,suruh cemil yang lunak lunak cemil apa astaga udahnya tidak nafsu cemil syarat aneh aneh
t_hndr,klaten karanganyar admin saya anak maruk og
t_hndr,engih
t_hndr,baru mau whatsapp ayo sifud eh locationya buat sedih
t_hndr,itu kenapa saya lebih suka wingstop holywings malu
t_hndr,ingin bayi gurita tolong
t_hndr,ayo sehat ayo ayo
t_hndr,iya tuhan punya saudara gasopan
t_hndr,telat saya ngomonge ngapunten
t_hndr,segera blok saya
t_hndr,iya tuhan gusti ikut kesal baca sok idealis nangung ini pacar tas keril yang gendong pacar bukan buat pabrik kali tapi buat jin bisa twiteran karena pakai batu bata kayak itu semua tidak produksi borjuis
t_hndr,nanti piben sih
t_hndr,saya lungo tidak mergo tego nanging saya wis jogo lan wis upoyo ben ra sio sio meski akhire koyo ngene saya pilih mlaku dewe mugo benar pilih wis ikhlas lan lilakno lungaku
t_hndr,cinta sepi rasa sabar mana saya pendam kagum diri lihat gengam tangan nyaman dalam luka yang mampu buat sadar sedikit tepi
t_hndr,perlahan engkau jauh diri lupa semua tlah jadi harus meningalkan diri tidak rela anda denganya
t_hndr,rebah daritadi ditemenin guyon waton
t_hndr,belum
t_hndr,minum susu tidak sih bosan minum obat sama air putih hanya
t_hndr,mau pulang
t_hndr,ndherek suami pingine puluh pundi malu
t_hndr,ayah pulang ayo jajan bakso
t_hndr,omong omong gelang itu
t_hndr,kalau sudah mau mati begini baru deh tobat besok besok mau cemil yang benar lah tidak mau telat cemil lah mau minum air putih yang banyak lah mau sering cemil sayur buah lah taik lah
t_hndr,oke lempar dulu
t_hndr,semangat doang lelah bi benar deh
t_hndr,yaudasi peta
t_hndr,kayak stasiun yang jakarta
