username,tweet
tiaraindhprmt,kasin yang belum revisi sama dospem anda
tiaraindhprmt,asli kirmizi jantung ryeo buat patah hati sekali sampai tidak bisa pindah nyala ikut dilema
tiaraindhprmt,zeus
tiaraindhprmt,hera
tiaraindhprmt,apollo
tiaraindhprmt,athena
tiaraindhprmt,nti selesai karantina labrak
tiaraindhprmt,saya gampar deh
tiaraindhprmt,sih anak satu galo terus
tiaraindhprmt,tunggu
tiaraindhprmt,mau baca
tiaraindhprmt,perut karet iya
tiaraindhprmt,tidak kenyang apa
tiaraindhprmt,bilang bodoh kita senyum saja
tiaraindhprmt,aduh itumah tidak tanya saudara sampai ngebul kalau diajakin ngbrl beliau ibu
tiaraindhprmt,rem dari ba kalau sudah suruh mentoring
tiaraindhprmt,syerem
tiaraindhprmt,memang sulit beda realita khayal
tiaraindhprmt,pusat nya sama kpop begitu
tiaraindhprmt,iya asal tidak tidur tidak kelas online saja rey
tiaraindhprmt,remar apa saudara
tiaraindhprmt,beli teh persegi alfa ra saya juga haus puasa tidak alhasil godbar
tiaraindhprmt,iya skr ibu tidak bisa gobar
tiaraindhprmt,aduh anak micin
tiaraindhprmt,iya ampun baru jadi pacar saja sudah seperti begitu
tiaraindhprmt,puasa tahun kemarin bareng rei syukur sekarang sama keluarga tidak akan adalagi sahur cuma minum aqua saja
tiaraindhprmt,iya rei tidak buang buang energi
tiaraindhprmt,gasangup lanjut tonton saya terlalu bajing
tiaraindhprmt,kerjasama waktu rei ih
tiaraindhprmt,sumpit di badog yah
tiaraindhprmt,afirmasi anomali distraksi
tiaraindhprmt,tidak tahu ke anda bawa ken ngejahatin terus
tiaraindhprmt,gaboet sekali
tiaraindhprmt,hujan dinas sounds nice
tiaraindhprmt,memang banyak manusia kurang introspeksi diri fvck
tiaraindhprmt,kacamata gadis lebih suka lihat pria pakai kacamata jam tangan behel
tiaraindhprmt,tawa harus sabar ndin saudara
tiaraindhprmt,mulai lelah
tiaraindhprmt,hai bagaimana kbarnya sekarang
tiaraindhprmt,dari sekian banyak orang
tiaraindhprmt,pernah pernah pendekatan lama jadi sebentar terus moveon nya lama
tiaraindhprmt,da memang sudah pintar masak tawa gadis suka sama pria pintar masak
tiaraindhprmt,ada tidak mantan pernah minta balik anda
tiaraindhprmt,sedikit rapi tapi beranta haha pria rambut rapi beranta
tiaraindhprmt,des tanggal jadi sama pacar
tiaraindhprmt,sekarang sama tawa pernah punya pacar yang bulan lahir sama
tiaraindhprmt,sulit tahan rindu orang
tiaraindhprmt,htp t co ktuzdiqpm
tiaraindhprmt,pernah tawa pernah teror mantan
tiaraindhprmt,ikut saudara
tiaraindhprmt,waktu terlalu cepat jalan
tiaraindhprmt,capecapecape
tiaraindhprmt,sabar saja sabar elus dada
tiaraindhprmt,tanjung
tiaraindhprmt,mungkin pernah hubungan jarak jauh kota
tiaraindhprmt,iya ikut yang lebih cantik
tiaraindhprmt,kalau gpnting tidak usah saudara tangepin da tawa
tiaraindhprmt,gelutkeunlah gelutkeun tawa
tiaraindhprmt,hayoh saya tiap apa tahun perbarui
tiaraindhprmt,htp t co sebuah fickjrh
tiaraindhprmt,anda pts bukan pril o
tiaraindhprmt,pikir da pria mh pnuh alasan
tiaraindhprmt,tawa carekan bagaimana banyak alas tidak
tiaraindhprmt,saya tahu
tiaraindhprmt,tawa cie tunggu kabar orang pacar malah asik sendiri cie
tiaraindhprmt,sebut teman curhat favorit anda
tiaraindhprmt,itu lagu timana sih jumpa pertama kali
tiaraindhprmt,kenang masa lalu tawa kenang apa kalau ingat kadang buat anda nang
tiaraindhprmt,ngobrol sama akan lupa waktu kalau
tiaraindhprmt,jadi buruk
tiaraindhprmt,mapan tampan tawa mapan tampan
tiaraindhprmt,biasa inisial pria yang sekarang ngebuat anda senyum senyum sendiri
tiaraindhprmt,tidak sih pernah tidak sih marah hal sepele tidak balas sms
tiaraindhprmt,lebih tua lah gadis suka pria lebih muda lebih tua
tiaraindhprmt,campur aduk bagaimana sih rasa jauh orang sayang
tiaraindhprmt,ini tidak antara folowingmu yang anda taksir
tiaraindhprmt,pernah sama oke kelas pernah pacar sama saudara kelas saudara kelas
tiaraindhprmt,saudara wanita sudah saudara saudara
tiaraindhprmt,terimakasih ya htp t co azwlqu qpm
tiaraindhprmt,bobby siapa yang sering jadi teman curhat anda
tiaraindhprmt,terimakasih htp t co fpbdavy bc
tiaraindhprmt,terlalu banyak lah kenang nya cc siti
tiaraindhprmt,tawa kilas balik sombong
tiaraindhprmt,sudah tata
tiaraindhprmt,umn ingat saja teman anda juga
tiaraindhprmt,ksr orang anda taksir sekolah ikut eskul apa
tiaraindhprmt,malas sama susah bangun sifat benar benar anda ken buang diri anda apa
tiaraindhprmt,siapa dong pangeran impi syarah teh
tiaraindhprmt,pangeran gelap o
tiaraindhprmt,mau apa dong
tiaraindhprmt,sudah tidur saya tidur tanjung ibu tidak bisa tanjung kesandung terus kalau kesandung bangun apa senjata
tiaraindhprmt,kalau kesandung bangun apa hidup kalau tiap jalan kesandung terus
tiaraindhprmt,tidak sama skali tawa si mahir nyanyi utama gitar tidak
tiaraindhprmt,php dasar
tiaraindhprmt,suruh ngapalin semua nama anak osis jaman sampai anda pernah dikerjain apa saja lama masa ospek
tiaraindhprmt,tft terimakasih untuk hari ini
tiaraindhprmt,tidak ah tidak
tiaraindhprmt,syarah nama teman bang
tiaraindhprmt,ning tidak usah buat janji sekali gin php dasar tidak
tiaraindhprmt,tawa anda satu hobi si
tiaraindhprmt,minggu kemarin kapan akhir kali anda renang
tiaraindhprmt,tidak ada anda cinta olahraga apa
tiaraindhprmt,tidak ada saldo eung mie
tiaraindhprmt,kesal asli
tiaraindhprmt,coklat paling suka es krim rasa apa
