username,tweet
viasyafiqa,syukur tidur nyenyak
viasyafiqa,utama
viasyafiqa,waktu hobi tempat karoke seminggu kali lama kurleb tahun benar tidak ada minggu karoke tidak tahu itu uang dapat darimana saja padahal saudara laki kuliah cuma ngandelin uang jajan doang benar seperti gin cara harfiah
viasyafiqa,akhir dilema tahun an dilema dilema umur hidup iya tuhan ken mensyen orang tidak polow
viasyafiqa,tidak dilema benar otak mobil encer gercep sekali ingat lagu dilema tidak sudah tidak dilema meh lupa semua itu lagu
viasyafiqa,dilema itu enak sial dilema gara kasih tidak aduh sakit sakit enak
viasyafiqa,tidak pernah tidak menangos kalau dengar lagu dulu dulu
viasyafiqa,iya tuhan mau tunggu pyeha sudah ngantuk
viasyafiqa,ken kiri grup nyampah waktu iru sudah pernah kiri eh dimasukin sibangsad
viasyafiqa,teret teret teret retet tereteretet tereteretetet
viasyafiqa,asli pusing percaya
viasyafiqa,tahu begitu dulu masuk fakultas hukum nagih
viasyafiqa,haduh raja episode kapan keluar
viasyafiqa,mau kucing begini
viasyafiqa,keluh hanya sakit maag seblak mie baso aci cemil aneh jalan terus bodoamat
viasyafiqa,kesal saja kayak sama ron kan hermione nang gara habis lihat ron sama lavender cium benarkan jika saya salah
viasyafiqa,dokter dokter apa saja sudah asli dokter drama korea keren mati
viasyafiqa,selalu panah asmara sama second pimpin
viasyafiqa,pusing mau mati
viasyafiqa,cukup jalan jari kaki
viasyafiqa,tidak pernah gila cara tidak pernah bangun pagi pakai kalau warkop tengah malam cemil mie
viasyafiqa,tidak dua
viasyafiqa,biasa ajak balap sama baru naik iya tuhan lama sekali tidak sampai sampai
viasyafiqa,memang ada ada kan taoi arti bagus prospek kalau tidak bagus apa sampai musim coba
viasyafiqa,turut saya musim sudah cukup sih sar syok saja sampai musim gin
viasyafiqa,kesal sama rw itu begini muncul tokoh baru hanya kehadiranya itu gapenting
viasyafiqa,saya temenan sama milik salah satu kain garis kenal instagram curhat kesal besar bayangin goa benci sekali sama motif bahan model turut saya jelek sekali saya buat itu yang paling laku
viasyafiqa,makin malas mana sudah
viasyafiqa,sudah punya berat gila mana babawa helm
viasyafiqa,sekarang kalau mau naik ojek online harus bawa helm sendiri bagaimana cara oke kalau niat naik ojek online bawa rumah kalau darurat cuma naik ojek online tapi gabawa helm bagaimana
viasyafiqa,sudah lah tidur saja
viasyafiqa,bodoh iya tuhan
viasyafiqa,orang berat suruh mandi tiap habis luar syukur hobi saya mandi
